,"U.S. Home Price and Related data, for Figure 3.1 in Robert J. Shiller, Irrational Exuberance, 3rd. Edition, Princeton University Press, 2015, as updated by author",Unnamed: 1
0,See the book for description of data.,
1,"Monthly data from January 1953 for prices, all other data are annual.",
2,,Real
3,,Home
4,,Price
5,Date,Index
6,1890,100
7,1891,88.01179105656392
8,1892,95.42173618250325
9,1893,92.29738548098196
10,1894,123.98048277944352
11,1895,117.45509156635745
12,1896,100.30299018534107
13,1897,106.51570280594892
14,1898,110.18413977609032
15,1899,103.85311334184749
16,1900,101.57429475419818
17,1901,87.32609550259289
18,1902,100.47364450144372
19,1903,93.07489238475267
20,1904,101.85435896630196
21,1905,87.2485475278975
22,1906,103.52516731881619
23,1907,109.31652066458435
24,1908,100.81918235205104
25,1909,95.38041378581768
26,1910,93.1106367072284
27,1911,97.54333604485521
28,1912,102.3651618352995
29,1913,95.40856079923094
30,1914,96.97716369789562
31,1915,88.14876379786155
32,1916,93.72485164834045
33,1917,85.00903741862217
34,1918,75.56662106329527
35,1919,70.51379535554898
36,1920,66.07414907003694
37,1921,65.61430847947112
38,1922,74.79619714101761
39,1923,76.35007781532083
40,1924,74.28697788319552
41,1925,78.16282020753616
42,1926,72.4906015524438
43,1927,71.38030121096247
44,1928,73.28212987318126
45,1929,72.61432987989278
46,1930,69.49191369505738
47,1931,68.64520320702393
48,1932,68.3371935122121
49,1933,72.86594697645334
50,1934,73.27941112856544
51,1935,78.06999902861963
52,1936,79.41489504934907
53,1937,79.71761780681189
54,1938,78.46465293653384
55,1939,78.54968493492916
56,1940,81.73080632803105
57,1941,73.81588342928296
58,1942,68.50282682878371
59,1943,70.92297420081694
60,1944,80.30899578637265
61,1945,87.75004612093748
62,1946,106.50589550863114
63,1947,109.32967071418366
64,1948,101.22257950824536
65,1949,100.04660762637593
66,1950,105.89483934250828
67,1951,103.89866872416337
68,1952,103.97432747997286
69,1953.0416666666667,114.71330928920199
70,1953.125,115.14618970161406
71,1953.2083333333333,114.71330928920199
72,1953.2916666666665,114.97977458371813
73,1953.3749999999998,114.68187237243323
74,1953.458333333333,114.25395493820773
75,1953.5416666666663,114.51843168574987
76,1953.6249999999995,114.2244593901547
77,1953.7083333333328,114.35620617145823
78,1953.791666666666,113.93266466711948
79,1953.8749999999993,114.2244593901547
80,1953.9583333333326,114.2244593901547
81,1954.0416666666658,114.2244593901547
82,1954.124999999999,114.35620617145823
83,1954.2083333333323,114.35620617145823
84,1954.2916666666656,114.65067005952096
85,1954.3749999999989,114.2244593901547
86,1954.4583333333321,114.35620617145823
87,1954.5416666666654,114.75144651536878
88,1954.6249999999986,115.01494007797584
89,1954.708333333332,115.70857704968955
90,1954.7916666666652,115.57633867591846
91,1954.8749999999984,115.57633867591846
92,1954.9583333333317,116.14194250680451
93,1955.041666666665,116.27467615538369
94,1955.1249999999982,115.87647520964606
95,1955.2083333333314,115.61100791248765
96,1955.2916666666647,114.94733966959164
97,1955.374999999998,114.94733966959164
98,1955.4583333333312,115.47827426390846
99,1955.5416666666645,115.44410030214738
100,1955.6249999999977,116.10529217100276
101,1955.708333333331,115.93716754710051
102,1955.7916666666642,115.805420765797
103,1955.8749999999975,115.54192720318994
104,1955.9583333333308,115.70857704968955
105,1956.041666666664,115.44410030214738
106,1956.1249999999973,115.04738518083417
107,1956.2083333333305,114.65067005952096
108,1956.2916666666638,113.6974722649406
109,1956.374999999997,113.40762934607285
110,1956.4583333333303,113.74639294476287
111,1956.5416666666636,113.82152580354028
112,1956.6249999999968,115.01735302268835
113,1956.70833333333,114.46823901833315
114,1956.7916666666633,113.9231185703732
115,1956.8749999999966,113.66537395822303
116,1956.9583333333298,113.38194827058688
117,1957.041666666663,113.76716440287652
118,1957.1249999999964,114.37998717891374
119,1957.2083333333296,113.96854837611187
120,1957.2916666666629,114.32220700208958
121,1957.3749999999961,114.29362645033903
122,1957.4583333333294,113.50852581346261
123,1957.5416666666626,112.70634541902118
124,1957.624999999996,112.70634541902118
125,1957.7083333333292,113.08203323708454
126,1957.7916666666624,113.70817960052356
127,1957.8749999999957,113.30779868643724
128,1957.958333333329,113.18301036189271
129,1958.0416666666622,112.51543645786073
130,1958.1249999999955,112.51543645786073
131,1958.2083333333287,112.71852048719914
132,1958.291666666662,112.57374971852822
133,1958.3749999999952,112.81900843251195
134,1958.4583333333285,112.20586164755264
135,1958.5416666666617,111.81894488325074
136,1958.624999999995,112.08323229056077
137,1958.7083333333283,111.7153442195852
138,1958.7916666666615,111.59271486259333
139,1958.8749999999948,111.45232539183023
140,1958.958333333328,111.96060293356891
141,1959.0416666666613,111.33011889469006
142,1959.1249999999945,111.59271486259333
143,1959.2083333333278,111.59271486259333
144,1959.291666666661,111.20791239754989
145,1959.3749999999943,111.69673838611055
146,1959.4583333333276,111.31290079715484
147,1959.5416666666608,110.56758383376754
148,1959.624999999994,110.44621436742969
149,1959.7083333333273,110.31117530249408
150,1959.7916666666606,110.53868634178234
151,1959.8749999999939,110.65923016549202
152,1959.9583333333271,110.17705487065328
153,1960.0416666666604,110.91595148288056
154,1960.1249999999936,110.53868634178234
155,1960.208333333327,110.53868634178234
156,1960.2916666666601,110.16397893045425
157,1960.3749999999934,109.92370852929734
158,1960.4583333333267,109.31288597230207
159,1960.54166666666,109.31288597230207
160,1960.6249999999932,109.79180332595946
161,1960.7083333333264,110.27072067961687
162,1960.7916666666597,109.88742608616958
163,1960.874999999993,109.53064872874695
164,1960.9583333333262,109.53064872874695
165,1961.0416666666595,109.53064872874695
166,1961.1249999999927,109.29279715713189
167,1961.208333333326,109.53064872874695
168,1961.2916666666592,109.05494558551679
169,1961.3749999999925,109.41172294293942
170,1961.4583333333258,109.29279715713189
171,1961.541666666659,108.91857735112414
172,1961.6249999999923,109.40138157026048
173,1961.7083333333255,109.03671029835962
174,1961.7916666666588,109.03671029835962
175,1961.874999999992,109.6273750345371
176,1961.9583333333253,109.8636409290081
177,1962.0416666666586,109.98177387624358
178,1962.1249999999918,109.38090496522184
179,1962.208333333325,109.38090496522184
180,1962.2916666666583,109.01871653818469
181,1962.3749999999916,109.60546958736761
182,1962.4583333333248,109.72282019720417
183,1962.541666666658,109.36069867840152
184,1962.6249999999914,109.36069867840152
185,1962.7083333333246,108.88438097166124
186,1962.7916666666579,108.65122383895961
187,1962.8749999999911,108.7678024053104
188,1962.9583333333244,108.7678024053104
189,1963.0416666666576,108.88438097166124
190,1963.124999999991,108.88438097166124
191,1963.2083333333242,109.1083647089779
192,1963.2916666666574,109.57315007515031
193,1963.3749999999907,109.3407573920641
194,1963.458333333324,108.98343465548874
195,1963.5416666666572,108.8593184785695
196,1963.6249999999905,108.8593184785695
197,1963.7083333333237,108.8593184785695
198,1963.791666666657,108.50587913285989
199,1963.8749999999902,109.19626648683355
200,1963.9583333333235,109.30164923827613
201,1964.0416666666567,109.30164923827613
202,1964.12499999999,109.64572578362221
203,1964.2083333333233,109.64572578362221
204,1964.2916666666565,109.30164923827613
205,1964.3749999999898,108.842880511148
206,1964.458333333323,108.83474106598929
207,1964.5416666666563,108.71269935304815
208,1964.6249999999895,109.40635210099973
209,1964.7083333333228,109.39642702193521
210,1964.791666666656,109.6243362448976
211,1964.8749999999893,109.61374430985607
212,1964.9583333333226,109.61374430985607
213,1965.0416666666558,110.29528054390701
214,1965.124999999989,110.29528054390701
215,1965.2083333333223,109.60322005491065
216,1965.2916666666556,109.02843346766161
217,1965.3749999999889,108.91556759450668
218,1965.4583333333221,108.22622855909839
219,1965.5416666666554,108.4505316234696
220,1965.6249999999886,108.4505316234696
221,1965.708333333322,108.4505316234696
222,1965.7916666666551,108.77920283293464
223,1965.8749999999884,109.33819154225084
224,1965.9583333333217,109.32869928114924
225,1966.041666666655,109.66303781106103
226,1966.1249999999882,108.75614454867534
227,1966.2083333333214,108.41734036005018
228,1966.2916666666547,107.85574656268346
229,1966.374999999988,108.07518856993205
230,1966.4583333333212,107.96038789021407
231,1966.5416666666545,107.73724787876921
232,1966.6249999999877,106.75316791464233
233,1966.708333333321,106.75316791464233
234,1966.7916666666542,106.53509253729679
235,1966.8749999999875,106.53509253729679
236,1966.9583333333208,106.96597258800375
237,1967.041666666654,106.96597258800375
238,1967.1249999999873,106.96597258800375
239,1967.2083333333205,105.89007815835971
240,1967.2916666666538,105.99844510254165
241,1967.374999999987,106.3196525119433
242,1967.4583333333203,106.21322643335279
243,1967.5416666666536,105.89522276139664
244,1967.6249999999868,106.21386181292645
245,1967.70833333332,105.8977491289594
246,1967.7916666666533,106.0041639288218
247,1967.8749999999866,106.00509732699672
248,1967.9583333333198,106.21511008076146
249,1968.041666666653,105.48821827920084
250,1968.1249999999864,105.69790015807227
251,1968.2083333333196,105.1830964598234
252,1968.2916666666529,104.87733164453321
253,1968.3749999999861,104.26516647306518
254,1968.4583333333194,104.48127235323534
255,1968.5416666666526,104.28871359098929
256,1968.624999999986,104.29451627362056
257,1968.7083333333192,103.99738089962165
258,1968.7916666666524,104.11093451830521
259,1968.8749999999857,105.01818783900993
260,1968.958333333319,105.62083789449392
261,1969.0416666666522,105.82190132977128
262,1969.1249999999854,105.72568797277044
263,1969.2083333333187,105.73062396617078
264,1969.291666666652,105.24571662798428
265,1969.3749999999852,105.44339163959214
266,1969.4583333333185,105.15768909651223
267,1969.5416666666517,105.549220247364
268,1969.624999999985,105.64916821682294
269,1969.7083333333183,106.12860192342228
270,1969.7916666666515,106.4146656062346
271,1969.8749999999848,106.31965251194329
272,1969.958333333318,106.41365750974344
273,1970.0416666666513,107.16345927791112
274,1970.1249999999845,107.34554389583047
275,1970.2083333333178,107.34017273675254
276,1970.291666666651,106.96401404231872
277,1970.3749999999843,107.51322374048841
278,1970.4583333333176,107.68975112678795
279,1970.5416666666508,107.4101104864248
280,1970.624999999984,108.4096969630328
281,1970.7083333333173,108.94148067762896
282,1970.7916666666506,108.92817190521431
283,1970.8749999999839,109.00449222184083
284,1970.9583333333171,109.08004550010935
285,1971.0416666666504,109.34718030541575
286,1971.1249999999836,108.80666192742734
287,1971.208333333317,108.53464527260878
288,1971.2916666666501,108.61750036340676
289,1971.3749999999834,108.86991712968222
290,1971.4583333333167,109.20023423024719
291,1971.54166666665,109.10608075140456
292,1971.6249999999832,109.18611373162807
293,1971.7083333333164,109.44670111523575
294,1971.7916666666497,109.52570560317552
295,1971.874999999983,110.39220643864367
296,1971.9583333333162,110.11370337206131
297,1972.0416666666495,110.4586170866175
298,1972.1249999999827,110.18114110196547
299,1972.208333333316,109.82939949502678
300,1972.2916666666492,109.73554496212621
301,1972.3749999999825,109.81252571145426
302,1972.4583333333157,110.22908817585167
303,1972.541666666649,110.80250182231167
304,1972.6249999999823,110.96058972476622
305,1972.7083333333155,110.61284513119043
306,1972.7916666666488,110.00607072354734
307,1972.874999999982,109.83020707601692
308,1972.9583333333153,109.65517102212195
309,1973.0416666666486,109.14818786828609
310,1973.1249999999818,108.38491382724911
311,1973.208333333315,107.46551481769175
312,1973.2916666666483,106.72607320197369
313,1973.3749999999816,106.23892384640652
314,1973.4583333333148,105.75838737801902
315,1973.541666666648,105.4396553880672
316,1973.6249999999814,104.5122969999147
317,1973.7083333333146,104.67310922082913
318,1973.7916666666479,104.53211449456413
319,1973.8749999999811,104.31216451970616
320,1973.9583333333144,104.3252001560194
321,1974.0416666666476,104.26626866514613
322,1974.124999999981,103.76677949965085
323,1974.2083333333142,103.57639787948729
324,1974.2916666666474,103.51399501510035
325,1974.3749999999807,102.7464954659315
326,1974.458333333314,102.48635891797527
327,1974.5416666666472,102.15869445142191
328,1974.6249999999804,101.85422710644168
329,1974.7083333333137,101.62701962768757
330,1974.791666666647,101.46487385842991
331,1974.8749999999802,101.43376556802876
332,1974.9583333333135,102.22255607603026
333,1975.0416666666467,103.67214975917813
334,1975.12499999998,103.04936939276044
335,1975.2083333333132,102.96280576568822
336,1975.2916666666465,102.76768554102365
337,1975.3749999999798,102.50591029369102
338,1975.458333333313,101.66908422852086
339,1975.5416666666463,101.07260680854151
340,1975.6249999999795,101.47755488925677
341,1975.7083333333128,101.91931009111572
342,1975.791666666646,102.06782210700254
343,1975.8749999999793,102.02214449344991
344,1975.9583333333126,101.97449269845684
345,1976.0416666666458,102.21826153682531
346,1976.124999999979,102.078131632435
347,1976.2083333333123,102.77208495631085
348,1976.2916666666456,103.40499928962018
349,1976.3749999999789,103.88102352201433
350,1976.458333333312,103.66386352087751
351,1976.5416666666454,103.99234927716482
352,1976.6249999999786,104.13101380334173
353,1976.7083333333119,104.51983900722662
354,1976.7916666666451,104.31827698757603
355,1976.8749999999784,104.74344483185554
356,1976.9583333333117,105.2511583301918
357,1977.041666666645,105.58924651553966
358,1977.1249999999782,105.74825248409653
359,1977.2083333333114,106.55492947553992
360,1977.2916666666447,107.56063227626827
361,1977.374999999978,108.34553683923802
362,1977.4583333333112,108.42823322149393
363,1977.5416666666445,108.99290635626642
364,1977.6249999999777,109.73105913267683
365,1977.708333333311,110.80940833018616
366,1977.7916666666442,111.8564401530097
367,1977.8749999999775,112.47579357518686
368,1977.9583333333107,113.11967345711307
369,1978.041666666644,113.50836685106222
370,1978.1249999999773,114.03839381953863
371,1978.2083333333105,114.71177228279991
372,1978.2916666666438,115.30764155474535
373,1978.374999999977,115.81078206692379
374,1978.4583333333103,116.30348359220662
375,1978.5416666666436,117.05655282476081
376,1978.6249999999768,118.06443437204763
377,1978.70833333331,118.40265202816421
378,1978.7916666666433,118.47276872916893
379,1978.8749999999766,119.17721489089986
380,1978.9583333333098,120.04609046518459
381,1979.041666666643,120.58299530868767
382,1979.1249999999764,120.68879098382979
383,1979.2083333333096,121.07251271332527
384,1979.2916666666429,121.2614370124945
385,1979.3749999999761,121.29422876129607
