,index,Euro area,United Kingdom,United States
0,1971,3.772889780006494,3.504717425565346,3.293351639217846
1,1972,4.891276261013246,4.3216676139492165,5.258907357051328
2,1973,6.151606992165171,6.523848488664115,5.645722556183003
3,1974,3.2137278539444765,-2.4844039908897457,-0.5405516515831863
4,1975,-0.7724017991425711,-1.473649531840394,-0.20545606501300995
5,1976,5.027026800372127,2.910266125586759,5.388139287262945
6,1977,3.0857827457513736,2.4577505449983903,4.624153064823673
7,1978,3.1236846843172543,4.204260471452741,5.535304958397688
8,1979,3.8734540929989265,3.74901659251519,3.1661453077800275
9,1980,2.159348083394491,-2.0313677824739216,-0.25674967387315917
10,1981,0.5239586226247042,-0.7877437985313662,2.5377193071482793
11,1982,0.7127527169998586,1.9948912077839793,-1.8028874088510918
12,1983,1.3901479648998247,4.221856332273859,4.583913355301689
13,1984,2.378740761416978,2.2691051775450433,7.236633150186208
14,1985,2.3128861590184755,4.147415037549294,4.169656223377288
15,1986,2.5075144191064993,3.150340552430947,3.4626459710687953
16,1987,2.5335701495108935,5.3927383020640605,3.459251989733019
17,1988,4.305918545058731,5.732413614308001,4.1770612914040015
18,1989,4.099593257356318,2.5776027977179012,3.6726481495078787
19,1990,3.603853546041293,0.7337555396405406,1.8859649566803256
20,1991,2.6773777587252567,-1.1031216957803025,-0.10826479085554297
21,1992,1.4176834078589735,0.4010820511624331,3.522440527405024
22,1993,-0.6614372535560307,2.489831012380293,2.7517810509664287
23,1994,2.4602013241279224,3.846009160372404,4.028793259919027
24,1995,2.4203529679821543,2.5316700224705926,2.684217272077859
25,1996,1.6904393390356773,1.9077157875409796,3.7725654992141386
26,1997,2.707822889041097,4.5240670980264355,4.447174945245251
27,1998,3.0363567805609364,3.1572873386309936,4.481394431553156
28,1999,2.96492683158678,3.014070476254105,4.794499044675078
29,2000,3.865162689867404,4.0926534775365155,4.077159479416181
30,2001,2.195762233317609,2.157428177848317,0.9543387287083789
31,2002,0.9403515565892491,1.7707652987726874,1.6959429227495662
32,2003,0.6822100139126661,3.1230533125868902,2.796209100671703
33,2004,2.2939324924064977,2.3449714816166107,3.852552600643506
34,2005,1.6814917300090428,2.66833765676094,3.4832203202525847
35,2006,3.230855437774622,2.1604053205911242,2.7828106258432683
36,2007,3.001646892801446,2.5634604605010907,2.0105075516332818
37,2008,0.4166717754648772,-0.15434431470650622,0.1221884429746467
38,2009,-4.521139428720673,-4.510485600117846,-2.599888351085582
39,2010,2.1806787881752996,2.4300728950270383,2.708856694196811
40,2011,1.7142289274400895,1.0676109140365782,1.5498949501704544
41,2012,-0.8418324797478363,1.4484567568850508,2.2806876031918506
42,2013,-0.2196823524420921,1.8198633746836776,1.8418753951868752
43,2014,1.4026054335030125,3.19970262614801,2.2877759325535862
44,2015,2.0495685046878975,2.3931031839859997,2.706369581763994
45,2016,1.8640243075170133,2.1652062105218306,1.667472075961868
46,2017,2.6177934844508854,2.443570469879859,2.2419212159774844
47,2018,1.7833486822981968,1.705021022329035,2.945384831267802
48,2019,1.5839828692098905,1.6043086478739923,2.294439077693113
49,2020,-6.132405794906859,-11.030858455197944,-2.767802511405776
50,2021,5.3866715107778305,7.597470972281982,5.945484761221721
51,2022,3.4804190287860024,4.101621380813583,2.061593118514324
