,Date,Base rate
0,1971-01-01,7.0
90,1971-04-01,6.0
244,1971-09-02,5.0
538,1972-06-22,6.0
654,1972-10-16,7.25
668,1972-10-30,7.5
703,1972-12-04,7.75
710,1972-12-11,8.0
726,1972-12-27,9.0
752,1973-01-22,8.75
815,1973-03-26,8.5
836,1973-04-16,8.0
844,1973-04-24,8.25
864,1973-05-14,8.0
871,1973-05-21,7.75
906,1973-06-25,7.5
934,1973-07-23,9.0
941,1973-07-30,11.5
1025,1973-10-22,11.25
1047,1973-11-13,13.0
1102,1974-01-07,12.75
1130,1974-02-04,12.5
1193,1974-04-08,12.25
1201,1974-04-16,12.0
1243,1974-05-28,11.75
1361,1974-09-23,11.5
1480,1975-01-20,11.25
1487,1975-01-27,11.0
1501,1975-02-10,10.75
1508,1975-02-17,10.5
1529,1975-03-10,10.25
1543,1975-03-24,10.0
1571,1975-04-21,9.75
1585,1975-05-05,10.0
1669,1975-07-28,11.0
1739,1975-10-06,12.0
1781,1975-11-17,11.75
1795,1975-12-01,11.5
1823,1975-12-29,11.25
1830,1976-01-05,11.0
1844,1976-01-19,10.75
1851,1976-01-26,10.5
1858,1976-02-02,10.0
1865,1976-02-09,9.5
1886,1976-03-01,9.25
1893,1976-03-08,9.0
1942,1976-04-26,10.5
1970,1976-05-24,11.5
2082,1976-09-13,13.0
2106,1976-10-07,15.0
2152,1976-11-22,14.75
2180,1976-12-20,14.5
2189,1976-12-29,14.25
2201,1977-01-10,14.0
2215,1977-01-24,13.25
2222,1977-01-31,12.25
2225,1977-02-03,12.0
2260,1977-03-10,11.0
2271,1977-03-21,10.5
2281,1977-03-31,9.5
2293,1977-04-12,9.25
2299,1977-04-18,9.0
2306,1977-04-25,8.75
2313,1977-05-02,8.25
2327,1977-05-16,8.0
2411,1977-08-08,7.5
2418,1977-08-15,7.0
2446,1977-09-12,6.5
2453,1977-09-19,6.0
2474,1977-10-10,5.5
2481,1977-10-17,5.0
2523,1977-11-28,7.0
2565,1978-01-09,6.5
2658,1978-04-12,7.5
2684,1978-05-08,8.75
2691,1978-05-15,9.0
2715,1978-06-08,10.0
2869,1978-11-09,12.5
2960,1979-02-08,14.0
2981,1979-03-01,13.0
3016,1979-04-05,12.0
3085,1979-06-13,14.0
3240,1979-11-15,17.0
3471,1980-07-03,16.0
3616,1980-11-25,14.0
3722,1981-03-11,12.0
3889,1981-08-25,12.6875
3910,1981-09-15,14.0
3937,1981-10-12,15.0
3953,1981-10-28,15.125
3962,1981-11-06,15.0625
3965,1981-11-09,14.625
3981,1981-11-25,14.5625
3990,1981-12-04,14.375
4035,1982-01-18,14.3125
4036,1982-01-19,14.25
4037,1982-01-20,14.125
4038,1982-01-21,14.0
4039,1982-01-22,13.875
4070,1982-02-22,13.8125
4073,1982-02-25,13.625
4086,1982-03-10,13.25
4123,1982-04-16,13.125
4126,1982-04-19,13.0
4127,1982-04-20,13.125
4176,1982-06-08,12.625
4207,1982-07-09,12.5
4210,1982-07-12,12.25
4211,1982-07-13,12.125
4219,1982-07-21,12.0625
4224,1982-07-26,11.9375
4226,1982-07-28,11.8125
4227,1982-07-29,11.75
4228,1982-07-30,11.625
4231,1982-08-02,11.5625
4233,1982-08-04,11.5
4245,1982-08-16,11.375
4246,1982-08-17,11.25
4253,1982-08-24,11.125
4254,1982-08-25,11.0
4255,1982-08-26,10.875
4256,1982-08-27,10.625
4287,1982-09-27,10.5
4288,1982-09-28,10.375
4289,1982-09-29,10.25
4290,1982-09-30,10.125
4302,1982-10-12,9.625
4322,1982-11-01,9.375
4323,1982-11-02,9.125
4347,1982-11-26,10.0
4394,1983-01-12,11.0
4456,1983-03-15,10.5625
4485,1983-04-13,10.3125
4486,1983-04-14,10.0625
4546,1983-06-13,9.8125
4547,1983-06-14,9.5625
4603,1983-08-09,9.4375
