,x,y,e,e1,e2
0,> 225,0.01,0.017,-0.024,0.044000000000000004
1,225,0.001,0.02,-0.039,0.041
2,150,-0.012,0.018,-0.048,0.023999999999999997
3,75,0.0,0.0,0.0,0.0
4, 75,-0.032,0.02,-0.07200000000000001,0.008
5, 150,-0.058,0.019,-0.096,-0.020000000000000004
6, 225,-0.066,0.024,-0.114,-0.018000000000000002
7,225 <,-0.056,0.027,-0.11,-0.0020000000000000018
