,x,y,e,e1,e2
0,> 225,0.002,0.021,-0.04,0.044000000000000004
1,225,-0.016,0.025,-0.066,0.034
2,150,0.021,0.019,-0.016999999999999998,0.059
3,75,0.0,0.0,0.0,0.0
4, 75,-0.092,0.028,-0.148,-0.036
5, 150,-0.041,0.023,-0.087,0.0049999999999999975
6, 225,-0.02,0.025,-0.07,0.030000000000000002
7,225 <,-0.028,0.038,-0.104,0.048
