,x,y,e,e1,e2
0, 01-15,-0.033,0.014,-0.061,-0.005000000000000001
1,16-30,-0.032,0.014,-0.06,-0.004
2,31-45,-0.065,0.015,-0.095,-0.035
3,46-60,-0.062,0.015,-0.092,-0.032
4,61-75,-0.051,0.017,-0.08499999999999999,-0.016999999999999994
5,76-90,-0.063,0.019,-0.101,-0.025
