,x,y,e,e1,e2
0,> 225,-0.01,0.021,-0.052000000000000005,0.032
1,225,-0.017,0.022,-0.061,0.026999999999999996
2,150,-0.02,0.021,-0.062,0.022000000000000002
3,75,0.0,0.0,0.0,0.0
4, 75,-0.128,0.02,-0.168,-0.088
5, 150,-0.02,0.02,-0.06,0.02
6, 225,-0.03,0.022,-0.074,0.013999999999999999
7,225 <,-0.05,0.027,-0.10400000000000001,0.003999999999999997
