,x,y,e,e1,e2
0,Interceptions,-0.027,0.013,-0.053,-0.0010000000000000009
1,Ballrecoveries,-0.022,0.013,-0.048,0.004
2,Short Passes,-0.049,0.014,-0.077,-0.021
3,Long Passes,-0.027,0.013,-0.053,-0.0010000000000000009
4,Pass Accuracy,-0.004,0.004,-0.012,0.004
5,Distance,-0.029,0.011,-0.051000000000000004,-0.007000000000000003
6,Startingeleven,-0.022,0.005,-0.032,-0.011999999999999999
7,Fulltime,-0.061,0.014,-0.089,-0.033
