,x,y,e,e1,e2
0,0,0.0,0.0,0.0,0.0
1,First Quartile,0.004,0.02,-0.036000000000000004,0.044
2,Second Quartile,-0.025,0.021,-0.067,0.017
3,Third Quartile,-0.017,0.023,-0.063,0.028999999999999998
4,Fourth Quartile,-0.071,0.035,-0.14100000000000001,-0.000999999999999987
