,weekx,week3,hired_week,m_hired_week,min_hired_week,max_hired_week
0,2020-01-01,5/1/20,0.28588882088661194,0.4508006274700165,0.43746089935302734,0.524964451789856
1,2020-01-08,2,0.4177812933921814,0.47045132517814636,0.3957950472831726,0.6214342713356018
2,2020-01-15,3,0.38396796584129333,0.6545902490615845,0.4711194336414337,0.7119566202163696
3,2020-01-22,4,0.5458651185035706,0.5110965371131897,0.4542747139930725,0.7055822014808655
4,2020-01-29,2/2/20,0.38537782430648804,0.6134493947029114,0.5198701620101929,0.852360188961029
5,2020-02-05,6,0.42429086565971375,0.6035062670707703,0.4896652400493622,0.7257786393165588
6,2020-02-12,7,0.48036351799964905,0.7004860043525696,0.5613076686859131,0.8457667231559753
7,2020-02-19,23/2/20,0.596520185470581,0.7441620230674744,0.7154263257980347,0.8477455973625183
8,2020-02-26,9,0.40255239605903625,0.4212835729122162,0.4113309979438782,0.7628501653671265
9,2020-03-04,10,0.27886247634887695,0.46581560373306274,0.3693883717060089,0.578347384929657
10,2020-03-11,11,0.17590685188770294,0.5943582653999329,0.44619446992874146,0.6386640667915344
11,2020-03-18,22/3/20,0.35559073090553284,0.6531106233596802,0.5104270577430725,0.7072492241859436
12,2020-03-25,13,0.3050653040409088,0.6163265109062195,0.5725497007369995,0.9662525057792664
13,2020-04-01,14,0.22841985523700714,0.4675438106060028,0.34229493141174316,0.5352823734283447
14,2020-04-08,15,0.25839024782180786,0.5871149301528931,0.35536620020866394,0.6259665489196777
15,2020-04-15,16,0.3503653407096863,0.5340790152549744,0.43373826146125793,0.6674405932426453
16,2020-04-22,17,0.4289661943912506,0.5508704781532288,0.5206959843635559,0.7833338379859924
17,2020-04-29,3/5/20,0.1897037774324417,0.4314669966697693,0.35988813638687134,0.6745447516441345
18,2020-05-06,19,0.2881005108356476,0.5640280246734619,0.4800246059894562,0.701426088809967
19,2020-05-13,20,0.28151023387908936,0.6234063506126404,0.5363638401031494,0.736954391002655
20,2020-05-20,21,0.19871334731578827,0.6984313130378723,0.45287004113197327,0.8137364983558655
21,2020-05-27,31/5/20,0.18066085875034332,0.7187272906303406,0.39764755964279175,0.8769566416740417
22,2020-06-03,23,0.270131379365921,0.6541344523429871,0.4378548860549927,0.821158766746521
23,2020-06-10,24,0.21626201272010803,0.5747297406196594,0.4609834551811218,0.598163366317749
24,2020-06-17,25,0.25116652250289917,0.7316786050796509,0.6289072036743164,0.7641829252243042
25,2020-06-24,26,0.22751237452030182,0.6933594942092896,0.43824273347854614,0.8997015953063965
26,2020-07-01,27,0.30814746022224426,0.5589526891708374,0.5390188694000244,0.6299119591712952
27,2020-07-08,12/7/20,0.3861967921257019,0.6460383534431458,0.5826191306114197,0.7190309166908264
28,2020-07-15,29,0.26467055082321167,0.7186033129692078,0.6430084705352783,0.7955872416496277
29,2020-07-22,30,0.40233153104782104,0.808445155620575,0.7229845523834229,0.9647095799446106
30,2020-07-29,31,0.340006947517395,0.6520833969116211,0.5077834129333496,1.0909063816070557
31,2020-08-05,9/8/20,0.4604519307613373,0.6448172330856323,0.4423256516456604,0.8932507634162903
32,2020-08-12,33,0.36689579486846924,0.6917352080345154,0.506223201751709,0.9019156694412231
33,2020-08-19,34,0.36953282356262207,0.8435969352722168,0.5211116075515747,0.9780176877975464
34,2020-08-26,35,0.5036314725875854,0.7630298137664795,0.43667465448379517,1.0278034210205078
35,2020-09-02,36,0.40537112951278687,0.6614120602607727,0.5463017821311951,0.790565013885498
36,2020-09-09,37,0.4864960014820099,0.8059784770011902,0.6647831201553345,0.982024073600769
37,2020-09-16,20/9/20,0.8076815605163574,0.8768059015274048,0.8671717643737793,1.0550285577774048
38,2020-09-23,39,0.8282614946365356,0.9734981060028076,0.9308483600616455,1.127475380897522
39,2020-10-07,41,0.6789872646331787,0.8331934213638306,0.8027114868164062,1.0226593017578125
40,2020-10-14,18/10/20,0.4449605941772461,0.9884783029556274,0.7317728400230408,1.0723342895507812
41,2020-10-21,43,0.6719505786895752,1.0150089263916016,0.6719509363174438,1.0645604133605957
42,2020-10-28,44,0.5100439786911011,0.6854388117790222,0.40109536051750183,1.1293408870697021
43,2020-11-04,45,0.5343722105026245,0.5932038426399231,0.38005417585372925,0.7813648581504822
44,2020-11-11,46,0.5656450390815735,0.7850455045700073,0.6381441950798035,0.8853862285614014
45,2020-11-18,47,0.6361953616142273,0.9065232276916504,0.6784044504165649,0.9616521000862122
46,2020-11-25,29/11/20,0.7277274131774902,0.7435795664787292,0.35589852929115295,0.9542935490608215
47,2020-12-02,49,0.4718383252620697,0.543897807598114,0.48932546377182007,0.579132616519928
48,2020-12-09,50,0.45626285672187805,0.6173255443572998,0.2785895764827728,0.6745060086250305
49,2020-12-16,51,0.33800649642944336,0.5421768426895142,0.47864192724227905,0.7396171689033508
50,2020-12-23,27/12/20,0.37186476588249207,0.6752970814704895,0.4902525246143341,0.6896550059318542
51,2021-01-01,3/1/21,0.2337927520275116,0.4508006274700165,0.43746089935302734,0.524964451789856
52,2021-01-08,54,0.3348120152950287,0.47045132517814636,0.3957950472831726,0.6214342713356018
53,2021-01-15,55,0.45504191517829895,0.6545902490615845,0.4711194336414337,0.7119566202163696
54,2021-01-22,56,0.44440674781799316,0.5110965371131897,0.4542747139930725,0.7055822014808655
55,2021-01-29,31/1/21,0.4831933081150055,0.6134493947029114,0.5198701620101929,0.852360188961029
56,2021-02-05,7/2/21,0.4056681990623474,0.6035062670707703,0.4896652400493622,0.7257786393165588
57,2021-02-12,59,0.3139362335205078,0.7004860043525696,0.5613076686859131,0.8457667231559753
58,2021-02-19,60,0.37003034353256226,0.7441620230674744,0.7154263257980347,0.8477455973625183
59,2021-02-26,61,0.514315128326416,0.4212835729122162,0.4113309979438782,0.7628501653671265
60,2021-03-05,7/3/21,0.3481070399284363,0.46581560373306274,0.3693883717060089,0.578347384929657
61,2021-03-12,63,0.43673622608184814,0.5943582653999329,0.44619446992874146,0.6386640667915344
62,2021-03-19,64,0.4622867703437805,0.6531106233596802,0.5104270577430725,0.7072492241859436
63,2021-03-26,65,0.4032455384731293,0.6163265109062195,0.5725497007369995,0.9662525057792664
64,2021-04-02,66,0.4286166727542877,0.4675438106060028,0.34229493141174316,0.5352823734283447
65,2021-04-09,67,0.41635045409202576,0.5871149301528931,0.35536620020866394,0.6259665489196777
66,2021-04-16,18/4/21,0.5182954668998718,0.5340790152549744,0.43373826146125793,0.6674405932426453
67,2021-04-23,69,0.5460143685340881,0.5508704781532288,0.5206959843635559,0.7833338379859924
68,2021-04-30,70,0.39206331968307495,0.4314669966697693,0.35988813638687134,0.6745447516441345
69,2021-05-07,71,0.384000688791275,0.5640280246734619,0.4800246059894562,0.701426088809967
70,2021-05-14,72,0.4564708173274994,0.6234063506126404,0.5363638401031494,0.736954391002655
71,2021-05-21,73,0.4828401803970337,0.6984313130378723,0.45287004113197327,0.8137364983558655
72,2021-05-28,74,0.6221699714660645,0.7187272906303406,0.39764755964279175,0.8769566416740417
73,2021-06-04,75,0.5261959433555603,0.6541344523429871,0.4378548860549927,0.821158766746521
74,2021-06-11,76,0.5150250792503357,0.5747297406196594,0.4609834551811218,0.598163366317749
75,2021-06-18,77,0.6770416498184204,0.7316786050796509,0.6289072036743164,0.7641829252243042
76,2021-06-25,30/6/21,0.8711434006690979,0.6933594942092896,0.43824273347854614,0.8997015953063965
77,2021-07-02,79,0.4958076477050781,0.5589526891708374,0.5390188694000244,0.6299119591712952
78,2021-07-09,80,0.6119610667228699,0.6460383534431458,0.5826191306114197,0.7190309166908264
79,2021-07-16,81,0.7784337401390076,0.7186033129692078,0.6430084705352783,0.7955872416496277
80,2021-07-23,82,0.8271050453186035,0.808445155620575,0.7229845523834229,0.9647095799446106
81,2021-07-30,83,0.5165274143218994,0.6520833969116211,0.5077834129333496,1.0909063816070557
82,2021-08-06,84,0.5104089975357056,0.6448172330856323,0.4423256516456604,0.8932507634162903
83,2021-08-13,85,0.7161640524864197,0.6917352080345154,0.506223201751709,0.9019156694412231
84,2021-08-20,86,0.6958103775978088,0.8435969352722168,0.5211116075515747,0.9780176877975464
85,2021-08-27,87,0.8426265716552734,0.7630298137664795,0.43667465448379517,1.0278034210205078
86,2021-09-03,3/9/21,0.621084451675415,0.6614120602607727,0.5463017821311951,0.790565013885498
87,2021-09-10,89,0.7501895427703857,0.8059784770011902,0.6647831201553345,0.982024073600769
88,2021-09-17,90,0.8403357863426208,0.8768059015274048,0.8671717643737793,1.0550285577774048
89,2021-09-24,91,0.8493725061416626,0.9734981060028076,0.9308483600616455,1.127475380897522
90,2021-10-01,92,0.5712398290634155,0.7340649366378784,0.6882569193840027,0.8640696406364441
