,x,y,forecast
0,2006.1089699228107,161631.66588013212,0
1,2006.418472185254,165823.50165172253,0
2,2006.7279744476973,171730.1793298726,0
3,2007.037476710141,177827.3949976404,0
4,2007.3469789725843,182209.76875884848,0
5,2007.656481235028,185258.37659273238,0
6,2007.9659834974716,183924.61066540817,0
7,2008.2496939047112,178818.19254365264,0
8,2008.481820601544,171015.66186880603,0
9,2008.6881554431727,163298.8732892874,0
10,2008.9460739952087,156772.94714487964,0
11,2009.2555762576524,155343.91222274656,0
12,2009.565078520096,160393.1689476168,0
13,2009.8745807825392,165728.23265691363,0
14,2010.1840830449823,167443.07456347332,0
15,2010.493585307426,167633.61255309108,0
16,2010.8030875698691,166395.11562057576,0
17,2011.112589832313,165251.88768286927,0
18,2011.4220920947564,164870.81170363378,0
19,2011.7315943572,164870.81170363378,0
20,2012.0410966196432,165061.3496932515,0
21,2012.3505988820864,165632.96366210474,0
22,2012.66010114453,165823.50165172253,0
23,2012.9696034069736,166871.4605946201,0
24,2013.279105669417,168681.57149598867,0
25,2013.5886079318605,171444.37234544594,0
26,2013.898110194304,175922.01510146292,0
27,2014.2076124567477,181447.61680037752,0
28,2014.5171147191909,185734.7215667768,0
29,2014.8266169816343,188783.32940066067,0
30,2015.1361192440777,190974.51628126475,0
31,2015.445621506521,195071.0830580462,0
32,2015.7551237689645,200691.95375176967,0
33,2016.064626031408,205550.67248702215,0
34,2016.3741282938515,208313.47333647942,0
35,2016.683630556295,210981.0051911279,0
36,2016.9931328187383,213934.34403020292,0
37,2017.3026350811815,217173.48985370455,0
38,2017.612137343625,220222.09768758848,0
39,2017.9216396060683,222413.28456819252,0
40,2018.231141868512,224318.66446437,0
41,2018.540644130956,226033.50637092968,0
42,2018.850146393399,226605.1203397829,0
43,2019.1596486558424,226605.1203397829,0
44,2019.4691509182855,227557.81028787163,0
45,2019.7786531807287,228319.96224634262,0
46,2020.0881554431728,229939.53515809344,0
47,2020.397657705616,231749.64605946201,0
48,2020.655576257652,238323.20670127418,0
49,2020.861911099281,244753.86385087305,0
50,2021.1198296513176,250898.7140160453,0
51,2021.429331913761,254804.74280320905,0
52,2021.6614586105932,261473.57243983008,0
53,2021.842001597019,268047.1330816423,0
54,2022.048336438648,274191.9832468145,0
55,2022.177295714666,278621.9915054271,0
56,2022.349480968858,284049.07975460123,0
57,2022.5397923875432,289417.1779141104,0
58,2022.8685121107264,289417.1779141104,0
59,2023.3183391003456,282515.3374233129,0
60,2023.5951557093424,273696.3190184049,0
61,2023.9238754325256,267177.91411042947,0
62,2024.4429065743943,262193.25153374235,0
63,2025.1349480968856,264877.3006134969,0
64,2025.948096885813,270245.3987730061,0
65,2026.795847750865,278680.98159509205,0
66,2028.0069204152248,290184.04907975456,0
0,2022.0726643598612,275613.4969325153,1
1,2022.5397923875432,277914.1104294479,1
2,2023.3529411764705,279831.2883435583,1
3,2024.096885813149,282131.9018404908,1
4,2024.9792387543253,285582.8220858896,1
5,2026.484429065744,299386.5030674847,1
6,2027.0207612456747,304754.6012269939,1
7,2025.705882352941,291717.79141104297,1
