,x1,y1,x2,y2,x3,y3
0,2020.002304,1.738317757,2020.006912,0.710280374,2019.997696,-0.542056075
1,2020.163594,1.158878505,2020.177419,0.186915888,2022.569124,-0.056074766
2,2020.205069,0.261682243,2020.200461,0.056074766,2022.698157,0.672897196
3,2022.200461,0.429906542,2021.956221,0.205607477,2022.799539,0.672897196
4,2022.324885,0.91588785,2022.089862,0.485981308,2022.919355,0.560747664
5,2022.4447,1.682242991,2022.205069,0.691588785,2022.914747,1.289719626
6,2022.5553,2.429906542,2022.33871,0.971962617,2023.099078,2.074766355
7,2022.71659,3.23364486,2022.458525,1.252336449,2023.315668,2.61682243
8,2022.808756,3.23364486,2022.578341,1.700934579,2023.693548,2.953271028
9,2022.910138,3.757009346,2022.725806,2.224299065,2024.089862,2.934579439
10,2023.006912,4.280373832,2022.914747,3.028037383,2024.504608,2.859813084
11,2023.140553,4.654205607,2023.154378,4.336448598,2024.923963,2.822429907
12,2023.205069,4.710280374,2023.329493,4.897196262,2025.228111,2.822429907
13,2023.504608,4.691588785,2023.509217,5.102803738,2025.550691,2.803738318
14,2023.767281,4.728971963,2023.753456,5.177570093,2025.970046,2.822429907
15,2024.002304,4.672897196,2024.06682,5.08411215,2023.089862,0.91588785
16,2024.347926,4.317757009,2024.476959,4.878504673,2023.398618,1.23364486
17,2024.781106,3.962616822,2024.845622,4.728971963,2023.776498,1.308411215
18,2025.168203,3.738317757,2025.195853,4.61682243,2024.182028,1.327102804
19,2025.523041,3.626168224,2025.5553,4.485981308,2024.670507,1.345794393
20,2025.979263,3.53271028,2025.970046,4.373831776,2025.048387,1.420560748
21,2022.923963,3.158878505,2022.919355,2.448598131,2025.725806,1.476635514
22,2023.029954,3.345794393,2023.126728,2.803738318,,
23,2023.145161,3.420560748,2023.407834,2.953271028,,
24,2023.292627,3.420560748,2023.721198,2.878504673,,
25,2023.518433,3.364485981,2024.020737,2.76635514,,
26,2023.711982,3.289719626,2024.357143,2.579439252,,
27,2023.937788,3.065420561,2024.711982,2.411214953,,
28,2024.191244,2.878504673,2025.089862,2.299065421,,
29,2024.476959,2.691588785,2025.334101,2.261682243,,
30,2024.854839,2.560747664,2025.725806,2.186915888,,
31,2025.172811,2.46728972,,,,
32,2025.4447,2.485981308,,,,
33,2025.730415,2.46728972,,,,
