,x,y
0,2000.137253537518,97.84410493303952
1,2000.444173563337,99.26089167655536
2,2000.751093589156,100.00008476012886
3,2001.058013614975,100.8624766909646
4,2001.364933640794,102.77205882352943
5,2001.671853666613,105.35923461603664
6,2001.978773692432,108.00800983217496
7,2002.2856937182512,111.14958043736227
8,2002.59261374407,114.90714527886084
9,2002.899533769889,117.43272164773693
10,2003.2064537957085,120.57429225292424
11,2003.5133738215272,124.08545939989833
12,2003.8202938473464,127.47342769961011
13,2004.1272138731647,130.43020003390407
14,2004.4341338989843,133.5717706390914
15,2004.7410539248035,136.22054585522972
16,2005.0479739506225,137.76053144600783
17,2005.3548939764412,139.85491184946602
18,2005.6618140022604,141.51809628750638
19,2005.9687340280796,142.81168418375998
20,2006.2756540538985,145.27566112900496
21,2006.5825740797172,148.17083403966777
22,2006.8894941055364,149.5260213595525
23,2007.1964141313556,151.0660069503306
24,2007.5033341571743,152.9139896592643
25,2007.8102541829933,153.77638159010004
26,2008.1171742088125,154.88517121546028
27,2008.424094234632,155.1931683336159
28,2008.7310142604504,153.77638159010004
29,2009.037934286269,152.6059925411087
30,2009.3448543120887,151.12760637396173
31,2009.651774337908,150.14201559586374
32,2009.9586943637264,149.5876207831836
33,2010.2656143895456,148.72522885234787
34,2010.5725344153648,148.2324334632989
35,2010.879454441184,147.30844210883205
36,2011.186374467003,146.6924478725208
37,2011.4932944928216,145.9532547889473
38,2011.8002145186408,145.02926343448044
39,2012.10713454446,143.48927784370235
40,2012.414054570279,142.81168418375998
41,2012.720974596098,141.5796957111375
42,2013.0278946219169,141.08690032208852
43,2013.334814647736,140.10130954399054
44,2013.641734673555,138.68452280047467
45,2013.948654699374,136.77494066790985
46,2014.255574725193,135.97414816070523
47,2014.562494751012,136.52854297338536
48,2014.869414776831,136.83654009154097
49,2015.17633480265,135.72775046618074
50,2015.4832548284687,133.69496948635364
51,2015.790174854288,132.09338447194443
52,2016.097094880107,132.03178504831328
53,2016.404014905926,133.20217409730463
54,2016.7109349317448,134.43416256992714
55,2017.017854957564,135.9125487370741
56,2017.3247749833831,135.78934988981186
57,2017.6316950092023,135.6045516189185
58,2017.9386150350213,134.24936429903374
59,2018.24553506084,133.69496948635364
60,2018.5524550866596,133.81816833361592
61,2018.8593751124783,132.5861798609934
62,2019.1662951382973,131.2925919647398
63,2019.4732151641165,131.16939311747757
64,2019.7801351899357,130.92299542295308
65,2020.0870552157544,131.2925919647398
66,2020.3939752415731,132.64777928462453
67,2020.7008952673923,134.3109637226649
68,2021.0078152932117,135.1117562298695
69,2021.3147353190304,135.358153924394
70,2021.6216553448496,134.43416256992714
71,2021.9029987018505,133.80584844888966
