,x,y,forecast
0,2006.0889748549323,5.294772727272727,0
1,2006.4197292069632,5.316363636363636,0
2,2006.722920696325,5.4865,0
3,2007.0261121856868,5.6229545454545455,0
4,2007.3017408123792,5.7740909090909085,0
5,2007.577369439072,5.938181818181818,0
6,2007.9081237911023,5.914431818181818,0
7,2008.2388781431332,5.802159090909091,0
8,2008.4869439071567,5.726590909090909,0
9,2008.6247582205028,5.527954545454545,0
10,2008.707446808511,5.320681818181818,0
11,2008.7625725338487,5.23,0
12,2008.7809477756289,4.988181818181818,0
13,2008.8360735009671,4.7075,0
14,2008.8911992263056,4.422499999999999,0
15,2008.9279497098648,4.167727272727273,0
16,2009.0014506769824,3.9906818181818178,0
17,2009.11170212766,3.7575,0
18,2009.3413926499036,3.59125,0
19,2009.6721470019345,3.593409090909091,0
20,2010.0029013539647,3.679772727272727,0
21,2010.333655705996,3.634431818181818,0
22,2010.664410058027,3.511363636363636,0
23,2010.995164410058,3.4811363636363635,0
24,2011.325918762089,3.4357954545454543,0
25,2011.65667311412,3.390454545454545,0
26,2011.9874274661508,3.390454545454545,0
27,2012.3181818181815,3.390454545454545,0
28,2012.648936170213,3.390454545454545,0
29,2012.979690522244,3.366704545454545,0
30,2013.3104448742747,3.288977272727273,0
31,2013.6411992263056,3.286818181818182,0
32,2013.9719535783363,3.267386363636364,0
33,2014.3027079303677,3.1875,0
34,2014.6334622823983,3.1831818181818177,0
35,2014.9642166344292,3.1702272727272724,0
36,2015.2949709864604,3.086022727272727,0
37,2015.6257253384915,3.023409090909091,0
38,2015.9564796905224,2.9694318181818184,0
39,2016.287234042553,2.8550000000000004,0
40,2016.617988394584,2.7254545454545456,0
41,2016.9487427466152,2.602386363636364,0
42,2017.279497098646,2.550568181818182,0
43,2017.610251450677,2.4836363636363634,0
44,2017.941005802708,2.4836363636363634,0
45,2018.2717601547388,2.4836363636363634,0
46,2018.60251450677,2.4836363636363634,0
47,2018.9332688588008,2.472840909090909,0
48,2019.264023210832,2.392954545454545,0
49,2019.5947775628624,2.38,0
50,2019.9255319148936,2.364886363636363,0
51,2020.2287234042556,2.1960454545454544,0
52,2020.531914893617,2.0906818181818183,0
53,2020.862669245648,2.0820454545454545,0
54,2021.193423597679,2.0820454545454545,0
55,2021.5241779497096,2.0539772727272725,0
56,2021.8549323017407,1.9848863636363632,0
57,2022.185686653772,2.060454545454545,0
58,2022.433752417795,2.1770454545454543,0
59,2022.5623791102516,2.392954545454545,0
60,2022.62669245648,2.6261363636363635,0
61,2022.6818181818185,2.781590909090909,0
62,2022.7369439071567,2.9759090909090906,0
63,2022.8471953578337,3.209090909090909,0
64,2022.957446808511,3.422840909090909,0
65,2023.067698259188,3.6495454545454544,0
66,2023.1779497098648,3.8632954545454554,0
67,2023.315764023211,4.081363636363637,0
68,2023.4811411992264,4.284318181818182,0
69,2023.6465183752416,4.478636363636364,0
70,2023.8118955512573,4.642727272727273,0
71,2024.0599613152804,4.811136363636363,0
72,2024.3907156673115,4.949318181818182,0
73,2024.7214700193424,4.975227272727272,0
74,2025.0522243713733,4.899659090909091,0
75,2025.382978723404,4.893181818181818,0
76,2025.7137330754351,4.893181818181818,0
77,2026.0444874274665,4.893181818181818,0
78,2026.3752417794967,4.834886363636364,0
79,2026.705996131528,4.789545454545454,0
80,2027.036750483559,4.789545454545454,0
81,2027.36750483559,4.739886363636364,0
82,2027.6982591876208,4.679431818181818,0
83,2027.946324951644,4.6125,0
0,2021.764023210832,2.0090909090909097,1
1,2022.2862669245649,2.4454545454545453,1
2,2022.6731141199227,2.809090909090909,1
3,2023.4468085106384,3.0727272727272723,1
4,2023.7562862669247,3.209090909090909,1
5,2024.027079303675,3.209090909090909,1
6,2024.201160541586,3.0727272727272723,1
7,2024.7814313346228,3.081818181818182,1
8,2024.955512572534,2.981818181818181,1
9,2025.7485493230172,2.990909090909091,1
10,2026.019342359768,2.8909090909090907,1
11,2026.73500967118,2.8909090909090907,1
12,2027.0444874274665,2.790909090909091,1
13,2028.2630560928435,2.7727272727272725,1
