Dataset 0,,Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,
1992.0490164028997,0.7852200032364125,2014.4247447262658,0.42620040958014704,1995.0032690421706,0.42090727053895094,1993.4167259581177,0.34990107963301864,1995.5503528642578,0.059626513637084044
1995.6050612464664,0.7551968062823803,2018.8014153029633,0.45568349426985166,2000.5835240274598,0.4397954436382021,1998.2857719746937,0.3797644288858313,2001.130607849547,0.07454746027945436
1998.6687306501547,0.7254323106621401,2022.740418821991,0.4856780495608899,2006.1637790127493,0.4532121741710171,2003.5377766667307,0.40850713558037777,2006.6233294233025,0.09827063675353598
2001.349441378382,0.695686549095866,2026.4058804299752,0.5153528569943875,2011.7440339980385,0.4587977948815666,2009.11803165202,0.42915788251792475,2011.4157837047862,0.12857255402131385
2003.7566101955656,0.6654404218257387,2030.0166336557506,0.5449583609040825,2017.0142748174785,0.4368626121713499,2013.9749202503274,0.43224309899935753,2015.7924542814837,0.15844881474237105
2005.8902371017057,0.635132858699931,2033.6820952637347,0.5745089478538625,2019.4032075072591,0.4060749900243723,2019.9502913293463,0.3840662786038317,2019.8955829471377,0.18837446163347338
2007.8050304790108,0.6046069109877075,2037.511682018345,0.6041324817332527,2021.4274176489816,0.37526094934272636,2021.5368344133992,0.3559676191182488,2023.6157529373304,0.21948376919014634
2009.739045720335,0.5645285706072518,2041.7242274484163,0.6337634532394556,2023.4516277907044,0.34436129303947094,2022.740418821991,0.3166904429150693,2026.7888391054362,0.2646400073227475
2011.4279411230548,0.529472948528079,2046.7573986116186,0.6619679385483224,2025.6399630790531,0.3143924008511453,2024.1777572272927,0.27705897519996836,2030.7825510066725,0.3077995087550609
2012.9354609883617,0.4986026461522324,2052.337653596908,0.672634594590767,2028.1018402784455,0.2841535442616794,2025.2768983607589,0.24712197205096464,2036.362805991962,0.3116282969101749
2014.4247447262658,0.4675173466427859,2057.3161163779014,0.6528228929758001,2030.9466761532988,0.2550704985639469,2026.654172318461,0.21461326465030217,2040.411226275407,0.28563834647380026
2015.9167915137762,0.43753449788122367,2061.090994750303,0.6215240616391972,2033.5179701171085,0.2213503112153543,2028.2491320766997,0.18547125001714715,2042.5995615637557,0.254544361790794
2017.5928574050797,0.40701014610950215,2064.1546641539912,0.5910309066203379,2036.4175143741707,0.1949747101978857,2031.0560929177161,0.15325105272119444,2044.6237717054785,0.22446154398846618
2019.5673326538854,0.37580347719066376,2067.218333557679,0.5606162817923346,2040.1923927465723,0.1639182981665933,2034.5027209968655,0.12386559806505526,2046.9762321404532,0.19525886863653752
2021.4274176489816,0.345931605847827,2070.5555448724112,0.5302561378114273,2044.6237717054785,0.13340096613236074,2039.1529334846066,0.09347070700520532,2049.4381093398456,0.16218451329606332
2023.5610445551217,0.31603768848242564,2074.3304232448127,0.5004012970354839,2049.9304847797243,0.1076858859473181,2044.5690633232698,0.06625437144081803,2051.954694921447,0.1335700981975284
2026.0776301367227,0.2857512455073886,2078.4882602926755,0.4705265052387768,2055.5107397650136,0.092063207769709,2050.149318308559,0.0453554543140432,2054.5806972674654,0.10555102444952535
2029.2507163048285,0.2551650482312664,2082.263138665077,0.44467379010133745,2061.090994750303,0.0810163320322359,2055.7295732938483,0.030077253108087953,2057.6443666711534,0.07208357366478535
2033.7368036459434,0.22493819411008953,2088.5546026190796,0.40459925854143974,2066.671249735592,0.0736036883457114,2061.3098282791375,0.019369113059407916,2062.185162394477,0.042913337056226686
2039.2076418668153,0.1999377254745801,2094.134857604369,0.3776362144697869,2072.2515047208813,0.0704797829562781,2066.890083264427,0.012519115093251654,2067.7654173797664,0.025060170487158362
2044.7878968521045,0.1833390292106183,2099.4415706786144,0.3602006882226453,2077.8317597061705,0.07331532917645722,2072.4703382497164,0.008241211848777574,2073.3456723650556,0.015617983309306305
2050.3681518373937,0.17205101959298708,1898.1203007518795,0.10657932557752536,2083.41201469146,0.081082637374148,2078.0505932350056,0.005789036554069149,2078.925927350345,0.011345821347693352
2055.9484068226834,0.16402405864034642,1960.9022556390976,0.18453578614544408,2088.9922696767494,0.08871215478317751,2083.630848220295,0.004588460923036886,2084.5061823356345,0.009927076967946702
2061.5286618079726,0.1580352531033251,,,2094.5725246620386,0.09201274491508948,2089.211103205584,0.004260560286861059,2090.086437320924,0.009484350674553
2067.108916793262,0.15340139032147548,,,2100.152779647328,0.09267234493098819,2094.7913581908733,0.004585840985398382,2095.666692306213,0.009443514181422086
2072.689171778551,0.14960001355445607,,,2103.48999096206,0.09295084895079009,2100.152779647328,0.0050609792484510585,2099.003903620945,0.0094183043378826
2078.2694267638403,0.1463899889221093,,,,,2016.1654135338345,0.42778475363458957,,
2083.8496817491296,0.1435359238271382,,,,,2018.421052631579,0.4035491142342781,,
2089.4299367344192,0.1413421062611706,,,,,,,,
2095.0101917197085,0.13990613803284113,,,,,,,,
2100.5904467049977,0.13933136223364673,,,,,,,,
2103.435282579851,0.13905038471378517,,,,,,,,
