Dataset 0,,Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,
X,Y,X,Y,X,Y,X,Y,X,Y
1899.3730169413302,1.0001010084786353,1904.9532719266197,0.11465101174347447,1900.1389342922523,0.2033179165508191,1899.9201007634174,0.04150866529462027,1900.6860181143395,0.0022132101851568553
1904.9532719266197,0.9993654767593356,1910.533526911909,0.12017347834255421,1905.7191892775415,0.20865092081548908,1905.5003557487069,0.045624517592779856,1906.2662730996287,0.003314888981344355
1910.533526911909,0.9977457874794576,1916.1137818971981,0.12587392471032166,1911.299444262831,0.21528145500672224,1911.080610733996,0.05248470309844888,1911.8465280849182,0.004829940143517009
1916.1137818971981,0.9952993534676103,1921.6940368824876,0.13174989029697948,1916.8796992481202,0.22209085224092928,1916.6608657192853,0.061555282505563635,1917.4267830702074,0.006408145417159505
1921.6940368824876,0.9919917270266283,1927.2742918677768,0.1378604282976683,1922.4599542334095,0.22653307438787407,1922.2411207045748,0.07255493295394044,1923.0070380554967,0.007802629639253267
1927.2742918677768,0.9877425301964589,1932.854546853066,0.14424982860874402,1928.040209218699,0.22943751600238382,1927.821375689864,0.08516214260336863,1928.587293040786,0.009512884418696355
1932.854546853066,0.9823967483398578,1938.4348018383555,0.15097796460861201,1933.6204642039881,0.23122240745901868,1933.4016306751532,0.09925060323090873,1934.1675480260753,0.011286293309609174
1938.4348018383555,0.9758452970824681,1944.0150568236447,0.15816540323735206,1939.2007191892774,0.23253651372105977,1938.9818856604427,0.11461362865356839,1939.7478030113646,0.01311932321484699
1944.0150568236447,0.9678585251098538,1949.595311808934,0.16593271143504307,1944.7809741745668,0.23457976290643512,1944.562140645732,0.1312741840027909,1945.328057996654,0.015057021123010328
1949.595311808934,0.9582010398247182,1971.6918387334417,0.20458234441664547,1950.361229159856,0.24206000696108054,1950.1423956310211,0.14913466746994108,1950.9083129819433,0.017123235439829187
1955.1755667942234,0.946700602741234,1977.4965867353806,0.2277114187356475,1955.9414841451453,0.2573771021208535,1955.5690015428734,0.16652712846507745,1956.4885679672325,0.019310016696726717
1960.7558217795126,0.9329093937962515,1983.0768417206698,0.25182415923831625,1961.5217391304348,0.2755074258824659,1961.3029056015998,0.19006584860050724,1962.068822952522,0.0216747777223123
1966.3360767648019,0.9164714534523947,1988.6570967059592,0.2789740383744004,1967.101994115724,0.29545199502812236,1966.883160586889,0.2105070387136312,1967.6490779378112,0.024246224930890237
1971.9163317500913,0.8967954295749913,1994.1826433090398,0.3079644778270997,1972.6822491010134,0.31775049014674694,1972.4634155721785,0.23438438661900296,1973.2293329231006,0.02717937295970474
1977.4965867353806,0.8732325572007597,1999.544064765494,0.33742821644402154,1978.2625040863027,0.34514724444584954,1978.0436705574677,0.2611668236519895,1978.8095879083899,0.030732579537496196
1982.9674249562524,0.8453743357289784,2004.6866526931137,0.3669290869814543,1983.842759071592,0.3743754679775789,1983.459800396131,0.2902261838599496,1984.389842893679,0.035979464559252716
1987.8911793550371,0.8153123752262073,2009.665115474107,0.39660154810841985,1989.4230140568814,0.39926328166646796,1988.5476799415417,0.3199880421867184,1989.9700978789685,0.047134129644873735
