Default Dataset,,Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,
X,Y,X,Y,X,Y,X,Y,X,Y
1900.21164021164,1,1899.7735298922946,0.10332541567695985,1899.959029270193,0.20071258907363443,1900.0610790634544,0.03206650831353919,1899.7793110382183,-0.004750593824227822
1913.5449735449733,1,1904.231547461951,0.11045130641330192,1909.2825095200392,0.20665083135391926,1916.202289836494,0.061757719714964354,1909.3053827495633,-0.0035629453681709222
1926.243386243386,1,1915.0410335683493,0.11876484560570066,1920.726916261358,0.21496437054631845,1927.4622026165969,0.08432304038004768,1916.2872475461547,-0.004750593824227822
1937.2441528736065,0.997624703087886,1927.7620681421156,0.130641330166271,1931.7548291420026,0.22684085510688845,1936.1892194196232,0.11045130641330192,1929.6273674420943,-0.0011876484560569
1949.2895474368158,0.9881235154394299,1939.8549686435672,0.14608076009501192,1943.196973695786,0.23396674584323052,1948.5209063831392,0.14014251781472697,1945.5162186278576,0.0071258907363420665
1959.0046374844474,0.9774346793349169,1954.7308625218363,0.1781472684085511,1955.719941183124,0.2529691211401427,1959.1594716535333,0.16983372921615203,1955.8978999359047,0.013064133016627233
1968.5013007578327,0.9631828978622328,1968.3369151302643,0.2102137767220903,1965.5142077944927,0.28384798099762476,1969.8183966117456,0.2102137767220903,1967.1216177154417,0.016627078384798377
1977.34720808355,0.9406175771971497,1980.6957483442043,0.2541567695961996,1973.833779486986,0.31828978622327797,1982.6299186869257,0.2695961995249406,1975.3936834696929,0.026128266033254244
1985.769834985987,0.9180522565320666,1993.4959594817076,0.30760095011876487,1980.6718696979979,0.3527315914489312,1990.981161004914,0.320665083135392,1986.4374316630847,0.04631828978622332
1992.913571868441,0.8907363420427553,2003.5493722429587,0.3634204275534443,1987.9490756450375,0.39548693586698347,2001.2665736656234,0.3871733966745844,1996.4184544232048,0.06413301662707838
1999.4201259284393,0.8622327790973872,2013.4228154180648,0.43586698337292173,1995.415299928364,0.42636579572446565,2008.9874197237616,0.44061757719714967,2005.5755382121176,0.09382422802850354
2005.260088728022,0.817102137767221,2023.5124231798816,0.5106888361045131,2002.649524312232,0.44655581947743483,2016.7082657818999,0.49406175771971506,2012.6343173849111,0.1330166270783849
2011.113624652817,0.7790973871733967,2029.5197878570798,0.5534441805225654,2010.93290100416,0.46199524940617587,2025.066294662494,0.5486935866983373,2019.0762734230666,0.18171021377672225
2015.246892634066,0.7268408551068885,2038.6700850833868,0.5795724465558195,2017.2821073533662,0.46199524940617587,2030.5689401651396,0.5486935866983373,2023.6541869320965,0.25178147268408557
2018.986288629994,0.6900237529691212,2045.0011939323103,0.5700712589073635,2024.430368610891,0.43705463182897875,2033.7096105267126,0.5308788598574823,2027.610752931418,0.32897862232779107
2022.8875567117846,0.6270783847980999,2048.7428521157735,0.5344418052256533,2027.5393683469692,0.4026128266033254,2035.9901469165127,0.505938242280285,2030.9369226708893,0.4085510688836106
2026.1923613467557,0.5843230403800476,2050.3477484950167,0.48812351543943,2031.0490266309744,0.3562945368171022,2038.0092749688947,0.4548693586698338,2034.1012203244982,0.5142517814726841
2029.8616295290878,0.5106888361045131,2051.5225778883737,0.43824228028503565,2033.0432706204676,0.29216152019002384,2038.3443300782967,0.4085510688836106,2037.5201397529188,0.6425178147268409
2034.5800500194798,0.4323040380047507,2053.5462303158265,0.3895486935866984,2035.2672523218841,0.23752969121140144,2041.3877263758498,0.33966745843230406,2040.3267604217722,0.7826603325415677
2041.205494602169,0.3551068883610452,2055.585718056027,0.34916864608076015,2036.0368987922432,0.19714964370546328,2044.8747627845014,0.28147268408551085,2041.3633450213022,0.8824228028503562
2045.575286857947,0.31591448931116395,2059.523181138383,0.30522565320665085,2038.05376465709,0.1448931116389549,2049.8749513001294,0.23990498812351557,2041.8838995086026,0.9334916864608076
2052.487023840943,0.2779097387173398,2063.0418881725295,0.2636579572446557,2039.8838743731853,0.10570071258907388,2056.370194422451,0.20546318289786236,2042.8571428571427,1
2056.685895260717,0.26009501187648465,2066.797119481205,0.23515439429928753,2042.3489047242015,0.06650831353919262,2063.297766718194,0.17577197149643708,,
2064.9036685141195,0.24109263657957247,2071.826716434792,0.20902612826603328,2045.8947580087722,0.039192399049881255,2070.000125677085,0.13895486935866985,,
2074.2045268886122,0.23515439429928753,2077.3067400620844,0.19714964370546328,2049.472281918838,0.028503562945368266,2076.292777337908,0.1092636579572448,,
2079.7071723912577,0.23515439429928753,2084.2772939209995,0.19002375296912122,2053.5115434402846,0.038004750593824355,2083.443300782968,0.0855106888361048,,
2085.8492629038947,0.23752969121140144,2090.4216466211715,0.19358669833729236,2056.4926039035304,0.04750593824228044,2089.9521170305015,0.05819477434679343,,
2099.394236448868,0.23752969121140144,2096.3679322349153,0.20427553444180535,2064.5371941333938,0.048693586698337565,2094.3739395995926,0.04631828978622332,,
,,2099.7519134336235,0.20308788598574823,2068.560620342093,0.04988123515439424,2100.270457087559,0.030878859857482288,,
,,,,2071.7239125790193,0.0439429928741093,,,,
,,,,2074.033857406779,0.03444180522565343,,,,
,,,,2077.4291495431635,0.039192399049881255,,,,
,,,,2081.891691487891,0.048693586698337565,,,,
,,,,2086.7639407306865,0.051068883610451365,,,,
,,,,2094.1803968882355,0.05581947743467941,,,,
,,,,2098.194774346793,0.05225653206650849,,,,
,,,,2100.7254081363344,0.04750593824228044,,,,
