,x,y1,y2,y3
0,2018 Q1,1.0036420920823197,1.0036420920823197,1.1872816259483905
1,2018 Q2,0.8872701812967447,1.005338593,1.188978127251061
2,2018 Q3,1.0463777677543558,1.0462565890898796,1.1773988326455314
3,2018 Q4,0.943483617,0.956476663,1.1270019725193707
4,2019 Q1,0.95837512875233,1.023703893201203,1.0895173723079807
5,2019 Q2,0.7895867134326551,0.8945409011653336,0.9338835742320296
6,2019 Q3,0.9226274227317708,0.961848917,1.0666011404258748
7,2019 Q4,0.832605139,0.9242835311462824,0.9898950458122666
8,2020 Q1,0.965484277068284,1.0571626688927624,1.0571626688927624
9,2020 Q2,1.3476144633468197,1.1509010980133425,1.6228919961492112
10,2020 Q3,1.5199978457126306,1.6247096761163586,1.6905231552231363
11,2020 Q4,1.9282353020378205,2.308547808,2.269245528170673
12,2021 Q1,1.982509879427228,2.2449963309793253,2.2449963309793253
13,2021 Q2,1.7220026793949144,2.1154294100618687,1.984327559394376
14,2021 Q3,2.077944809850478,2.4187530715425374,2.366174995
15,2021 Q4,2.4205707515096844,2.9189112770211594,2.6696198356009453
16,2022 Q1,2.343905049784235,2.802741330676379,2.684753704364452
17,2022 Q2,2.516167253485569,2.9357820399754955,2.660504507173104
18,2022 Q3,2.845840542341845,3.186689196922062,2.7408863546091653
19,2022 Q4,3.240923381423311,3.5687385974242805,3.2146545398240214
20,2023 Q1,3.059182313300705,3.137786873657778,2.469082610188433
21,2023 Q2,3.0347311516685624,3.401889040736228,2.721726661325829
22,2023 Q3,3.272685656,3.574191637325722,2.6281498037578848
