,x,y,year
1,-1.2854601801801802, -0.3913839920860087,1991
2,-1.2261193193193192, -0.3605542736106271,1991
3,-1.1592972972972972, -0.338889839864978,1991
4,-1.089352072072072, -0.30238300880991487,1991
5,-1.0154846846846848, -0.26369495522644715,1991
6,-0.9422709909909909, -0.22867317604897708,1991
7,-0.8736331531531532, -0.19845112886367033,1991
8,-0.7997657657657657, -0.1667329898959733,1991
9,-0.7227751751751752, -0.13913936118438885,1991
10,-0.6592216216216216, -0.11990676173410986,1991
11,-0.5840468468468467, -0.10063453536409328,1991
12,-0.5121405405405406, -0.08700661422346512,1991
13,-0.44023423423423425, -0.07135149569458965,1991
14,-0.3683279279279279, -0.059462256958113247,1991
15,-0.29642162162162156, -0.051991852978040654,1991
16,-0.2245153153153152, -0.03490175202827139,1991
17,-0.08070270270270274, -0.012763254464911888,1991
18,0.0006458458458460381, 0.0033723347657048652,1991
19,0.0768374774774776, 0.012955127171370373,1991
20,0.1480900900900901, 0.022233448943669964,1991
21,0.29059531531531557, 0.037840406400875826,1991
22,0.6547027027027028, 0.11312962271663929,1991
23,0.8744164164164163, 0.19397731709610166,1991
24,0.9314330330330332, 0.2110196514193753,1991
25,1.1286306306306308, 0.3133649725566854,1991
26,1.2005369369369372, 0.33717443563603794,1991
27,1.270482162162162, 0.35606666766213735,1991
28,1.3443495495495494, 0.37833214465092924,1991
29,1.3901081081081081, 0.38980954158578474,1991
30,-1.3855855855855856, -0.39787964760340433,1991
31,0.4882882882882884, 0.0719078194216316,1991
