,x,y,year
0,-1.381981981981982, -0.17689014981832651,1881
1,-1.2414414414414414, -0.13564780249863118,1881
2,-1.0792792792792794, -0.11377233587178337,1881
3,-0.9711711711711711, -0.11944651834154596,1881
4,-0.8702702702702704, -0.12234831516599476,1881
5,-0.7297297297297296, -0.11425513911701757,1881
6,-0.6072072072072072, -0.10613707630282221,1881
7,-0.46666666666666656, -0.08975660743616554,1881
8,-0.3333333333333335, -0.06507889104574183,1881
9,-0.19999999999999996, -0.045926036533771364,1881
10,-0.07027027027027022, -0.018480911851077586,1881
11,0.05585585585585595, 0.008969190184659803,1881
12,0.1855855855855857, 0.04470160768503306,1881
13,0.3009009009009007, 0.06940421084067494,1881
14,0.4234234234234233, 0.10514658304713564,1881
15,0.5423423423423424, 0.1381315016674134,1881
16,0.6864864864864864, 0.16831914787715896,1881
17,0.8450450450450451, 0.19296202279627694,1881
18,0.9783783783783784, 0.20106515355134147,1881
19,1.1189189189189188, 0.20087103678263907,1881
20,1.2414414414414414, 0.20898909959683443,1881
21,1.3315315315315315, 0.1978149420138371,1881
22,1.3999999999999997, 0.1811457866706485,1881
0,-1.3554054054054054, -0.0692522721616643,1817
1,-1.2802306306306306, -0.04486459919864616,1817
2,-1.1865345345345344, -0.02714214905513246,1817
3,-1.1070018018018017, -0.023493713603105815,1817
4,-0.9936948948948949, -0.02699091467157755,1817
5,-0.8912828828828828, -0.02128614304912646,1817
6,-0.8041237237237236, -0.017230653858278155,1817
7,-0.7090657657657657, -0.016213583818625255,1817
8,-0.6254474474474474, -0.016642269341164306,1817
9,-0.5284828828828829, -0.010199195535314343,1817
10,-0.43941711711711706, -0.012201358195211842,1817
11,-0.33891171171171175, -0.013279749639141913,1817
12,0.5228744744744744, 0.02353039835415527,1817
13,0.6113954954954954, 0.022050972450350925,1817
14,0.7004612612612615, 0.024120287691005937,1817
15,0.7978616216216217, 0.026992386640784405,1817
16,0.8810441441441441, 0.02606319807376445,1817
17,0.9815495495495494, 0.024984806629834266,1817
18,1.059339099099099, 0.029136754765815454,1817
19,1.158513770913771, 0.03136212518753967,1817
20,1.2384511711711712, 0.017363948036434262,1817
21,1.2920540540540542, 0.0040941466328207055,1817
22,1.3606918918918918, -0.005187581504156102,1817
23,0.33333333333333326, 0.005823503061072155,1817
24,-0.16396396396396384, -0.007301776915036529,1817
25,0.09189189189189184, 0.003394554775770331,1817
0,-1.405521921921922, -0.3848791830504539,2011
1,-1.3423315315315314, -0.38092725281786044,2011
2,-1.2691178378378378, -0.3813367406514645,2011
3,-1.198518918918919, -0.3603148476703726,2011
4,-1.1266126126126126, -0.32310462282976093,2011
5,-1.0473522522522523, -0.27851325717983166,2011
6,-0.9854147747747748, -0.2489083365686129,2011
7,-0.9108936936936937, -0.21464002063339083,2011
8,-0.8349646569646569, -0.1764494951815393,2011
9,-0.7082486486486486, -0.12654322197637125,2011
10,-0.6376497297297297, -0.11241998257926444,2011
11,-0.5644360360360361, -0.09610612237048688,2011
12,-0.49252972972972975, -0.08083062882068404,2011
13,-0.42258450450450447, -0.06377578169329545,2011
14,-0.06370666666666636, -0.009651027325668138,2011
15,0.010814414414414442, 0.000017589965656261697,2011
16,0.08272072072072079, 0.006607263994280577,2011
17,0.34699974259974264, 0.04053136037153404,2011
18,0.5563515151515153, 0.06913785933095329,2011
19,0.6220180180180181, 0.08789402145239156,2011
20,0.6998075675675677, 0.10379688119058295,2011
21,0.7669201201201201, 0.12527025755036802,2011
22,0.9698764478764479, 0.21494954190575744,2011
23,1.0510045045045044, 0.2563576128614803,2011
24,1.1874630630630632, 0.33141677057699165,2011
25,1.2593693693693695, 0.3517998470595156,2011
26,1.3855855855855859, 0.3911104474640387,2011
27,0.8702702702702705, 0.15977801005425318,2011
28,0.43783783783783803, 0.04711562391120405,2011
29,-0.2828828828828829, -0.03752426459608782,2011
30,-0.17477477477477477, -0.023861430491264768,2011
0,-1.3554054054054054, -0.4017581988316792,1971
1,-1.281538018018018, -0.40693201533024737,1971
2,-1.2115927927927927, -0.38428681076103754,1971
3,-1.1409938738738739, -0.3574332273157135,1971
4,-1.0685065065065065, -0.328107350444367,1971
5,-0.9952201801801802, -0.2964997655666717,1971
6,-0.9246212612612612, -0.2657793220845157,1971
7,-0.8540223423423424, -0.23656219351948615,1971
8,-0.7830602602602603, -0.2087932031478993,1971
9,-0.7089023423423422, -0.18264329849186212,1971
10,-0.6370686686686686, -0.16055470166298902,1971
11,-0.5644360360360361, -0.1402489149370365,1971
12,-0.49180340340340334, -0.12122372980715534,1971
13,-0.4199697297297298, -0.09997587576526801,1971
14,-0.3500245045045043, -0.0798696030560947,1971
15,-0.2768108108108107, -0.06552599648870372,1971
16,-0.06844594594594589, -0.010417018192225291,1971
17,0.00885333333333338, 0.00503134836493957,1971
18,0.1554441441441441, 0.03927984172017318,1971
19,0.23307027027027027, 0.059216822208949305,1971
20,0.30497657657657684, 0.07227150963117812,1971
21,0.3742681081081083, 0.0882111622119357,1971
22,0.4487891891891891, 0.1059733840570859,1971
23,0.5214218218218216, 0.12547014777208132,1971
24,0.5926018018018018, 0.1433955832779037,1971
25,0.6632007207207209, 0.1625602423970931,1971
26,0.7409902702702704, 0.18387503583694187,1971
27,0.8148576576576578, 0.2079285464771654,1971
28,0.8926472072072069, 0.23782666069384306,1971
29,0.9659335335335333, 0.2638200139365886,1971
30,1.0377672072072073, 0.2859828485391469,1971
31,1.108366126126126, 0.31436480215021656,1971
32,1.1809261261261261, 0.3347491450264931,1971
33,1.2528324324324325, 0.3508977760281628,1971
34,1.3221239639639644, 0.35732326738340553,1971
35,1.377034234234234, 0.34639850181673393,1971
0,-1.3554054054054054, -0.40596444359980266,1991
