,date,indicator,value
124,2016-10-31,Median 1 year,2.4
125,2016-10-31,Median 5 year,2.4
126,2016-09-30,Median 1 year,2.4
127,2016-09-30,Median 5 year,2.6
128,2016-08-31,Median 1 year,2.5
129,2016-08-31,Median 5 year,2.5
130,2016-07-31,Median 1 year,2.7
131,2016-07-31,Median 5 year,2.6
132,2016-06-30,Median 1 year,2.6
133,2016-06-30,Median 5 year,2.6
134,2016-05-31,Median 1 year,2.4
135,2016-05-31,Median 5 year,2.5
136,2016-04-30,Median 1 year,2.8
137,2016-04-30,Median 5 year,2.5
138,2016-03-31,Median 1 year,2.7
139,2016-03-31,Median 5 year,2.7
140,2016-02-29,Median 1 year,2.5
141,2016-02-29,Median 5 year,2.5
142,2016-01-31,Median 1 year,2.5
143,2016-01-31,Median 5 year,2.7
144,2015-12-31,Median 1 year,2.6
145,2015-12-31,Median 5 year,2.6
146,2015-11-30,Median 1 year,2.7
147,2015-11-30,Median 5 year,2.6
148,2015-10-31,Median 1 year,2.7
149,2015-10-31,Median 5 year,2.5
150,2015-09-30,Median 1 year,2.8
151,2015-09-30,Median 5 year,2.7
152,2015-08-31,Median 1 year,2.8
153,2015-08-31,Median 5 year,2.7
154,2015-07-31,Median 1 year,2.8
155,2015-07-31,Median 5 year,2.8
156,2015-06-30,Median 1 year,2.7
157,2015-06-30,Median 5 year,2.6
158,2015-05-31,Median 1 year,2.8
159,2015-05-31,Median 5 year,2.8
160,2015-04-30,Median 1 year,2.6
161,2015-04-30,Median 5 year,2.6
162,2015-03-31,Median 1 year,3.0
163,2015-03-31,Median 5 year,2.8
164,2015-02-28,Median 1 year,2.8
165,2015-02-28,Median 5 year,2.7
166,2015-01-31,Median 1 year,2.5
167,2015-01-31,Median 5 year,2.8
168,2014-12-31,Median 1 year,2.8
169,2014-12-31,Median 5 year,2.8
170,2014-11-30,Median 1 year,2.8
171,2014-11-30,Median 5 year,2.6
172,2014-10-31,Median 1 year,2.9
173,2014-10-31,Median 5 year,2.8
174,2014-09-30,Median 1 year,3.0
175,2014-09-30,Median 5 year,2.8
176,2014-08-31,Median 1 year,3.2
177,2014-08-31,Median 5 year,2.9
178,2014-07-31,Median 1 year,3.3
