,date,indicator,value
0,2019-01-01,16% Trimmed Mean ,2.203080211111085
1,2019-01-01,Core,2.117647058823513
2,2019-01-01,Median ,2.66083163272577
3,2019-01-01,Headline,1.487736228387626
4,2019-02-01,16% Trimmed Mean ,2.17557771317367
5,2019-02-01,Core,2.0352250489236834
6,2019-02-01,Median ,2.724997311808373
7,2019-02-01,Headline,1.484155635780171
8,2019-03-01,16% Trimmed Mean ,2.285847485701486
9,2019-03-01,Core,2.0304568527918843
10,2019-03-01,Median ,2.782841171744964
11,2019-03-01,Headline,1.843687374749492
12,2019-04-01,16% Trimmed Mean ,2.293475308869608
13,2019-04-01,Core,2.1036229061160983
14,2019-04-01,Median ,2.801939537701335
15,2019-04-01,Headline,1.9976028765481324
16,2019-05-01,16% Trimmed Mean ,2.200327902609978
17,2019-05-01,Core,2.0217729393468
18,2019-05-01,Median ,2.75703978669699
19,2019-05-01,Headline,1.8341307814992103
20,2019-06-01,16% Trimmed Mean ,2.2072856637552536
21,2019-06-01,Core,2.1747572815534078
22,2019-06-01,Median ,2.83479035153098
23,2019-06-01,Headline,1.671974522292996
24,2019-07-01,16% Trimmed Mean ,2.2738603105102007
25,2019-07-01,Core,2.2101589763474427
26,2019-07-01,Median ,2.862613148324478
27,2019-07-01,Headline,1.8304814962196492
28,2019-08-01,16% Trimmed Mean ,2.307447068740221
29,2019-08-01,Core,2.3634250290584857
30,2019-08-01,Median ,2.8894292235532637
31,2019-08-01,Headline,1.7481128327373918
32,2019-09-01,16% Trimmed Mean ,2.3081414049761046
33,2019-09-01,Core,2.3597678916827958
34,2019-09-01,Median ,2.927770205763913
35,2019-09-01,Headline,1.704996034892936
36,2019-10-01,16% Trimmed Mean ,2.381477639819507
37,2019-10-01,Core,2.316602316602312
38,2019-10-01,Median ,2.95851338443287
39,2019-10-01,Headline,1.7793594306049654
40,2019-11-01,16% Trimmed Mean ,2.410255184894173
41,2019-11-01,Core,2.313030069390898
42,2019-11-01,Median ,2.916198840447292
43,2019-11-01,Headline,2.0569620253164445
44,2019-12-01,16% Trimmed Mean ,2.341809639215554
45,2019-12-01,Core,2.2316275490573245
46,2019-12-01,Median ,2.8405975113371387
47,2019-12-01,Headline,2.2574257425742594
48,2020-01-01,16% Trimmed Mean ,2.3853266711883823
49,2020-01-01,Core,2.2657450076805086
50,2020-01-01,Median ,2.8121566201309007
51,2020-01-01,Headline,2.496038034865289
52,2020-02-01,16% Trimmed Mean ,2.3961035637534613
53,2020-02-01,Core,2.3782125047947744
54,2020-02-01,Median ,2.806668610496787
55,2020-02-01,Headline,2.292490118577084
56,2020-03-01,16% Trimmed Mean ,2.2976412393283194
57,2020-03-01,Core,2.1048603138155375
58,2020-03-01,Median ,2.773129212387748
59,2020-03-01,Headline,1.5348288075560879
60,2020-04-01,16% Trimmed Mean ,2.131485482294893
61,2020-04-01,Core,1.411674933231577
62,2020-04-01,Median ,2.658673490657893
63,2020-04-01,Headline,0.3525264394829586
64,2020-05-01,16% Trimmed Mean ,2.2304100142506837
65,2020-05-01,Core,1.2195121951219745
66,2020-05-01,Median ,2.702007483729641
67,2020-05-01,Headline,0.19577133907595634
