,value,date
103,-0.78283,2009-08-01
104,-0.75557,2009-09-01
105,-0.47327,2009-10-01
106,-0.34009,2009-11-01
107,-0.31359,2009-12-01
108,0.1779,2010-01-01
109,0.34896,2010-02-01
110,0.61819,2010-03-01
111,0.63427,2010-04-01
112,0.69619,2010-05-01
113,0.60627,2010-06-01
114,0.51233,2010-07-01
115,0.50048,2010-08-01
116,0.48348,2010-09-01
117,0.47661,2010-10-01
118,0.44903,2010-11-01
119,0.3937,2010-12-01
120,0.1412,2011-01-01
121,0.08862,2011-02-01
122,0.00457,2011-03-01
123,0.0796,2011-04-01
124,0.06995,2011-05-01
125,0.00172,2011-06-01
126,-0.00708,2011-07-01
127,-0.12594,2011-08-01
128,-0.13715,2011-09-01
129,-0.36333,2011-10-01
130,-0.31035,2011-11-01
131,-0.30085,2011-12-01
132,-0.21635,2012-01-01
133,-0.13525,2012-02-01
134,-0.20428,2012-03-01
135,-0.34968,2012-04-01
136,-0.42679,2012-05-01
137,-0.37289,2012-06-01
138,-0.33596,2012-07-01
139,-0.2998,2012-08-01
140,-0.31608,2012-09-01
141,-0.10556,2012-10-01
142,-0.16894,2012-11-01
143,-0.21066,2012-12-01
144,-0.31545,2013-01-01
145,-0.4137,2013-02-01
146,-0.39296,2013-03-01
147,-0.29495,2013-04-01
148,-0.21837,2013-05-01
149,-0.13436,2013-06-01
150,-0.18702,2013-07-01
151,-0.21493,2013-08-01
152,-0.19667,2013-09-01
153,-0.16119,2013-10-01
154,-0.14809,2013-11-01
155,-0.08287,2013-12-01
156,-0.06546,2014-01-01
157,-0.07251,2014-02-01
158,-0.06382,2014-03-01
159,-0.12479,2014-04-01
160,-0.179,2014-05-01
161,-0.20555,2014-06-01
162,-0.07076,2014-07-01
163,-0.04195,2014-08-01
164,-0.03465,2014-09-01
165,-0.23551,2014-10-01
166,-0.22878,2014-11-01
167,-0.15271,2014-12-01
168,-0.27455,2015-01-01
169,-0.29183,2015-02-01
170,-0.38587,2015-03-01
171,-0.46436,2015-04-01
172,-0.46626,2015-05-01
173,-0.48729,2015-06-01
174,-0.64085,2015-07-01
175,-0.62152,2015-08-01
176,-0.66275,2015-09-01
177,-0.75555,2015-10-01
178,-0.84069,2015-11-01
179,-0.94282,2015-12-01
180,-0.80804,2016-01-01
181,-0.82823,2016-02-01
182,-0.75792,2016-03-01
183,-0.68911,2016-04-01
184,-0.75722,2016-05-01
185,-0.7638,2016-06-01
186,-0.58892,2016-07-01
187,-0.61116,2016-08-01
188,-0.58718,2016-09-01
189,-0.38445,2016-10-01
190,-0.38346,2016-11-01
191,-0.36871,2016-12-01
192,-0.3471,2017-01-01
193,-0.30995,2017-02-01
194,-0.30938,2017-03-01
195,-0.20421,2017-04-01
196,-0.10786,2017-05-01
197,-0.03388,2017-06-01
198,-0.11432,2017-07-01
199,-0.17535,2017-08-01
200,-0.10281,2017-09-01
201,-0.06843,2017-10-01
202,-0.01195,2017-11-01
203,-0.03499,2017-12-01
204,-0.08337,2018-01-01
205,-0.03632,2018-02-01
206,-0.02255,2018-03-01
207,-0.13851,2018-04-01
208,-0.14645,2018-05-01
209,-0.20108,2018-06-01
210,-0.20891,2018-07-01
211,-0.14489,2018-08-01
212,-0.1322,2018-09-01
213,-0.22112,2018-10-01
214,-0.1751,2018-11-01
215,-0.13164,2018-12-01
216,-0.28844,2019-01-01
217,-0.38672,2019-02-01
218,-0.47604,2019-03-01
219,-0.41148,2019-04-01
220,-0.41852,2019-05-01
221,-0.45043,2019-06-01
222,-0.47004,2019-07-01
223,-0.50017,2019-08-01
224,-0.63487,2019-09-01
225,-0.61463,2019-10-01
226,-0.74947,2019-11-01
227,-0.58564,2019-12-01
228,-0.47777,2020-01-01
229,-0.45301,2020-02-01
230,-0.39307,2020-03-01
231,-0.52994,2020-04-01
232,-0.2375,2020-05-01
233,-0.07072,2020-06-01
234,-0.25574,2020-07-01
235,-0.20679,2020-08-01
236,-0.15045,2020-09-01
237,-0.21249,2020-10-01
238,-0.27074,2020-11-01
239,-0.13434,2020-12-01
240,0.11269,2021-01-01
241,0.20482,2021-02-01
242,0.32669,2021-03-01
243,0.1245,2021-04-01
244,-0.33777,2021-05-01
245,-0.86689,2021-06-01
246,-0.64856,2021-07-01
247,-0.39876,2021-08-01
248,-0.34597,2021-09-01
249,-0.45839,2021-10-01
