,date,indicator,value
0,2021-12-31,SD 1 year,7.2
1,2021-12-31,SD 5 year,4.3
2,2021-11-30,SD 1 year,6.6
3,2021-11-30,SD 5 year,4.2
4,2021-10-31,SD 1 year,6.5
5,2021-10-31,SD 5 year,3.7
6,2021-09-30,SD 1 year,6.6
7,2021-09-30,SD 5 year,4.2
8,2021-08-31,SD 1 year,6.2
9,2021-08-31,SD 5 year,4.2
10,2021-07-31,SD 1 year,5.7
11,2021-07-31,SD 5 year,3.9
12,2021-06-30,SD 1 year,6.6
13,2021-06-30,SD 5 year,4.0
14,2021-05-31,SD 1 year,5.5
15,2021-05-31,SD 5 year,3.2
16,2021-04-30,SD 1 year,4.0
17,2021-04-30,SD 5 year,2.5
18,2021-03-31,SD 1 year,4.3
19,2021-03-31,SD 5 year,3.1
20,2021-02-28,SD 1 year,4.1
21,2021-02-28,SD 5 year,2.9
22,2021-01-31,SD 1 year,4.3
23,2021-01-31,SD 5 year,2.9
24,2020-12-31,SD 1 year,4.1
25,2020-12-31,SD 5 year,2.7
26,2020-11-30,SD 1 year,4.1
27,2020-11-30,SD 5 year,2.5
28,2020-10-31,SD 1 year,3.8
29,2020-10-31,SD 5 year,2.8
30,2020-09-30,SD 1 year,4.3
31,2020-09-30,SD 5 year,2.6
32,2020-08-31,SD 1 year,4.3
33,2020-08-31,SD 5 year,2.7
34,2020-07-31,SD 1 year,4.4
35,2020-07-31,SD 5 year,2.7
36,2020-06-30,SD 1 year,4.4
37,2020-06-30,SD 5 year,2.5
38,2020-05-31,SD 1 year,5.6
39,2020-05-31,SD 5 year,3.1
40,2020-04-30,SD 1 year,5.5
41,2020-04-30,SD 5 year,2.6
42,2020-03-31,SD 1 year,3.8
43,2020-03-31,SD 5 year,2.4
44,2020-02-29,SD 1 year,3.1
45,2020-02-29,SD 5 year,2.6
46,2020-01-31,SD 1 year,3.2
47,2020-01-31,SD 5 year,2.6
48,2019-12-31,SD 1 year,3.2
49,2019-12-31,SD 5 year,2.5
50,2019-11-30,SD 1 year,3.4
51,2019-11-30,SD 5 year,2.7
52,2019-10-31,SD 1 year,3.3
53,2019-10-31,SD 5 year,2.6
54,2019-09-30,SD 1 year,3.5
55,2019-09-30,SD 5 year,2.8
56,2019-08-31,SD 1 year,3.5
57,2019-08-31,SD 5 year,2.7
58,2019-07-31,SD 1 year,3.4
59,2019-07-31,SD 5 year,2.8
60,2019-06-30,SD 1 year,3.5
61,2019-06-30,SD 5 year,2.7
62,2019-05-31,SD 1 year,3.1
63,2019-05-31,SD 5 year,2.6
64,2019-04-30,SD 1 year,2.9
65,2019-04-30,SD 5 year,2.3
