,date,durables,value
0,1990-01-01,Durables,0.83225
1,1990-01-01,Services,5.61139
2,1990-01-01,Non-durables,4.31248
3,1990-02-01,Durables,1.20998
4,1990-02-01,Services,5.88427
5,1990-02-01,Non-durables,4.29149
6,1990-03-01,Durables,1.47026
7,1990-03-01,Services,5.40132
8,1990-03-01,Non-durables,4.43976
9,1990-04-01,Durables,1.20608
10,1990-04-01,Services,3.71374
11,1990-04-01,Non-durables,4.43759
12,1990-05-01,Durables,1.22335
13,1990-05-01,Services,3.09559
14,1990-05-01,Non-durables,4.46144
15,1990-06-01,Durables,0.86661
16,1990-06-01,Services,3.70801
17,1990-06-01,Non-durables,4.65357
18,1990-07-01,Durables,0.86839
19,1990-07-01,Services,4.01448
20,1990-07-01,Non-durables,4.53313
21,1990-08-01,Durables,0.92153
22,1990-08-01,Services,5.92324
23,1990-08-01,Non-durables,4.81891
24,1990-09-01,Durables,0.95828
25,1990-09-01,Services,7.38415
26,1990-09-01,Non-durables,4.86209
27,1990-10-01,Durables,1.05332
28,1990-10-01,Services,7.99608
29,1990-10-01,Non-durables,4.89169
30,1990-11-01,Durables,0.71041
31,1990-11-01,Services,8.00937
32,1990-11-01,Non-durables,4.80327
33,1990-12-01,Durables,0.60436
34,1990-12-01,Services,8.02234
35,1990-12-01,Non-durables,4.47476
36,1991-01-01,Durables,1.06958
37,1991-01-01,Services,5.90054
38,1991-01-01,Non-durables,4.61639
39,1991-02-01,Durables,1.10996
40,1991-02-01,Services,4.58931
41,1991-02-01,Non-durables,4.50422
42,1991-03-01,Durables,1.16174
43,1991-03-01,Services,3.98897
44,1991-03-01,Non-durables,4.13248
45,1991-04-01,Durables,1.39108
46,1991-04-01,Services,4.32111
47,1991-04-01,Non-durables,3.89095
48,1991-05-01,Durables,1.38738
49,1991-05-01,Services,4.69909
50,1991-05-01,Non-durables,4.04282
51,1991-06-01,Durables,1.2952
52,1991-06-01,Services,4.17962
53,1991-06-01,Non-durables,3.80801
54,1991-07-01,Durables,1.77492
55,1991-07-01,Services,3.41562
56,1991-07-01,Non-durables,3.88373
57,1991-08-01,Durables,1.57748
58,1991-08-01,Services,2.47342
59,1991-08-01,Non-durables,3.59328
60,1991-09-01,Durables,1.71277
61,1991-09-01,Services,1.1725
62,1991-09-01,Non-durables,3.67241
63,1991-10-01,Durables,1.59902
64,1991-10-01,Services,-0.03537
65,1991-10-01,Non-durables,3.57516
66,1991-11-01,Durables,1.82965
67,1991-11-01,Services,0.41359
68,1991-11-01,Non-durables,3.48634
69,1991-12-01,Durables,1.67703
70,1991-12-01,Services,0.40807
71,1991-12-01,Non-durables,3.78026
72,1992-01-01,Durables,1.06353
73,1992-01-01,Services,0.24886
74,1992-01-01,Non-durables,3.55516
75,1992-02-01,Durables,0.7331
76,1992-02-01,Services,0.95638
77,1992-02-01,Non-durables,3.65056
78,1992-03-01,Durables,0.70867
79,1992-03-01,Services,1.61318
80,1992-03-01,Non-durables,3.74257
81,1992-04-01,Durables,0.71329
82,1992-04-01,Services,1.32659
83,1992-04-01,Non-durables,4.00817
84,1992-05-01,Durables,0.86319
85,1992-05-01,Services,1.07661
86,1992-05-01,Non-durables,3.61525
87,1992-06-01,Durables,0.99141
88,1992-06-01,Services,1.41372
89,1992-06-01,Non-durables,3.4656
90,1992-07-01,Durables,0.50903
91,1992-07-01,Services,2.02122
92,1992-07-01,Non-durables,3.58737
93,1992-08-01,Durables,0.76529
94,1992-08-01,Services,1.90265
