,date,durables,value
0,2019-01-01,Non-durables,98.15406
1,2019-01-01,Durables,94.98897
2,2019-01-01,Services,98.29339
3,2019-02-01,Non-durables,97.73498
4,2019-02-01,Durables,94.91107
5,2019-02-01,Services,98.38272
6,2019-03-01,Non-durables,98.33034
7,2019-03-01,Durables,96.99468
8,2019-03-01,Services,98.73062
9,2019-04-01,Non-durables,99.0022
10,2019-04-01,Durables,97.16344
11,2019-04-01,Services,98.78939
12,2019-05-01,Non-durables,99.17182
13,2019-05-01,Durables,98.03323
14,2019-05-01,Services,98.95041
15,2019-07-01,Non-durables,99.94013
16,2019-07-01,Durables,98.88355
17,2019-07-01,Services,99.37236
18,2019-08-01,Non-durables,100.39912
19,2019-08-01,Durables,99.2081
20,2019-08-01,Services,99.55924
21,2019-09-01,Non-durables,99.81707
22,2019-09-01,Durables,100.12333
23,2019-09-01,Services,99.75905
24,2019-10-01,Non-durables,100.27606
25,2019-10-01,Durables,99.30547
26,2019-10-01,Services,99.80842
27,2019-11-01,Non-durables,100.06985
28,2019-11-01,Durables,100.42191
29,2019-11-01,Services,100.11401
30,2019-12-01,Non-durables,100
31,2019-12-01,Durables,100
32,2019-12-01,Services,100
33,2020-01-01,Non-durables,100.14302
34,2020-01-01,Durables,100.66208
35,2020-01-01,Services,100.41607
36,2020-02-01,Non-durables,100.18958
37,2020-02-01,Durables,100.61015
38,2020-02-01,Services,100.49717
39,2020-03-01,Non-durables,105.17528
40,2020-03-01,Durables,87.88134
41,2020-03-01,Services,91.20015
42,2020-04-01,Non-durables,91.69494
43,2020-04-01,Durables,77.59315
44,2020-04-01,Services,80.09309
45,2020-05-01,Non-durables,99.18513
46,2020-05-01,Durables,99.47423
47,2020-05-01,Services,84.69223
48,2020-06-01,Non-durables,103.38588
49,2020-06-01,Durables,108.8472
50,2020-06-01,Services,89.70158
51,2020-07-01,Non-durables,104.57327
52,2020-07-01,Durables,112.35233
53,2020-07-01,Services,90.88986
54,2020-08-01,Non-durables,104.13424
55,2020-08-01,Durables,113.87771
56,2020-08-01,Services,91.87833
57,2020-09-01,Non-durables,106.58884
58,2020-09-01,Durables,115.18889
59,2020-09-01,Services,92.79863
60,2020-10-01,Non-durables,106.25291
61,2020-10-01,Durables,116.44814
62,2020-10-01,Services,93.26642
63,2020-11-01,Non-durables,105.15865
64,2020-11-01,Durables,114.48137
65,2020-11-01,Services,93.05368
66,2020-12-01,Non-durables,103.00339
67,2020-12-01,Durables,111.63832
68,2020-12-01,Services,92.83624
69,2021-01-01,Non-durables,108.22524
70,2021-01-01,Durables,124.14644
71,2021-01-01,Services,93.58024
72,2021-02-01,Non-durables,105.25843
73,2021-02-01,Durables,119.23277
74,2021-02-01,Services,93.30873
75,2021-03-01,Non-durables,112.72866
76,2021-03-01,Durables,137.86836
77,2021-03-01,Services,94.96362
78,2021-04-01,Non-durables,112.25637
79,2021-04-01,Durables,139.57549
80,2021-04-01,Services,95.87687
81,2021-05-01,Non-durables,111.56788
82,2021-05-01,Durables,134.08412
83,2021-05-01,Services,96.54329
84,2021-06-01,Non-durables,113.15772
85,2021-06-01,Durables,133.74659
86,2021-06-01,Services,97.21912
87,2021-07-01,Non-durables,111.48473
88,2021-07-01,Durables,128.50837
89,2021-07-01,Services,97.96782
90,2021-08-01,Non-durables,113.60341
91,2021-08-01,Durables,129.63131
92,2021-08-01,Services,98.39682
93,2021-09-01,Non-durables,114.04577
94,2021-09-01,Durables,130.52058
95,2021-09-01,Services,98.61896
96,2021-10-01,Non-durables,114.51806
97,2021-10-01,Durables,134.78515
98,2021-10-01,Services,99.14905
