,date,indicator,value
0,1980-01-01,Black,13.0
1,1980-01-01,White,5.5
2,1980-02-01,Black,12.9
3,1980-02-01,White,5.5
4,1980-03-01,Black,12.9
5,1980-03-01,White,5.6
6,1980-04-01,Black,13.8
7,1980-04-01,White,6.1
8,1980-05-01,Black,14.4
9,1980-05-01,White,6.6
10,1980-06-01,Black,14.6
11,1980-06-01,White,6.7
12,1980-07-01,Black,15.3
13,1980-07-01,White,6.9
14,1980-08-01,Black,14.6
15,1980-08-01,White,6.9
16,1980-09-01,Black,14.8
17,1980-09-01,White,6.6
18,1980-10-01,Black,15.1
19,1980-10-01,White,6.6
20,1980-11-01,Black,15.1
21,1980-11-01,White,6.5
22,1980-12-01,Black,15.0
23,1980-12-01,White,6.3
24,1981-01-01,Black,14.6
25,1981-01-01,White,6.7
26,1981-02-01,Black,14.7
27,1981-02-01,White,6.6
28,1981-03-01,Black,15.1
29,1981-03-01,White,6.5
30,1981-04-01,Black,14.7
31,1981-04-01,White,6.4
32,1981-05-01,Black,14.8
33,1981-05-01,White,6.6
34,1981-06-01,Black,15.7
35,1981-06-01,White,6.5
36,1981-07-01,Black,15.0
37,1981-07-01,White,6.3
38,1981-08-01,Black,16.3
39,1981-08-01,White,6.3
40,1981-09-01,Black,15.9
41,1981-09-01,White,6.6
42,1981-10-01,Black,16.7
43,1981-10-01,White,6.9
44,1981-11-01,Black,16.8
45,1981-11-01,White,7.3
46,1981-12-01,Black,17.2
47,1981-12-01,White,7.5
48,1982-01-01,Black,17.3
49,1982-01-01,White,7.6
50,1982-02-01,Black,17.7
51,1982-02-01,White,7.8
52,1982-03-01,Black,18.1
53,1982-03-01,White,8.0
54,1982-04-01,Black,18.2
55,1982-04-01,White,8.3
56,1982-05-01,Black,18.5
57,1982-05-01,White,8.2
58,1982-06-01,Black,18.5
59,1982-06-01,White,8.5
60,1982-07-01,Black,18.8
61,1982-07-01,White,8.7
62,1982-08-01,Black,18.9
63,1982-08-01,White,8.7
64,1982-09-01,Black,19.7
65,1982-09-01,White,9.0
66,1982-10-01,Black,20.1
67,1982-10-01,White,9.2
68,1982-11-01,Black,20.2
69,1982-11-01,White,9.6
70,1982-12-01,Black,20.9
71,1982-12-01,White,9.7
72,1983-01-01,Black,21.2
73,1983-01-01,White,9.1
74,1983-02-01,Black,19.9
75,1983-02-01,White,9.3
76,1983-03-01,Black,20.1
77,1983-03-01,White,9.1
78,1983-04-01,Black,20.4
79,1983-04-01,White,8.9
80,1983-05-01,Black,20.3
81,1983-05-01,White,8.8
82,1983-06-01,Black,20.7
83,1983-06-01,White,8.7
84,1983-07-01,Black,19.4
85,1983-07-01,White,8.2
86,1983-08-01,Black,19.7
87,1983-08-01,White,8.2
88,1983-09-01,Black,18.8
89,1983-09-01,White,8.0
90,1983-10-01,Black,18.2
91,1983-10-01,White,7.7
92,1983-11-01,Black,17.5
93,1983-11-01,White,7.4
