,year,m65-,w65-,m65+,w65+,all
2,2020,100,100,100,100,100
3,2021,100.06200515571922,100.02201180371924,101.50758897434773,101.314412310993,100.29583385421921
4,2022,100.68972166452994,100.52729246342508,103.27327874693977,102.80852079620362,101.05872083390715
5,2023,100.92192010611618,100.66373912623894,105.27040117381776,104.51836783711084,101.55220907236142
6,2024,101.11024016386514,100.7513664372297,107.28845966652936,106.29817776733212,102.016865104181
7,2025,101.24462842597264,100.78356643524069,109.34306015728612,108.1446646297662,102.44690340669642
8,2026,101.29140578056956,100.72704884550375,111.57771430938158,110.17304321622998,102.83898027278389
9,2027,101.25853983911477,100.58934247103124,113.9490295923776,112.34590076851612,103.19191355364752
10,2028,101.19668419006366,100.41191466227019,116.36585198341263,114.61160502795641,103.53019445050758
11,2029,101.1049235608871,100.1977378967309,118.83529415259875,116.95721845941658,103.853949675404
12,2030,101.00105289159389,99.96812413832224,121.27572641420241,119.2977187648043,104.16351464256009
13,2031,100.91334717497669,99.75338750093465,123.55836924474453,121.51423681436037,104.45970627195081
14,2032,100.81874591910609,99.54946154693329,125.80230307209679,123.62715143620639,104.7436709348549
15,2033,100.75596770451764,99.36336677462616,127.82799851035873,125.6104696782046,105.01613461672454
16,2034,100.70042050755983,99.18077488473823,129.76100205114028,127.52549011228984,105.27815573577553
17,2035,100.68847820663179,99.04330424578079,131.4388931636755,129.21313115610434,105.53149931618731
18,2036,100.65385465020071,98.87519903996711,133.2011926217669,130.99221905987736,105.77962385128454
19,2037,100.67029673718835,98.78224189631541,134.7161389280979,132.4565771083725,106.02609814840318
20,2038,100.76195891075422,98.76751210999124,135.87718183777065,133.60073852990993,106.27240101158544
21,2039,100.92701427234412,98.8271163616286,136.698354456682,134.44466956606945,106.51942687876017
22,2040,101.12541691393002,98.92490608333914,137.374774627096,135.13584043510198,106.76773775509258
23,2041,101.35676572006093,99.05914272569926,137.90462486082671,135.67918744027625,107.01681039439434
24,2042,101.6153320327955,99.23281718305637,138.30863151353253,136.0583839427212,107.2656296096163
25,2043,101.8617226683396,99.38868624229117,138.77147934625648,136.50005783579203,107.51360507172542
26,2044,102.02186983541066,99.4499590593711,139.64226589747304,137.3074602277625,107.75983637987339
27,2045,102.13386491583904,99.44457397619881,140.7214868870849,138.3556952783154,108.00154928575108
28,2046,102.24775617839951,99.43475411864937,141.75224735035562,139.3825052991584,108.23594121718155
29,2047,102.37444667035159,99.4269895801219,142.67236822031032,140.35349825497997,108.46131274210012
30,2048,102.49055136090087,99.41387310872895,143.58334922179174,141.28918559100444,108.67583920713206
31,2049,102.60663417242553,99.40399063393332,144.42465401753142,142.1461720441674,108.87776006028751
32,2050,102.67075065401873,99.3522724719484,145.43774639853356,143.0973903164465,109.06569190423659
33,2051,102.71771033382066,99.2876256903091,146.45281355035306,144.02372077911073,109.23902801191761
34,2052,102.77878563099434,99.20495619186956,147.3200699802855,144.94442238252518,109.39766254150899
35,2053,102.77593771129212,99.08243265791425,148.4146522402377,145.94656562225788,109.54166555731517
36,2054,102.7601483485384,98.97086714204207,149.4952712976848,146.82907350008213,109.67151856508781
37,2055,102.70011595153738,98.84894768034411,150.7191573565543,147.6829360837138,109.78841713019175
38,2056,102.59646771899426,98.6847615774684,152.09323085263088,148.64439534337146,109.89407559199044
39,2057,102.51828667108671,98.52442827691704,153.29733425163087,149.53914820034908,109.99045724173769
40,2058,102.45801360481508,98.41202663663987,154.378250398493,150.20158536378713,110.07954773163536
41,2059,102.3794205019442,98.29911300829089,155.5202446339098,150.83609925948082,110.16332675096585
42,2060,102.32705305656174,98.21674554598003,156.52005537047663,151.32924332364982,110.24375908171278
43,2061,102.247118040182,98.12414937233578,157.64420676514538,151.85420075724366,110.32260676659587
44,2062,102.15554702921862,98.01183981624416,158.82459543848913,152.45866951154912,110.4015602933005
45,2063,102.0823945104652,97.925951054677,159.9245078320634,152.96688771972998,110.48213424338616
46,2064,102.00924928472,97.84570152863431,161.03841837983862,153.46952127436197,110.56562257038979
47,2065,101.96074348717958,97.80156373680572,162.05243698078164,153.8506186219462,110.65298232289524
48,2066,101.94291937513798,97.77292187172526,162.94007024941354,154.19632193833158,110.74479488555622
49,2067,101.95735588487054,97.78437346104305,163.69387347451138,154.40974706234698,110.84122423865965
50,2068,101.95762572617394,97.78028860657105,164.53589478001663,154.7138970198727,110.94227783585495
51,2069,101.92977008135277,97.74681416343175,165.53137150629402,155.1626732955571,111.04766051262563
52,2070,101.88304742431735,97.6947202979697,166.63262954015977,155.71066189932742,111.15685498570285
53,2071,101.7891244182094,97.59448113692292,167.9711396856759,156.4715304234685,111.2690428443818
54,2072,101.665952802714,97.47259482553177,169.45522364454263,157.33438149961947,111.38324766059013
55,2073,101.4987168316722,97.30166816027216,171.15087021858614,158.4028922316585,111.49844381216958
56,2074,101.34102740836464,97.13956315999039,172.79503294459474,159.43976641707638,111.61352070535852
57,2075,101.16718032538923,96.95819046471942,174.50525437582124,160.55162820647894,111.72741544975156
58,2076,100.96124035982828,96.74954980041673,176.35269616508245,161.7652220489195,111.83915161727644
59,2077,100.72916589938143,96.5150334799682,178.30394449111466,163.0699827818795,111.94780942759638
60,2078,100.53352366139934,96.31854056142622,180.05516426161134,164.20682079229877,112.05269867277636
61,2079,100.36195564348655,96.14597479766341,181.6617713903942,165.22918077258305,112.15319622772593
62,2080,100.19212336152543,95.97688613274784,183.22771222101775,166.21759077456494,112.24890704902654
63,2081,100.00946997114812,95.79678051587034,184.82088042273378,167.22882565345236,112.33954938873067
64,2082,99.85677625845778,95.64384341710415,186.23362797030433,168.11080306286564,112.42496821093064
65,2083,99.73074943025196,95.51650203855971,187.48105399635068,168.87024226934386,112.50514860832763
66,2084,99.63561943128684,95.42481197330149,188.54236224182276,169.46824225608214,112.58018002471451
67,2085,99.57756708601221,95.36502723666041,189.38814085463537,169.92110019148436,112.65021302380931
68,2086,99.57140084757883,95.35257745477101,189.94839906378388,170.16910890884859,112.71553531647913
69,2087,99.57870844179556,95.35367878163046,190.40855561592488,170.34918819914077,112.77643908578068
70,2088,99.58777000448447,95.3566291589362,190.82664780207134,170.50999380383425,112.83327018104646
71,2089,99.58655571861912,95.34959761052588,191.26230321539873,170.70082981468232,112.88639681255714
72,2090,99.58011234587413,95.33761929966661,191.69416636972286,170.90360136477733,112.93626769000701
73,2091,99.57337360629703,95.32552680441724,192.10084682716368,171.10030199861342,112.98320928324009
74,2092,99.56633585338369,95.31325014079673,192.48521062678353,171.2927146794608,113.02761663567489
75,2093,99.55899179412596,95.30089612646032,192.8498966216215,171.4814877575995,113.06982068934511
76,2094,99.55134142852383,95.28840214416185,193.19785822997972,171.66769690508522,113.11015685847401
77,2095,99.54342122161826,95.27578292737098,193.53145469133023,171.85162209135697,113.14887558568168
78,2096,99.53452375161386,95.26231653607287,193.8555442914007,172.03537045482508,113.18602308359445
79,2097,99.52391607118646,95.24726998015034,194.174915412527,172.22124069193708,113.22164407410871
80,2098,99.5113939761065,95.23044067439511,194.49166515646215,172.40874653998296,113.25570277970736
81,2099,99.49649800685732,95.21136819787934,194.8089216999876,172.59821217410268,113.28812466389631
82,2100,99.47808316115149,95.18890333996708,195.1324520729239,172.79301196279943,113.31880984777352
83,2101,99.45299156643824,95.15995575539051,195.478071917658,173.00403524373183,113.34766739681623
84,2102,99.41801065260536,95.12140194857504,195.86213862786283,173.242760763904,113.37467644080607
85,2103,99.37249498842708,95.07239474501337,196.28912602061138,173.5116787778008,113.39986381288097
86,2104,99.31621849064923,95.0129488781752,196.7614807146154,173.81092190252497,113.42336516946006
87,2105,99.2494218285424,94.94316379898096,197.2810376739087,174.1413742520948,113.44556511885276
88,2106,99.17353078520975,94.86443550368392,197.8442493013593,174.49958778183898,113.46696007410955
89,2107,99.09033214766036,94.77856884232129,198.44660682819827,174.88149556727336,113.48821490075748
90,2108,99.00105843428011,94.68665040828286,199.08651995226296,175.28668502185602,113.51009583395559
91,2109,98.90688017288514,94.59000253047341,199.76273041250167,175.71452253054062,113.53344513608678
92,2110,98.81117767277628,94.49177080467213,200.4635293907937,176.15743418323706,113.55915277289026
93,2111,98.71697388585261,94.39509714329073,201.17862361270164,176.60777239368713,113.58807442331786
94,2112,98.62574929277876,94.3013628091128,201.90462276372497,177.0647856649753,113.62100911858599
95,2113,98.53910106235062,94.21210744972112,202.63644137211273,177.52661735766318,113.65861128911254
96,2114,98.45876128401578,94.12902173076279,203.36817260126074,177.98987836801393,113.7014265420341
97,2115,98.38587131355756,94.05330274665026,204.0946086484826,178.4517100607018,113.74967252391332
98,2116,98.32096354057461,93.98551405259923,204.81274366793235,178.9107862646993,113.80340439175582
99,2117,98.26421299726374,93.92567406544681,205.52009608920235,179.3666059820628,113.8624387857862
100,2118,98.21570719972334,93.87401852070808,206.21310083931257,179.81685578111106,113.92636873674684
101,2119,98.1755154315313,93.83054741838302,206.88829770037063,180.25929590633106,113.99470081304706
102,2120,98.14280628975281,93.79453881845676,207.54477792828365,180.6938232110874,114.06671499215415
