,year,dec,pol
0,2017,-97.0,93.98912000000018
1,2018,119.0,385.11324500000046
2,2019,147.9632092791635,621.157822000001
3,2020,96.0,641.9832189999997
4,2021,-256.7720017833253,757.3836520000004
5,2022,-106.41519824182615,851.8033392059507
6,2023,324.9545497721592,993.6720465341278
7,2024,700.631050025353,1177.082944911232
8,2025,914.7710394551068,1330.3627732285593
9,2026,1068.0642711861256,1528.063991524593
10,2027,1331.6588486600267,
