,Month,Region,Index,Date
85,October 2014,"Inverclyde, East Renfrewshire and Renfrewshire",100.5,28 October 2014
86,October 2014,North Lanarkshire,100.8,28 October 2014
87,October 2014,Scottish Borders,100.5,28 October 2014
88,October 2014,Dumfries and Galloway,100.7,28 October 2014
89,October 2014,East Ayrshire and North Ayrshire mainland,99.8,28 October 2014
90,October 2014,South Ayrshire,100.2,28 October 2014
91,October 2014,South Lanarkshire,100.4,28 October 2014
92,November 2014,Aberdeen City and Aberdeenshire,100.9,28 November 2014
93,November 2014,Caithness and Sutherland and Ross and Cromarty,101.6,28 November 2014
94,November 2014,"Inverness and Nairn and Moray, Badenoch and Strathspey",102.4,28 November 2014
95,November 2014,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",101.6,28 November 2014
96,November 2014,Na h-Eileanan Siar,99.5,28 November 2014
97,November 2014,Orkney Islands,100.1,28 November 2014
98,November 2014,Shetland Islands,100.8,28 November 2014
99,November 2014,Angus and Dundee City,101.4,28 November 2014
100,November 2014,Clackmannanshire and Fife,100.2,28 November 2014
101,November 2014,East Lothian and Midlothian,101.5,28 November 2014
102,November 2014,City of Edinburgh,100.9,28 November 2014
103,November 2014,Falkirk,100.3,28 November 2014
104,November 2014,Perth and Kinross and Stirling,100.1,28 November 2014
105,November 2014,West Lothian,100.7,28 November 2014
106,November 2014,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",100.5,28 November 2014
107,November 2014,Glasgow City,100.7,28 November 2014
108,November 2014,"Inverclyde, East Renfrewshire and Renfrewshire",101.4,28 November 2014
109,November 2014,North Lanarkshire,101.4,28 November 2014
110,November 2014,Scottish Borders,100.8,28 November 2014
111,November 2014,Dumfries and Galloway,101.5,28 November 2014
112,November 2014,East Ayrshire and North Ayrshire mainland,100.9,28 November 2014
113,November 2014,South Ayrshire,101.2,28 November 2014
114,November 2014,South Lanarkshire,100.8,28 November 2014
115,December 2014,Aberdeen City and Aberdeenshire,101.9,28 December 2014
116,December 2014,Caithness and Sutherland and Ross and Cromarty,101.7,28 December 2014
117,December 2014,"Inverness and Nairn and Moray, Badenoch and Strathspey",103.5,28 December 2014
118,December 2014,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",101.6,28 December 2014
119,December 2014,Na h-Eileanan Siar,100.3,28 December 2014
120,December 2014,Orkney Islands,100.3,28 December 2014
121,December 2014,Shetland Islands,100.6,28 December 2014
122,December 2014,Angus and Dundee City,101.9,28 December 2014
123,December 2014,Clackmannanshire and Fife,101.1,28 December 2014
124,December 2014,East Lothian and Midlothian,101.9,28 December 2014
125,December 2014,City of Edinburgh,100.7,28 December 2014
126,December 2014,Falkirk,99.5,28 December 2014
127,December 2014,Perth and Kinross and Stirling,100.4,28 December 2014
128,December 2014,West Lothian,101.0,28 December 2014
129,December 2014,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",100.7,28 December 2014
130,December 2014,Glasgow City,101.2,28 December 2014
131,December 2014,"Inverclyde, East Renfrewshire and Renfrewshire",102.3,28 December 2014
132,December 2014,North Lanarkshire,102.1,28 December 2014
133,December 2014,Scottish Borders,102.1,28 December 2014
134,December 2014,Dumfries and Galloway,102.2,28 December 2014
135,December 2014,East Ayrshire and North Ayrshire mainland,101.4,28 December 2014
136,December 2014,South Ayrshire,102.9,28 December 2014
137,December 2014,South Lanarkshire,101.7,28 December 2014
138,January 2015,Aberdeen City and Aberdeenshire,101.6,28 January 2015
139,January 2015,Caithness and Sutherland and Ross and Cromarty,102.9,28 January 2015
140,January 2015,"Inverness and Nairn and Moray, Badenoch and Strathspey",105.5,28 January 2015
141,January 2015,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",102.8,28 January 2015
142,January 2015,Na h-Eileanan Siar,100.7,28 January 2015
143,January 2015,Orkney Islands,100.4,28 January 2015
144,January 2015,Shetland Islands,99.9,28 January 2015
145,January 2015,Angus and Dundee City,103.3,28 January 2015
146,January 2015,Clackmannanshire and Fife,102.7,28 January 2015
147,January 2015,East Lothian and Midlothian,101.6,28 January 2015
148,January 2015,City of Edinburgh,101.8,28 January 2015
149,January 2015,Falkirk,100.8,28 January 2015
150,January 2015,Perth and Kinross and Stirling,101.4,28 January 2015
151,January 2015,West Lothian,101.6,28 January 2015
152,January 2015,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",102.0,28 January 2015
153,January 2015,Glasgow City,102.5,28 January 2015
154,January 2015,"Inverclyde, East Renfrewshire and Renfrewshire",102.4,28 January 2015
