,sc,uk,sc2,uk2,sc3,uk3,year,sc4,uk4,sc5,uk5
0,78.17722892276424,77.0,85.48443824904834,82.39700374531836,85.48443824904834,82.39700374531836,1998-03-01,72.68703515860572,67.3,83.91114150884927,78.43822843822844
1,78.50948185237866,77.3,85.84774679088409,82.71803103263778,85.84774679088409,82.71803103263778,1998-06-01,72.97342489238665,67.7,84.24175465637323,78.90442890442891
2,78.42685178770105,77.5,85.75739331124839,82.93204922418407,85.75739331124839,82.93204922418407,1998-09-01,72.87824319280911,67.9,84.13187529418883,79.13752913752916
3,78.68221480822004,77.9,86.03662506017892,83.36008560727663,86.03662506017892,83.36008560727663,1998-12-01,73.09710148296881,68.3,84.3845290021837,79.6037296037296
4,78.73027389903464,78.4,86.0891762242155,83.89513108614234,86.0891762242155,83.89513108614234,1999-03-01,73.1232998314933,68.8,84.41477281836825,80.1864801864802
5,78.71373012123115,78.7,86.07108610294189,84.21615837346175,86.07108610294189,84.21615837346175,1999-06-01,73.08948878166096,69.1,84.37574077116955,80.53613053613053
6,78.99879306192429,79.9,86.38279381740756,85.50026752273945,86.38279381740756,85.50026752273945,1999-09-01,73.32160617626458,70.2,84.64370101336061,81.81818181818183
7,79.98093016573054,81.0,87.45673107201877,86.677367576244,87.45673107201877,86.677367576244,1999-12-01,74.20018047688693,71.3,85.65794203040987,83.1002331002331
8,80.85631123664699,81.9,88.41393382955157,87.64044943820227,88.41393382955157,87.64044943820227,2000-03-01,74.97894871021892,72.1,86.55696523705362,84.03263403263402
9,80.99387788426208,82.4,88.56435880310491,88.17549491706797,88.56435880310491,88.17549491706797,2000-06-01,75.07311577952048,72.6,86.66567329290423,84.61538461538461
10,81.01590472342949,82.7,88.58844448634764,88.49652220438739,88.58844448634764,88.49652220438739,2000-09-01,75.09820450732462,72.9,86.69463614418103,84.96503496503497
11,80.86152048846284,83.0,88.4196299890511,88.8175494917068,88.4196299890511,88.8175494917068,2000-12-01,74.95976024302928,73.2,86.53481374632113,85.31468531468532
12,81.06548408754894,83.6,88.64265802331866,89.45960406634565,88.64265802331866,89.45960406634565,2001-03-01,75.15351229113692,73.9,86.7584843842955,86.13053613053614
13,80.94474612802667,83.8,88.51063471183375,89.67362225789192,88.51063471183375,89.67362225789192,2001-06-01,75.04624752825954,74.1,86.63465612968204,86.36363636363636
14,81.7065476518367,84.1,89.34364166561703,89.99464954521135,89.34364166561703,89.99464954521135,2001-09-01,75.75926735625394,74.5,87.45777826631758,86.82983682983684
15,82.9781847553622,84.2,90.73413842470424,90.1016586409845,90.73413842470424,90.1016586409845,2001-12-01,76.9451802238388,74.6,88.8268161178676,86.94638694638695
16,82.74291339397443,84.4,90.47687629810481,90.31567683253078,90.47687629810481,90.31567683253078,2002-03-01,76.73383115931138,74.9,88.58283118681867,87.29603729603731
17,82.91987357076486,84.7,90.67037690581152,90.6367041198502,90.67037690581152,90.6367041198502,2002-06-01,76.9047711206721,75.3,88.78016716641885,87.76223776223776
18,83.73194427177079,85.2,91.55835168632703,91.1717495987159,91.55835168632703,91.1717495987159,2002-09-01,77.66751405982569,75.8,89.66069050269934,88.34498834498834
19,83.93633430968696,85.9,91.7818460185734,91.92081326912789,91.7818460185734,91.92081326912789,2002-12-01,77.86670495951891,76.4,89.89063984283904,89.04428904428904
20,84.4510125779154,86.3,92.34463115747836,92.34884965222044,92.34463115747836,92.34884965222044,2003-03-01,78.35382871128986,76.9,90.45298373233712,89.62703962703964
21,85.30442547454761,86.9,93.27781238004603,92.9909042268593,93.27781238004603,92.9909042268593,2003-06-01,79.15538770994416,77.6,91.37831698354223,90.44289044289044
22,86.37117400877356,87.7,94.4442696778788,93.84697699304442,94.4442696778788,93.84697699304442,2003-09-01,80.20770037522476,78.3,92.59312450424024,91.25874125874127
23,86.32921706775511,88.2,94.39839103031053,94.38202247191013,94.39839103031053,94.38202247191013,2003-12-01,80.23116620507032,79.0,92.62021385469312,92.07459207459208
24,87.21447354971755,88.5,95.36639225150569,94.70304975922954,95.36639225150569,94.70304975922954,2004-03-01,81.11695956293363,79.3,93.6427886733947,92.42424242424242
25,87.46601296178923,88.9,95.64144300010265,95.13108614232212,95.64144300010265,95.13108614232212,2004-06-01,81.41416362594452,79.7,93.98588606530092,92.8904428904429
26,87.38238938852977,88.9,95.55000314884462,95.13108614232212,95.55000314884462,95.13108614232212,2004-09-01,81.43991015434274,79.9,94.01560829269772,93.12354312354313
27,88.35980911011322,89.0,96.61878208849788,95.23809523809526,96.61878208849788,95.23809523809526,2004-12-01,82.45560276099962,80.2,95.1881409989872,93.47319347319349
28,87.9644897504192,89.5,96.18651231048102,95.77314071696095,96.18651231048102,95.77314071696095,2005-03-01,82.19097280107579,80.8,94.88264770205745,94.17249417249417
29,88.07878797119051,90.2,96.3114939621734,96.52220438737295,96.3114939621734,96.52220438737295,2005-06-01,82.40217873328746,81.5,95.1264673987427,94.98834498834499
30,88.69962426337565,90.8,96.99035969345306,97.16425896201179,96.99035969345306,97.16425896201179,2005-09-01,83.0759691654227,82.2,95.90430245797769,95.80419580419581
31,89.87268065492057,91.6,98.273061421916,98.02033172819691,98.273061421916,98.02033172819691,2005-12-01,84.26884851537879,83.1,97.2813825344829,96.85314685314685
32,90.3674661030325,91.8,98.81409436294591,98.2343499197432,98.81409436294591,98.2343499197432,2006-03-01,84.82749723073672,83.4,97.92629605043317,97.20279720279721
33,91.04417614677858,91.8,99.55405635372297,98.2343499197432,99.55405635372297,98.2343499197432,2006-06-01,85.55814552253185,83.6,98.76976878353115,97.43589743589743
34,90.9145979817728,91.8,99.41236654458679,98.2343499197432,99.41236654458679,98.2343499197432,2006-09-01,85.58991812602612,83.7,98.80644761383556,97.55244755244756
35,91.77021182316666,92.0,100.34795443376518,98.44836811128947,100.34795443376518,98.44836811128947,2006-12-01,86.55040825776551,84.1,99.91525365037803,98.01864801864801
36,91.90988808855094,92.8,100.50068621062181,99.3044408774746,100.34795443376518,98.44836811128947,2007-03-01,86.83736358538391,84.9,100.24651972898428,98.95104895104896
37,91.00603578428243,93.2,99.51235101947763,99.73247726056717,100.34795443376518,98.44836811128947,2007-06-01,86.13709229411452,85.5,99.43811471854367,99.65034965034965
38,91.03895557461017,93.7,99.54834781575987,100.26752273943286,100.34795443376518,98.44836811128947,2007-09-01,86.30533668564006,86.1,99.6323388867817,100.34965034965036
39,91.85312268274329,94.1,100.4386149541407,100.69555912252541,100.34795443376518,98.44836811128947,2007-12-01,87.21548256320737,86.7,100.6830266656903,101.04895104895107
40,92.92996784584953,94.4,101.61611261065507,101.01658640984485,100.34795443376518,98.44836811128947,2008-03-01,88.37789142321095,87.1,102.02493109376427,101.51515151515152
41,93.28311209596161,93.7,102.00226518036992,100.26752273943286,100.34795443376518,98.44836811128947,2008-06-01,88.85420236439622,86.7,102.57479249202875,101.04895104895107
42,92.01940168505666,92.2,100.62043602021372,98.66238630283576,100.34795443376518,98.44836811128947,2008-09-01,87.77262748398243,85.4,101.32620417576594,99.53379953379954
43,90.60910773327252,89.9,99.0783221861022,96.20117710005353,100.34795443376518,98.44836811128947,2008-12-01,86.54768482590082,83.5,99.91210967461826,97.31934731934733
44,89.74126088016976,88.0,98.12935786815498,94.16800428036383,100.34795443376518,98.44836811128947,2009-03-01,85.83785109063838,81.9,99.09266561726481,95.45454545454547
45,88.96276642819673,87.6,97.27809770168551,93.73996789727127,100.34795443376518,98.44836811128947,2009-06-01,85.21129808000312,81.6,98.36936223553393,95.1048951048951
46,89.41464231491518,87.6,97.77221033354382,93.73996789727127,100.34795443376518,98.44836811128947,2009-09-01,85.76811855783386,81.8,99.01216520319285,95.33799533799534
47,89.4904736460949,87.7,97.85512960347573,93.84697699304442,100.34795443376518,98.44836811128947,2009-12-01,85.96496221715549,82.0,99.23940484938856,95.57109557109558
48,89.80175999542884,88.3,98.1955118231333,94.48903156768326,100.34795443376518,98.44836811128947,2010-03-01,86.38852190681972,82.8,99.72836931161085,96.5034965034965
49,90.61809692334894,89.2,99.08815159390528,95.45211342964154,100.34795443376518,98.44836811128947,2010-06-01,87.29949969749549,83.8,100.78001746506786,97.66899766899768
