date,label,area,type,value,area_full
2015-12-31,(UK) Food,UK,Food & non-alcoholic beverages,-0.02941176470588236,United Kingdom
2016-01-31,(UK) Food,UK,Food & non-alcoholic beverages,-0.026653504442250786,United Kingdom
2016-02-29,(UK) Food,UK,Food & non-alcoholic beverages,-0.0217821782178218,United Kingdom
2016-03-31,(UK) Food,UK,Food & non-alcoholic beverages,-0.027750247770069514,United Kingdom
2016-04-30,(UK) Food,UK,Food & non-alcoholic beverages,-0.02487562189054726,United Kingdom
2016-05-31,(UK) Food,UK,Food & non-alcoholic beverages,-0.02788844621513953,United Kingdom
2016-06-30,(UK) Food,UK,Food & non-alcoholic beverages,-0.029940119760479056,United Kingdom
2016-07-31,(UK) Food,UK,Food & non-alcoholic beverages,-0.02613065326633157,United Kingdom
2016-08-31,(UK) Food,UK,Food & non-alcoholic beverages,-0.022110552763819125,United Kingdom
2016-09-30,(UK) Food,UK,Food & non-alcoholic beverages,-0.022110552763819125,United Kingdom
2016-10-31,(UK) Food,UK,Food & non-alcoholic beverages,-0.02320887991927345,United Kingdom
2016-11-30,(UK) Food,UK,Food & non-alcoholic beverages,-0.020161290322580627,United Kingdom
2016-12-31,(UK) Food,UK,Food & non-alcoholic beverages,-0.011111111111111072,United Kingdom
2017-01-31,(UK) Food,UK,Food & non-alcoholic beverages,-0.005070993914807254,United Kingdom
2017-02-28,(UK) Food,UK,Food & non-alcoholic beverages,0.0010121457489880026,United Kingdom
2017-03-31,(UK) Food,UK,Food & non-alcoholic beverages,0.012232415902140747,United Kingdom
2017-04-30,(UK) Food,UK,Food & non-alcoholic beverages,0.015306122448979664,United Kingdom
2017-05-31,(UK) Food,UK,Food & non-alcoholic beverages,0.020491803278688492,United Kingdom
2017-06-30,(UK) Food,UK,Food & non-alcoholic beverages,0.02263374485596703,United Kingdom
2017-07-31,(UK) Food,UK,Food & non-alcoholic beverages,0.02579979360165119,United Kingdom
2017-08-31,(UK) Food,UK,Food & non-alcoholic beverages,0.021582733812949728,United Kingdom
2017-09-30,(UK) Food,UK,Food & non-alcoholic beverages,0.029804727646454365,United Kingdom
2017-10-31,(UK) Food,UK,Food & non-alcoholic beverages,0.03925619834710736,United Kingdom
2017-11-30,(UK) Food,UK,Food & non-alcoholic beverages,0.04012345679012341,United Kingdom
2017-12-31,(UK) Food,UK,Food & non-alcoholic beverages,0.0398365679264554,United Kingdom
2018-01-31,(UK) Food,UK,Food & non-alcoholic beverages,0.03669724770642202,United Kingdom
2018-02-28,(UK) Food,UK,Food & non-alcoholic beverages,0.030333670374115274,United Kingdom
2018-03-31,(UK) Food,UK,Food & non-alcoholic beverages,0.030211480362537735,United Kingdom
2018-04-30,(UK) Food,UK,Food & non-alcoholic beverages,0.026130653266331683,United Kingdom
2018-05-31,(UK) Food,UK,Food & non-alcoholic beverages,0.02309236947791171,United Kingdom
2018-06-30,(UK) Food,UK,Food & non-alcoholic beverages,0.02012072434607637,United Kingdom
2018-07-31,(UK) Food,UK,Food & non-alcoholic beverages,0.0231388329979878,United Kingdom
2018-08-31,(UK) Food,UK,Food & non-alcoholic beverages,0.02515090543259557,United Kingdom
2018-09-30,(UK) Food,UK,Food & non-alcoholic beverages,0.014970059880239583,United Kingdom
2018-10-31,(UK) Food,UK,Food & non-alcoholic beverages,0.008946322067594492,United Kingdom
2018-11-30,(UK) Food,UK,Food & non-alcoholic beverages,0.004945598417408492,United Kingdom
2018-12-31,(UK) Food,UK,Food & non-alcoholic beverages,0.006876227897838927,United Kingdom
2019-01-31,(UK) Food,UK,Food & non-alcoholic beverages,0.008849557522123908,United Kingdom
2019-02-28,(UK) Food,UK,Food & non-alcoholic beverages,0.01079489695780178,United Kingdom
