,h,Average,Lower 95,Upper 95
0,0,0.0,0.0,0.0
1,1,-2.4569678915339646,-3.0431465457416556,-1.8707892373262736
2,2,-1.4895006166229565,-2.905568229504646,-0.07343300374126671
3,3,0.5103922560982911,-0.9663659580321077,1.98715047022869
4,4,1.9837058078848395,0.3803197038171249,3.5870919119525544
5,5,3.4903103788477496,1.5581673621536745,5.422453395541825
