,year,gdp,gva,lngdp,lngva
0,1700,10782.766443914325,9179.795775676155,9.285704438990106,9.124760236708704
1,1701,11753.215423866613,10005.977395487009,9.371882135231157,9.210937932949758
2,1702,11451.297963437013,9748.943113768075,9.345858361809853,9.184914159528452
3,1703,10718.06984525084,9124.717001022096,9.279686366664542,9.118742164383141
4,1704,12756.012703150645,10859.698402624888,9.453758023986355,9.292813821704954
5,1705,12109.046716515784,10308.91065608432,9.40170811474641,9.240763912465011
6,1706,10254.41088816252,8729.98578266802,9.235463222553358,9.074519020271957
7,1707,11515.994562100495,9804.02188842213,9.351492179528108,9.190547977246707
8,1708,12260.005446730585,10437.427796943786,9.414097653758503,9.253153451477104
9,1709,10621.024947255608,9042.098839041011,9.270590801180056,9.109646598898657
10,1710,9661.358733747233,8225.097015005833,9.175889572982898,9.014945370701497
11,1711,10523.980049260379,8959.480677059924,9.26141174642106,9.10046754413966
12,1712,10523.980049260379,8959.480677059924,9.26141174642106,9.10046754413966
13,1713,10071.10385861598,8573.929254481527,9.21742559823681,9.05648139595541
14,1714,11073.901137900011,9427.650261619408,9.312346369936526,9.151402167655126
15,1715,10761.200911026495,9161.4361841248,9.283702436319432,9.12275823403803
16,1716,11170.946035895238,9510.268423600492,9.321071582827397,9.160127380545996
17,1717,11796.346489642272,10042.69657858971,9.375545142989894,9.214600940708493
18,1718,12464.878009164959,10611.84391668163,9.43067020924029,9.26972600695889
19,1719,12249.222680286672,10428.248001168107,9.413217759289065,9.252273557007664
20,1720,13025.581864248503,11089.193297016789,9.474670538502728,9.313726336221327
21,1721,12518.79184138453,10657.74289556001,9.43498614170586,9.274041939424459
22,1722,12648.185038711501,10767.900444868123,9.445269008661443,9.284324806380042
23,1723,12346.2675782819,10510.86616314919,9.421109075996307,9.260164873714906
24,1724,12227.657147398842,10409.888409616753,9.411455644295666,9.250511442014265
25,1725,12540.357374272357,10676.10248711136,9.436707312526632,9.275763110245231
26,1726,12162.960548735355,10354.809634962696,9.406150592065972,9.24520638978457
27,1727,12087.481183627953,10290.551064532961,9.399925583080128,9.238981380798727
28,1728,12454.095242721041,10602.66412090595,9.429804782963862,9.26886058068246
29,1729,11763.998190310524,10015.157191262677,9.372799145841038,9.211854943559638
30,1730,12033.567351408383,10244.65208565458,9.395455302949223,9.234511100667824
31,1731,11839.477555417925,10079.41576169241,9.379194782077443,9.218250579796043
32,1732,12626.61950582367,10749.540853316767,9.443562523605685,9.282618321324284
33,1733,12906.971433365443,10988.215543484346,9.46552286556594,9.30457866328454
34,1734,12863.840367589786,10951.496360381641,9.462175582105884,9.301231379824483
35,1735,12551.14014071627,10685.282282887034,9.437566788299351,9.27662258601795
36,1736,13489.240821336814,11483.924515370856,9.509647670474878,9.348703468193477
37,1737,12766.795469594555,10868.878198400556,9.454602975451918,9.293658773170517
38,1738,13004.01633136067,11070.833705465431,9.473013537295099,9.312069335013698
39,1739,12917.754199809355,10997.395339260022,9.466357938683363,9.305413736401961
40,1740,12702.098870931068,10813.799423746499,9.4495225242195,9.288578321938099
41,1741,13068.712930024154,11125.912480119488,9.477976326637227,9.317032124355826
42,1742,13370.630390453754,11382.94676183842,9.50081581860705,9.339871616325649
43,1743,13057.930163580239,11116.732684343811,9.477150903561059,9.31620670127966
44,1744,12874.623134033696,10960.676156157318,9.463013453960516,9.302069251679114
45,1745,13068.712930024154,11125.912480119488,9.477976326637227,9.317032124355826
46,1746,13478.458054892899,11474.744719595183,9.508847990304314,9.347903788022913
47,1747,14093.075742196013,11997.99307880872,9.553438873632189,9.392494671350788
48,1748,13942.117011981214,11869.475937949257,9.542669538779824,9.381725336498425
49,1749,13855.854880429897,11796.037571743846,9.536463157337288,9.375518955055886
50,1750,14060.727442864269,11970.453691481693,9.551140902494565,9.390196700213165
51,1751,13748.027215990753,11704.239613987083,9.528650617600494,9.367706415319093
52,1752,14427.341501957355,12282.56674785468,9.57688040069614,9.415936198414741
53,1753,14556.734699284327,12392.724297162793,9.585809031440442,9.424864829159041
54,1754,14146.989574415582,12043.892057687097,9.557257129512001,9.3963129272306
55,1755,14578.300232172154,12411.083888714142,9.587289416610876,9.426345214329475
56,1756,14330.296603962128,12199.948585873592,9.570131218721212,9.40918701643981
57,1757,15160.569620143528,12906.792860600654,9.626453232378577,9.465509030097175
58,1758,15365.4421825779,13081.2089803385,9.639876252710717,9.478932050429316
59,1759,15613.445810787933,13292.344283179053,9.655887732953628,9.494943530672227
60,1760,16066.322001432334,13677.89570575745,9.684480558947472,9.523536356666071
61,1761,16702.50522162328,14219.503656522342,9.723314000424836,9.562369798143434
62,1762,16238.846264534965,13824.772438168267,9.695161568367807,9.534217366086406
63,1763,16184.932432315392,13778.873459289887,9.69183599164143,9.530891789360028
64,1764,16174.14966587148,13769.693663514212,9.69116954709827,9.530225344816868
65,1765,16044.75646854451,13659.5361142061,9.683137375401005,9.522193173119604
66,1766,16260.411797422796,13843.132029719622,9.696488708575869,9.535544506294467
67,1767,16368.23946186194,13934.929987476382,9.703098117963544,9.54215391568214
68,1768,16519.19819207674,14063.447128335845,9.712278510308504,9.551334308027103
69,1769,17457.298872697287,14862.089360819671,9.767513113685602,9.606568911404201
70,1770,16982.85714916506,14458.17834668992,9.739959711267701,9.579015508986298
71,1771,17295.557376038574,14724.392424184529,9.758204948434427,9.597260746153026
72,1772,16853.46395183809,14348.020797381807,9.732311490429444,9.571367288148043
73,1773,17155.38141226769,14605.055079100739,9.750067188345755,9.589122986064353
74,1774,16777.984586730687,14283.762226952074,9.727822864746305,9.566878662464903
75,1775,17306.340142482488,14733.572219960206,9.758828195572084,9.597883993290683
76,1776,17867.043997566034,15210.921600295365,9.790713177434531,9.629768975153128
77,1777,18384.616786873925,15651.551797527822,9.819269549725584,9.658325347444183
78,1778,18255.223589546953,15541.394248219709,9.812206542141103,9.651262339859702
79,1779,18212.092523771298,15504.675065117004,9.809841076815768,9.648896874534366
80,1780,19042.3655399527,16211.519339844066,9.854421541171874,9.693477338890471
81,1781,19581.503862148416,16670.509128627873,9.882340719169207,9.721396516887804
82,1782,19387.414066157962,16505.272804665703,9.872379375039534,9.711435172758131
83,1783,19290.36916816273,16422.654642684618,9.867361243516687,9.706417041235285
84,1784,19365.848533270128,16486.91321311435,9.871266408870113,9.71032220658871
85,1785,19236.455335943156,16376.755663806234,9.864562473147922,9.70361827086652
