,dt,quarter,value
0,0,1930Q1,0.0
1,0,1973Q2,0.0
2,0,1979Q2,0.0
3,0,1990Q2,0.0
4,0,2008Q1,0.0
5,0,2022Q2,0.0
6,1,1930Q1,-0.8654206882439155
7,1,1973Q2,-0.9670716112532034
8,1,1979Q2,-2.2381845076260305
9,1,1990Q2,-1.2092779388319315
10,1,2008Q1,-0.4764141172803136
11,1,2022Q2,-0.4999107302267447
12,2,1930Q1,-2.069335970805895
13,2,1973Q2,-1.3519652712343486
14,2,1979Q2,-1.2308874025119678
15,2,1990Q2,-1.6168414891768492
16,2,2008Q1,-1.9823585267462533
17,2,2022Q2,-0.7498660953401242
18,3,1930Q1,-3.746461580437213
19,3,1973Q2,-4.0866031767398
20,3,1979Q2,-2.3446560778155145
21,3,1990Q2,-2.0981749566373082
22,3,2008Q1,-4.173699397663256
23,3,2022Q2,-0.8034279592929892
24,4,1930Q1,-5.813239657583281
25,4,1973Q2,-2.6858426436936327
26,4,1979Q2,-4.270650731421668
27,4,1990Q2,-2.465805204741997
28,4,2008Q1,-6.033621752211332
29,4,2022Q2,-1.821103374397424
30,5,1930Q1,-6.374271000306948
31,5,1973Q2,-2.0826322519854585
32,5,1979Q2,-4.383206391336259
33,5,1990Q2,-2.749606001579039
34,5,2008Q1,-6.303104382476661
35,5,2022Q2,-2.4102838778789533
36,6,1930Q1,-6.710207700965157
37,6,1973Q2,-3.505687171893925
38,6,1979Q2,-5.478342541856634
39,6,1990Q2,-2.554207171533349
40,6,2008Q1,-6.179232610269466
41,6,2022Q2,-2.6780931976432782
42,7,1930Q1,-6.028955356229304
43,7,1973Q2,-3.4707733207699505
44,7,1979Q2,-5.659724466786571
45,7,1990Q2,-2.5977984861925307
46,7,2008Q1,-5.859298893972735
47,7,2022Q2,-2.749509016247103
48,8,1930Q1,-5.85672384980046
49,8,1973Q2,-5.045261811818548
50,8,1979Q2,-5.501157878325813
51,8,1990Q2,-2.9160455666413725
52,8,2008Q1,-4.9651251740665
53,8,2022Q2,-2.8923406534547382
54,9,1930Q1,-6.470618328160697
55,9,1973Q2,-5.3880905909274475
56,9,1979Q2,-4.480932082545891
57,9,1990Q2,-2.379841912896623
58,9,2008Q1,-3.878170881519935
59,9,2022Q2,-2.8387787895018732
60,10,1930Q1,-6.927628662051092
61,10,1973Q2,-4.306602503701711
62,10,1979Q2,-4.423133230157305
63,10,1990Q2,-1.855526799513484
64,10,2008Q1,-3.2684510491159813
65,10,2022Q2,-2.8209248348509135
66,11,1930Q1,-5.415913509089037
67,11,1973Q2,-2.7262249293309964
68,11,1979Q2,-4.408303261452346
69,11,1990Q2,-1.1998280734163131
70,11,2008Q1,-3.135555505423497
71,11,2022Q2,-2.6780931976432782
72,12,1930Q1,-5.449166126666881
73,12,1973Q2,-2.836434917216309
74,12,1979Q2,-3.4382712059046128
75,12,1990Q2,-0.8087255789566683
76,12,2008Q1,-2.8898628181648576
77,12,2022Q2,-2.5531155150865885
78,13,1930Q1,-3.9707035912826854
79,13,1973Q2,-1.5904731457800523
80,13,1979Q2,-3.2123993748597854
81,13,1990Q2,-0.05608952375726517
82,13,2008Q1,-2.835925274968673
83,13,2022Q2,-2.3388680592751285
84,14,1930Q1,-2.3813989973056664
85,14,1973Q2,0.5047785704670815
86,14,1979Q2,-2.5891604336434995
87,14,1990Q2,0.531021469484557
88,14,2008Q1,-2.6866228740302063
89,15,1930Q1,-0.9336311858394879
90,15,1973Q2,0.46397563602100433
91,15,1979Q2,-0.8597579292800646
92,15,1990Q2,1.591845070980682
93,15,2008Q1,-2.727229845714021
94,16,1930Q1,0.9592101224378382
95,16,1973Q2,-0.27426302328711927
96,16,1979Q2,-0.22473106422137334
97,16,1990Q2,2.669129728362094
98,16,2008Q1,-1.91939721206478
99,17,1930Q1,2.365199004126737
100,17,1973Q2,0.4172836182527959
101,17,1979Q2,0.8133667451260749
102,17,1990Q2,3.7811655037235568
103,17,2008Q1,-1.97436018383884
104,18,1930Q1,3.250230210429393
105,18,1973Q2,2.136475299501953
106,18,1979Q2,1.5571467140211581
107,18,1990Q2,4.285056714434205
108,18,2008Q1,-0.7563561190399497
109,19,1930Q1,3.797619453633928
110,19,1973Q2,2.899952887333427
111,19,1979Q2,2.198637924412793
112,19,1990Q2,4.546604602389294
113,19,2008Q1,-0.8570532053871887
114,20,1930Q1,4.2179666450666815
115,20,1973Q2,4.114786646924216
116,20,1979Q2,1.1856369851814321
117,20,1990Q2,4.737735751279544
118,20,2008Q1,-0.624691089640919
