,v,time
0,15.691964285714285,2015-09-14
1,13.683035714285715,2015-10-17
2,13.080357142857142,2015-11-12
3,13.080357142857142,2015-12-08
4,13.482142857142858,2016-01-10
5,13.482142857142858,2016-02-11
6,13.080357142857142,2016-03-09
7,12.276785714285712,2016-04-10
8,11.27232142857143,2016-05-16
9,9.66517857142857,2016-06-08
10,10.46875,2016-07-11
11,9.0625,2016-08-16
12,9.0625,2016-09-11
13,9.0625,2016-10-24
14,7.254464285714285,2016-11-09
15,5.4464285714285765,2016-12-22
16,1.4285714285714306,2017-01-13
17,-1.1830357142857153,2017-03-17
18,-0.78125,2017-04-18
19,0.625,2017-05-05
20,1.830357142857146,2017-06-13
21,-0.3794642857142847,2017-02-15
22,-0.1785714285714306,2017-07-09
23,0.0223214285714234,2017-08-17
24,0.0223214285714234,2017-09-22
25,-0.9821428571428612,2017-10-02
26,-0.1785714285714306,2017-11-14
27,0.4241071428571388,2017-12-13
28,2.6339285714285694,2018-01-15
29,4.642857142857146,2018-02-17
30,4.241071428571431,2018-03-02
31,4.441964285714285,2018-04-23
32,4.040178571428569,2018-05-19
33,4.84375,2018-06-18
34,4.642857142857146,2018-07-20
35,7.053571428571424,2018-08-06
36,7.65625,2018-09-24
37,8.25892857142857,2018-10-23
38,11.473214285714285,2018-11-12
39,12.276785714285712,2019-01-10
40,11.875,2019-03-20
41,11.27232142857143,2019-04-25
42,12.276785714285712,2019-05-14
43,12.276785714285712,2019-07-15
44,11.473214285714285,2019-08-20
45,12.678571428571429,2019-09-22
46,11.875,2019-06-22
47,11.07142857142857,2019-10-15
48,4.84375,2020-02-10
49,4.84375,2020-03-04
50,-3.59375,2020-07-03
51,2.8348214285714235,2020-07-19
52,9.0625,2020-08-24
53,14.888392857142854,2020-09-19
54,22.120535714285715,2020-10-25
55,22.120535714285715,2020-10-25
56,25.736607142857142,2020-11-20
57,26.33928571428571,2020-12-23
58,27.34375,2021-01-22
59,29.151785714285715,2021-02-23
60,28.14732142857143,2021-03-18
61,28.14732142857143,2021-03-18
62,31.964285714285715,2021-07-01
63,25.334821428571427,2021-07-24
64,17.299107142857142,2021-08-22
65,4.642857142857146,2021-09-14
66,-3.9955357142857153,2021-10-23
67,-6.808035714285715,2021-11-28
68,-9.620535714285715,2022-01-23
69,-14.441964285714292,2022-02-18
70,-37.94642857142857,2022-04-02
71,-40.15625,2022-05-18
72,-34.93303571428572,2022-06-29
73,-31.31696428571429,2022-08-24
74,-36.74107142857143,2022-10-05
75,-21.875,2022-10-22
76,-20.46875,2022-12-23
77,-23.48214285714286,2023-01-18
78,-19.86607142857143,2023-02-16
79,0.2232142857142847,2023-04-03
80,2.6339285714285694,2023-04-26
81,8.058035714285715,2023-05-19
82,10.26785714285714,2023-06-27
83,15.29017857142857,2023-07-30
84,14.48660714285714,2023-08-28
85,23.727678571428573,2023-09-30
