,d,v
0,2013.8338692294676,-12.189794701422612
1,2013.8959678640456,-12.614021637277451
2,2013.9314527980905,-10.818127608825286
3,2013.966937732135,-8.923247295340325
4,2013.9935514326685,-7.141494164749982
5,2014.0645213007576,-6.7596899224806215
6,2014.126619935336,-5.487009114916095
7,2014.179847336403,-4.242610103075222
8,2014.23307473747,-3.0547746826816606
9,2014.2685596715148,-1.711389385807994
10,2014.3306583060933,0.1127864383678307
11,2014.4016281741824,0.5794360678081567
12,2014.472598042272,-1.2871624499531509
13,2014.525825443339,-0.3962858846579813
14,2014.579052844406,0.494590680637188
15,2014.6500227124957,-0.735667433341856
16,2014.7209925805848,-1.7962347729789627
17,2014.7919624486744,-2.0507709344918688
18,2014.8540610832524,-2.828520316892416
19,2014.9072884843197,-3.4931425163983327
20,2014.942773418364,-1.5841213050515393
21,2014.9826939691643,0.3248999062952507
22,2015.0255715978017,1.07436749297214
23,2015.075841921032,1.385467245932361
24,2015.1142839329132,2.7147116449442024
25,2015.1645542561437,3.888406167475932
26,2015.2355241242328,3.6338700059630256
27,2015.2887515253,1.936962262543656
28,2015.3153652258331,0.7915495357355802
29,2015.350850159878,3.76113808671948
30,2015.333107692856,1.979384956129138
31,2015.3981634052711,6.108527131782942
32,2015.457304962012,5.076241587869493
33,2015.480961584709,4.524746571258195
34,2015.5602112707415,6.1537780049407935
35,2015.605158853865,5.146946077178633
36,2015.634729632236,3.591447312377543
37,2015.6968282668136,2.48845727915495
38,2015.7677981349036,1.6400034074452634
39,2015.8387680029928,1.3430445523468748
40,2015.900866637571,2.1490757304710755
41,2015.9629652721487,3.464179231621088
42,2016.013235595379,2.48845727915495
43,2016.0428063737495,1.0885083908339688
44,2016.104905008328,-0.0569043359741066
45,2016.167003642906,-0.6791038418945412
46,2016.20958556376,-2.296822557287676
47,2016.27345844504,-1.9800664451827288
48,2016.3355570796184,-1.0750489820257272
49,2016.3976557141968,-1.2447397563676643
50,2016.406526947708,-2.687111338274132
51,2016.42426941473,-4.511287162449957
52,2016.4420118817525,-6.7596899224806215
53,2016.4597543487748,-8.541443053070964
54,2016.4774968157967,-10.11108271573388
55,2016.4899165427128,-11.392248062015511
56,2016.530724216864,-9.13536076326774
57,2016.5573379173975,-7.4384530198483745
58,2016.5839516179312,-5.82639066359997
59,2016.6016940849536,-4.468864468864471
60,2016.628307785487,-2.729534031859614
61,2016.672663953043,-1.5416986114660567
62,2016.72589135411,-2.856802112616069
63,2016.7525050546435,-4.34159638810802
64,2016.787989988688,-6.335462986625782
65,2016.832346156244,-7.650566487775791
66,2016.9033160243332,-6.802112616066108
67,2016.9742858924228,-5.35974103415964
68,2017.045255760512,-5.699122582843515
69,2017.1162256286016,-5.911236050770938
70,2017.187195496691,-6.42030837379675
71,2017.2492941312692,-6.505153760967716
72,2017.3131670125497,-5.690638044126416
73,2017.3557489334037,-7.480875713433853
74,2017.385319711774,-9.446460516227964
75,2017.4267188014928,-10.63429593662152
76,2017.488817436071,-11.468608910469378
77,2017.5597873041604,-10.238350796490336
78,2017.6307571722496,-9.262628844024192
79,2017.7017270403392,-9.644433086293551
80,2017.7638256749171,-10.747423119516142
81,2017.825924309496,-11.97768123349519
82,2017.9028083332591,-12.472612658659171
83,2017.9554443187587,-10.611670500042592
84,2018.003348979719,-9.305051537609678
85,2018.0760930945107,-9.627464008859365
86,2018.1186750153645,-8.286906891558054
87,2018.16303118292,-7.565721100604826
88,2018.2340010510093,-8.541443053070964
89,2018.3049709190989,-7.353607632677402
90,2018.367069553677,-8.258625095834404
91,2018.4291681882555,-9.38989692478065
92,2018.4912668228333,-9.38989692478065
93,2018.5515912107096,-7.726927336229664
94,2018.61546409199,-8.145497912939774
95,2018.6775627265683,-9.305051537609678
96,2018.7396613611463,-10.35147797938496
97,2018.7928887622136,-12.048385722804326
98,2018.822459540584,-13.06653036885595
99,2018.8904723308365,-13.8442797512565
100,2018.9614421989256,-13.971547832012952
101,2019.0324120670152,-13.377630121816168
102,2019.1033819351048,-12.953403185961328
103,2019.174351803194,-12.953403185961328
104,2019.2470959179857,-12.478269017803903
105,2019.3015061501876,-10.803986710963455
106,2019.3488193955804,-11.426186216883892
107,2019.4050038744845,-12.40190816935003
108,2019.4812964826808,-11.663753300962604
109,2019.526244065804,-12.78371241161939
110,2019.5646860776856,-13.632166283329076
111,2019.635655945775,-12.444330862935516
112,2019.7066258138643,-13.335207428230689
113,2019.7775956819537,-13.971547832012952
114,2019.839694316532,-13.377630121816168
115,2019.8751792505768,-11.892835846324225
116,2019.928406651644,-10.181787205043022
117,2019.981634052711,-8.993951784649461
118,2020.0437326872889,-7.52329840701934
119,2020.1058313218675,-7.975807138597837
120,2020.1501874894232,-9.220206150438711
121,2020.1501874894232,-10.577732345174212
122,2020.147230411586,-12.10494931425164
123,2020.1708870342825,-13.85842064911833
124,2020.1679299564453,-15.498764801090388
125,2020.1679299564453,-16.85629099582588
126,2020.176801189957,-18.270380782008694
127,2020.1886295013048,-20.30667007411193
128,2020.185672423468,-21.947014226083997
129,2020.194543656979,-23.05000425930659
130,2020.2034148904904,-24.32268506687112
131,2020.2034148904904,-25.680211261606612
132,2020.2034148904904,-27.037737456342107
133,2020.2078505072457,-28.60737711900503
134,2020.2211573575123,-30.26186216883892
135,2020.2211573575123,-31.619388363574416
136,2020.2329856688607,-33.59911406423035
137,2020.3098696926245,-33.825368430019594
138,2020.35422586018,-32.340574154527644
139,2020.3897107942248,-30.68608910469376
140,2020.4251957282693,-29.187153931339985
141,2020.4606806623144,-27.843768634466315
142,2020.5227792968924,-26.86804668200017
143,2020.5848779314704,-26.472101541868987
144,2020.6487508127511,-25.849902035948556
145,2020.691332733605,-27.82962773660449
146,2020.700203967116,-29.41340829712923
147,2020.7339146544584,-30.985876139364517
148,2020.812572924924,-32.41127864383679
149,2020.8510149368055,-30.43155294318085
150,2020.868757403828,-28.564954425419543
151,2020.8924140265249,-26.86804668200017
152,2020.9338131162435,-26.924610273447485
153,2020.9929546729843,-27.377119005025985
154,2021.0284396070288,-25.425675100093702
155,2021.063924541074,-23.47423119516143
156,2021.081667008096,-21.83388704318937
157,2021.0994094751184,-20.30667007411193
158,2021.117151942141,-18.7794531050345
159,2021.1348944091635,-17.068404463753303
160,2021.1792505767191,-15.62603288184684
161,2021.2324779777864,-14.6503109293807
162,2021.25909167832,-12.953403185961328
163,2021.276834145342,-11.256495442541954
164,2021.319416066196,-9.322020615043876
165,2021.3921601809875,-8.711133827412901
166,2021.4631300490769,-7.396030326262888
167,2021.5340999171665,-7.650566487775791
168,2021.584370240396,-9.220206150438711
169,2021.6139410187668,-11.129227361785505
170,2021.6494259528115,-13.165516653888751
171,2021.684910886856,-15.032115171650055
172,2021.7274928077095,-16.516909447142005
173,2021.7913656889905,-14.94726978447909
174,2021.8534643235685,-14.438197461453278
175,2021.915562958147,-15.781582758326948
176,2021.933305425169,-17.082545361615132
177,2021.9687903592137,-18.510776045659767
178,2021.9954040597472,-20.462219950592043
179,2022.0220177602807,-22.28639577476787
180,2022.039760227303,-24.09643070108187
181,2022.0575026943252,-25.623647670159308
182,2022.09298762837,-27.54680977936792
183,2022.09298762837,-28.39526365107761
184,2022.1284725624148,-29.92248062015504
185,2022.1284725624148,-30.77093449186473
186,2022.159521879704,-32.425419541698616
187,2022.1698716521337,-33.938495612914224
188,2022.199442430504,-35.60712156060993
189,2022.2171848975263,-37.44543828264759
190,2022.2615410650824,-38.9585143538632
191,2022.332510933172,-40.273617855013214
192,2022.403480801261,-41.03722633955192
193,2022.4744506693503,-41.33418519465032
194,2022.5276780704176,-42.81897947014227
195,2022.5602059266253,-44.23306925632507
196,2022.589776704996,-45.53403185961327
197,2022.607519172018,-47.00468523724338
198,2022.651875339574,-48.46119771701167
199,2022.7228452076636,-47.27336229661812
200,2022.7672013752192,-45.830990714711646
201,2022.8204287762865,-43.95025129908852
202,2022.8825274108644,-42.60686600221484
203,2022.9505402011168,-43.72399693329926
204,2022.9907564597008,-44.481949058693246
205,2023.0155959135325,-42.42303433001108
206,2023.0244671470437,-41.12207172672289
207,2023.051080847577,-39.48172757475084
208,2023.0688233145995,-37.9545106056734
209,2023.1220507156663,-36.71011159383253
210,2023.1486644162,-35.60712156060993
211,2023.1664068832224,-34.334440753045406
212,2023.193020583756,-32.51026492886958
213,2023.2285055178004,-30.389130249595368
214,2023.263990451845,-28.98918136127439
215,2023.2994753858895,-27.63165516653889
216,2023.3349603199345,-26.0761564017378
217,2023.3988332012148,-25.001448164238862
218,2023.4325438885571,-26.86804668200017
219,2023.468028822602,-28.564954425419543
220,2023.4857712896244,-29.4982536843002
221,2023.53012745718,-27.037737456342107
222,2023.565612391225,-25.043870857824352
223,2023.6010973252696,-23.34696311440498
224,2023.6454534928253,-22.088423204702277
225,2023.672067193359,-23.98330351818724
226,2023.6809384268704,-25.51052048726468
227,2023.7119877441596,-27.461964392196958
228,2023.7323915812349,-29.074026748445355
229,2023.778521995493,-26.82562398841469
230,2023.7962644625156,-24.83175738989693
