,Total pay (real),Regular pay (real),CPIH,time
0,4.2,2.4,1.2,2001-01-01
1,7.1,2.4,1.2,2001-02-01
2,3.4,3.3,1.3,2001-03-01
3,4.3,3.8,1.5,2001-04-01
4,3.1,2.9,1.9,2001-05-01
5,3.7,2.9,1.9,2001-06-01
6,3.2,3.7,1.7,2001-07-01
7,3.0,3.5,2.1,2001-08-01
8,2.8,3.1,1.7,2001-09-01
9,3.3,3.2,1.6,2001-10-01
10,3.1,3.4,1.2,2001-11-01
11,2.0,3.0,1.4,2001-12-01
12,1.6,2.7,1.8,2002-01-01
13,1.2,3.3,1.7,2002-02-01
14,0.8,3.1,1.7,2002-03-01
15,1.9,2.4,1.6,2002-04-01
16,2.4,2.8,1.2,2002-05-01
17,2.5,3.4,1.1,2002-06-01
18,2.5,2.5,1.4,2002-07-01
19,1.8,1.7,1.3,2002-08-01
20,1.8,2.0,1.2,2002-09-01
21,1.3,1.6,1.5,2002-10-01
22,1.3,1.4,1.6,2002-11-01
23,0.9,1.2,1.7,2002-12-01
24,0.5,1.9,1.4,2003-01-01
25,0.7,1.5,1.6,2003-02-01
26,2.7,1.1,1.6,2003-03-01
27,1.1,1.6,1.5,2003-04-01
28,1.5,1.9,1.3,2003-05-01
29,1.3,1.7,1.2,2003-06-01
30,1.5,1.7,1.3,2003-07-01
31,2.0,2.2,1.4,2003-08-01
32,2.4,2.3,1.3,2003-09-01
33,2.8,2.3,1.3,2003-10-01
34,2.6,2.4,1.3,2003-11-01
35,2.9,3.0,1.3,2003-12-01
36,5.9,1.9,1.5,2004-01-01
37,1.9,1.8,1.4,2004-02-01
38,2.5,2.3,1.2,2004-03-01
39,3.1,2.4,1.1,2004-04-01
40,2.7,2.1,1.4,2004-05-01
41,2.5,2.0,1.5,2004-06-01
42,2.4,2.3,1.4,2004-07-01
43,2.8,2.5,1.4,2004-08-01
44,2.8,2.4,1.2,2004-09-01
45,2.9,2.6,1.3,2004-10-01
46,2.6,2.2,1.5,2004-11-01
47,2.7,2.4,1.8,2004-12-01
48,2.2,2.5,1.7,2005-01-01
49,3.7,2.5,1.7,2005-02-01
50,2.1,2.6,2.0,2005-03-01
51,2.4,2.2,1.9,2005-04-01
52,2.6,2.3,1.9,2005-05-01
53,2.4,2.3,2.0,2005-06-01
54,2.6,2.0,2.3,2005-07-01
55,2.8,2.1,2.4,2005-08-01
56,2.3,2.0,2.5,2005-09-01
57,1.9,1.8,2.4,2005-10-01
