Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Primary education, pupils",SE.PRM.ENRL,Afghanistan,AFG,5279326,5291624,5767543,5986268,6217756,6199329,6265011,6350404,6544906,..,..
"Primary education, pupils",SE.PRM.ENRL,Albania,ALB,224781,215660,206617,198897,195720,188371,179564,174836,170861,167104,..
"Primary education, pupils",SE.PRM.ENRL,Algeria,DZA,3312440,3363236,3451588,3608812,3765307,3925429,4118362,4283207,4429994,4516571,..
"Primary education, pupils",SE.PRM.ENRL,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Andorra,AND,4367,4263,4130,4068,4065,4164,4248,4263,4325,4322,..
"Primary education, pupils",SE.PRM.ENRL,Angola,AGO,4273006,5026803,..,..,..,5620915,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Antigua and Barbuda,ATG,11254,10855,10453,..,10172,10077,..,9946,10123,..,..
"Primary education, pupils",SE.PRM.ENRL,Argentina,ARG,4947105,4911776,4871157,4791544,4780105,4784446,4775782,4753843,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Armenia,ARM,101819,136716,138470,140638,142517,144549,148481,152134,153415,154409,..
"Primary education, pupils",SE.PRM.ENRL,Aruba,ABW,9858,9112,8888,9803,9816,..,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Australia,AUS,2015017,2042081,2083119,2127730,2168531,2140571,2179689,2216779,2247875,..,..
"Primary education, pupils",SE.PRM.ENRL,Austria,AUT,328015,326351,326955,327187,327246.84375,327816.84375,329031.5,334933.15625,339021.84375,..,..
"Primary education, pupils",SE.PRM.ENRL,Azerbaijan,AZE,481551,482773,491479,498237,517708,551118,580980,607391,635153,645392,..
"Primary education, pupils",SE.PRM.ENRL,"Bahamas, The",BHS,33977,36347,34283,31520,31705,32719,30655,..,29504,..,..
"Primary education, pupils",SE.PRM.ENRL,Bahrain,BHR,..,93038,95524,99702,103806,108154,112179,113470,113878,115819,..
"Primary education, pupils",SE.PRM.ENRL,Bangladesh,BGD,16987106,..,..,..,..,..,..,17251350,17338100,..,..
"Primary education, pupils",SE.PRM.ENRL,Barbados,BRB,22659,22509,..,..,21171,20909,20731,20384,20218,19895,..
"Primary education, pupils",SE.PRM.ENRL,Belarus,BLR,357796,353801,351780,355634,368783,387051,410487,423001,427752,..,..
"Primary education, pupils",SE.PRM.ENRL,Belgium,BEL,731761,736062,744331,764137,773568,782606,797390,814974,821236,..,..
"Primary education, pupils",SE.PRM.ENRL,Belize,BLZ,52650,52361,53605,52573,51978,52072,52333,51512,50764,50388,..
"Primary education, pupils",SE.PRM.ENRL,Benin,BEN,1787940,1869379,1987182,2064031,2133330,2238185,2267835,2251555,2223966,2180896,..
"Primary education, pupils",SE.PRM.ENRL,Bermuda,BMU,4473,4347,4216,4122,4100,4147,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Bhutan,BTN,110369,111183,110575,104323,101667,99291,96654,94184,91768,..,94165
"Primary education, pupils",SE.PRM.ENRL,Bolivia,BOL,1444023,1400598,1373868,1360090,1345789,1345182,1354038,1368580,1379099,..,..
"Primary education, pupils",SE.PRM.ENRL,Bosnia and Herzegovina,BIH,175271,170842,166620,162528,161023,162629,161560,161483,159380,157304,..
"Primary education, pupils",SE.PRM.ENRL,Botswana,BWA,..,..,335830,340065,340700,344618,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Brazil,BRA,16893490,16486880,16134889,16760693,16630217,16299166,16118565,16106812,15951913,..,..
"Primary education, pupils",SE.PRM.ENRL,British Virgin Islands,VGB,3201,3138,3164,3197,3277,3358,3309,3334,2529,..,..
"Primary education, pupils",SE.PRM.ENRL,Brunei Darussalam,BRN,44215,43767,42753,42090,41078,40397,40471,39610,39472,39236,..
"Primary education, pupils",SE.PRM.ENRL,Bulgaria,BGR,260340,255086,252372,253675,258840,261793,261969,264503,262735,..,..
"Primary education, pupils",SE.PRM.ENRL,Burkina Faso,BFA,2047630,2205295,2344031,2466379,2594024,2706803,2873049,3040802,3206060,3233784,..
"Primary education, pupils",SE.PRM.ENRL,Burundi,BDI,1849861,1946371,1980846,2009800,2046794,2072408,2110429,2126173,2170884,2212532,..
"Primary education, pupils",SE.PRM.ENRL,Cabo Verde,CPV,71134,69115,67903,67745,67023,65580,64326,63582,64127,..,..
"Primary education, pupils",SE.PRM.ENRL,Cambodia,KHM,2272527,2224267,2194716,2224955,2128685,2178916,2105903,2111631,2147313,2163143,..
"Primary education, pupils",SE.PRM.ENRL,Cameroon,CMR,3510396,3585173,3848611,..,4142775,4369988,4481235,4371381,4201988,4399897,..
"Primary education, pupils",SE.PRM.ENRL,Canada,CAN,2168022,2153778,2182843,2206136,2249164,2303964,2318914,2364626,2407006,..,..
"Primary education, pupils",SE.PRM.ENRL,Cayman Islands,CYM,..,3985,4033,3950,..,..,..,..,4299,..,..
"Primary education, pupils",SE.PRM.ENRL,Central African Republic,CAF,636871,648370,662317,..,..,..,813767,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Chad,TCD,1727030,1928603,2090758,2330798,2442660,2270104,2213223,2060946,2419675,2468784,..
"Primary education, pupils",SE.PRM.ENRL,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Chile,CHL,1546543,1520405,1503898,1472348,1469099,1477538,1493732,1514761,1540085,..,..
"Primary education, pupils",SE.PRM.ENRL,China,CHN,101018624,99707840,99540480,98870816,95107120,95958040,98189336,100321024,101872976,104325248,..
