Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Afghanistan,AFG,1957.02906990812,1904.55992565594,2075.49161435331,2116.46525771251,2102.38460375974,2068.26590413364,2057.06797755329,2058.4002210698,2033.80438893717,2065.03623501599,1978.96157872183
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Albania,ALB,10749.4874481658,11052.7904635136,11227.9944871972,11361.2936763788,11586.8637666424,11878.4880933446,12291.8733773928,12770.9750370811,13323.7533559132,13671.4884222978,13295.4108845409
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Algeria,DZA,10970.7063686682,11078.2423287826,11233.53132033,11319.0970588002,11512.7051094875,11696.9652290603,11826.1664161029,11737.4161588301,11642.1983450506,11510.5570882585,10681.6792969827
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Angola,AGO,7692.43428623311,7675.44608452759,8036.69240208792,8140.52597328045,8239.8306720725,8036.41089824639,7568.99816818809,7310.89658895511,6933.49993413352,6670.33145836633,6198.08384070806
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Antigua and Barbuda,ATG,18205.7385326292,17605.1701396079,17966.0643624765,17642.860867551,18104.4073367164,18594.2616238259,19419.58079882,19840.2840357026,21030.3950717884,21548.7250080262,17956.315715683
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Argentina,ARG,23521.2701750961,24647.6292739541,24118.8675158912,24424.1364465071,23550.0990599374,23933.8866120953,23189.5274451329,23597.117752839,22759.3985583341,22063.9043717551,19686.523658911
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Armenia,ARM,9286.19732701296,9725.27822960819,10397.654656654,10691.2767474722,11019.838784895,11321.3325403745,11303.0678498177,12115.1392902637,12715.1089539751,13653.7633812861,12592.6353675009
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Aruba,ABW,34343.1513198843,35392.605185777,34732.4958463381,35980.1645924769,35875.6298298588,37715.9266182631,38314.8060318881,38897.122666275,..,..,..
