Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Population ages 0-14, total",SP.POP.0014.TO,Afghanistan,AFG,14061038,14366484,14673818,14968789,15230632,15443806,15664814,15855058,16017446,16157198,16280845
"Population ages 0-14, total",SP.POP.0014.TO,Albania,ALB,654121,623783,597500,574857,555294,537791,528734,518036,506571,496617,489109
"Population ages 0-14, total",SP.POP.0014.TO,Algeria,DZA,9815649,10072051,10343599,10647526,11001501,11404929,11814428,12267582,12731309,13152871,13498893
"Population ages 0-14, total",SP.POP.0014.TO,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..
"Population ages 0-14, total",SP.POP.0014.TO,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..
"Population ages 0-14, total",SP.POP.0014.TO,Angola,AGO,10987155,11418718,11849941,12280862,12710363,13136045,13571355,13999872,14421730,14837599,15248424
"Population ages 0-14, total",SP.POP.0014.TO,Antigua and Barbuda,ATG,21426,21453,21391,21285,21190,21123,21179,21215,21260,21321,21398
"Population ages 0-14, total",SP.POP.0014.TO,Argentina,ARG,10619665,10654653,10705359,10765954,10824454,10874071,10932227,10978949,11017254,11052913,11087953
"Population ages 0-14, total",SP.POP.0014.TO,Armenia,ARM,559945,559194,562689,569814,578629,587453,594870,602339,609045,614200,617311
"Population ages 0-14, total",SP.POP.0014.TO,Aruba,ABW,21221,20952,20608,20213,19833,19515,19146,18944,18843,18732,18558
"Population ages 0-14, total",SP.POP.0014.TO,Australia,AUS,4193157,4252616,4316146,4375969,4432970,4498208,4584735,4690354,4794332,4889361,4955653
"Population ages 0-14, total",SP.POP.0014.TO,Austria,AUT,1230814,1218637,1211102,1208730,1211372,1220347,1238043,1251975,1264013,1275321,1285163
"Population ages 0-14, total",SP.POP.0014.TO,Azerbaijan,AZE,2067587,2073578,2095964,2130775,2169867,2207180,2257698,2294774,2322882,2349884,2377423
"Population ages 0-14, total",SP.POP.0014.TO,"Bahamas, The",BHS,95420,94993,93956,92505,91023,89772,88256,87322,86710,85982,84947
"Population ages 0-14, total",SP.POP.0014.TO,Bahrain,BHR,252039,260175,265255,269740,276233,286027,290718,296447,302185,307205,311089
"Population ages 0-14, total",SP.POP.0014.TO,Bangladesh,BGD,47204866,46901167,46623244,46353532,46065580,45748820,45423270,45070552,44711068,44371981,44061889
"Population ages 0-14, total",SP.POP.0014.TO,Barbados,BRB,55701,55086,54453,53762,52990,52165,51306,50491,49712,48938,48164
"Population ages 0-14, total",SP.POP.0014.TO,Belarus,BLR,1413690,1427289,1449167,1478031,1510197,1543349,1569097,1586959,1599482,1604455,1620397
"Population ages 0-14, total",SP.POP.0014.TO,Belgium,BEL,1839474,1867534,1881300,1892011,1902944,1917082,1928234,1937926,1948932,1959814,1968445
"Population ages 0-14, total",SP.POP.0014.TO,Belize,BLZ,114838,115181,115555,115848,115961,115867,116133,116128,115993,115951,116103
"Population ages 0-14, total",SP.POP.0014.TO,Benin,BEN,4033506,4138619,4242294,4345221,4448213,4551586,4660441,4768295,4875131,4980737,5085024
"Population ages 0-14, total",SP.POP.0014.TO,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..
"Population ages 0-14, total",SP.POP.0014.TO,Bhutan,BTN,213689,210443,207249,204227,201538,199286,197014,195482,194418,193370,192089
"Population ages 0-14, total",SP.POP.0014.TO,Bolivia,BOL,3465712,3480012,3494266,3507204,3516847,3522332,3528357,3529623,3527823,3525918,3525599
"Population ages 0-14, total",SP.POP.0014.TO,Bosnia and Herzegovina,BIH,583133,575948,561732,544352,530339,522688,505271,495883,490819,485041,476455
"Population ages 0-14, total",SP.POP.0014.TO,Botswana,BWA,694859,703051,711303,720000,729563,740482,749805,759403,768929,777845,785530
"Population ages 0-14, total",SP.POP.0014.TO,Brazil,BRA,48582701,48025330,47469180,46912941,46366981,45844250,45457971,45066347,44688335,44339802,44019351
"Population ages 0-14, total",SP.POP.0014.TO,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..
"Population ages 0-14, total",SP.POP.0014.TO,Brunei Darussalam,BRN,100886,100265,100158,100300,100300,99948,100261,99736,98774,97996,97664
"Population ages 0-14, total",SP.POP.0014.TO,Bulgaria,BGR,998134,1003998,1008330,1012555,1018130,1024567,1020446,1022102,1025337,1024417,1016889
"Population ages 0-14, total",SP.POP.0014.TO,Burkina Faso,BFA,7213252,7426964,7636329,7842964,8048640,8253721,8463139,8671798,8877905,9079151,9274847
"Population ages 0-14, total",SP.POP.0014.TO,Burundi,BDI,3916196,4046742,4183302,4325978,4473613,4624917,4778516,4932298,5084985,5234957,5380807
"Population ages 0-14, total",SP.POP.0014.TO,Cabo Verde,CPV,159192,157534,156801,156776,156989,157109,157100,156859,156483,156217,156130
"Population ages 0-14, total",SP.POP.0014.TO,Cambodia,KHM,4769772,4787157,4803021,4825072,4859074,4905112,4948930,5006532,5070166,5127182,5170334
"Population ages 0-14, total",SP.POP.0014.TO,Cameroon,CMR,8887234,9124138,9363031,9602253,9838320,10068780,10303610,10530818,10750090,10961789,11166234
"Population ages 0-14, total",SP.POP.0014.TO,Canada,CAN,5606922,5636891,5657280,5671952,5691799,5709424,5740699,5799752,5882337,5957010,5995422
"Population ages 0-14, total",SP.POP.0014.TO,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..
"Population ages 0-14, total",SP.POP.0014.TO,Central African Republic,CAF,1932637,1962905,1984051,1999096,2013367,2031129,2039895,2051951,2066939,2084083,2102963
"Population ages 0-14, total",SP.POP.0014.TO,Chad,TCD,5828680,6016475,6203822,6389882,6572613,6750218,6936977,7118031,7294080,7466481,7636431
"Population ages 0-14, total",SP.POP.0014.TO,Channel Islands,CHI,24827,25152,25339,25450,25534,25627,25780,25851,25896,25956,26034
"Population ages 0-14, total",SP.POP.0014.TO,Chile,CHL,3767708,3744614,3722953,3706348,3697241,3695765,3696329,3698556,3699741,3694561,3677716
"Population ages 0-14, total",SP.POP.0014.TO,China,CHN,249615182,248796397,248118129,247587326,247401658,247557811,248085474,248682677,248978380,248856284,248339489
"Population ages 0-14, total",SP.POP.0014.TO,Colombia,COL,12331562,12163555,12013044,11879711,11760146,11656662,11584059,11521649,11460727,11387177,11287640
"Population ages 0-14, total",SP.POP.0014.TO,Comoros,COM,283080,288831,294660,300544,306376,312077,318053,323704,329087,334280,339315
