gender,action,group,During Pandemic,Pre-Pandemic
 , , ,22,22
Women,Felt unsafe,Ethnic minority,12.6,20.2
Women,Felt unsafe,White majority,4.7,6.3
Men,Felt unsafe,Ethnic minority,10.1,12.1
Men,Felt unsafe,White majority,2.1,3.6
Women,Physically and verbally attacked,Ethnic minority,7.7,10.9
Women,Physically and verbally attacked,White majority,2.7,3.7
Men,Physically and verbally attacked,Ethnic minority,7,9.5
Men,Physically and verbally attacked,White majority,1.6,3.4
  ,  ,  ,0,0
