Default Dataset,,Dataset 1,,Dataset 2,
X,Y,X,Y,X,Y
6.854308938,5.934248934,9.372695461,3.152075183,7.633113825,1.883683209
6.897058675,6.238472902,9.453981079,3.152919563,7.703115581,2.035648432
6.97137816,6.426336826,9.535266696,3.153763943,7.772535654,2.282783286
7.05243861,6.646213295,9.609844186,3.090653598,7.849276196,2.468879667
7.127444857,6.824957918,9.697894222,3.10069468,7.930438675,2.589507221
7.221619461,6.807683317,9.77917984,3.101539059,8.011668,2.645109623
7.296140659,6.799330995,9.860465457,3.102383439,8.092953617,2.645954003
7.375444798,6.750872045,9.939769596,3.053924489,8.174182943,2.701556405
7.420332022,6.576110783,10.0049163,2.939608146,8.255355976,2.811916829
7.477462751,6.352193957,10.07814654,2.869182659,8.336529009,2.922277253
7.522428784,6.100771463,10.13007589,2.762942807,8.415788115,2.917624721
7.544275701,5.934897297,10.20629523,2.750044908,8.465428258,2.73196111
7.600010389,5.751122281,10.28763714,2.696131265,8.533916832,2.661486367
7.644959534,5.516127194,10.36897905,2.642217623,8.566611214,2.486598447
7.70846734,5.301663802,10.45031392,2.595148733,8.641818001,2.470267617
7.779486105,5.12326266,10.51138368,2.493110726,8.72277173,2.793956169
7.812197373,4.931947334,10.6941567,2.611371377,8.692547629,2.542665258
7.872246842,4.834005624,10.78231228,2.518741167,8.783454483,3.068379566
7.914068967,4.675640104,10.85684755,2.496699339,8.844141927,3.338239793
7.983240551,4.599696595,10.93813317,2.497543719,8.904880972,3.557905167
8.036222561,4.457874584,11.01941879,2.498388099,8.969978625,3.773704488
8.105405403,4.370979471,11.09634781,2.501142887,9.042354026,3.970022764
8.135332095,4.252646696,11.17585138,2.541082046,9.111790182,4.201512469
8.21322143,4.26258223,11.26930732,2.563956292,9.182496124,4.32740948
8.294563339,4.208668587,11.3444346,2.624971168,9.269793724,4.410454221
8.377937389,4.154776054,11.42367119,2.642221844,9.35102305,4.466056623
8.457106428,4.237736358,11.50690732,2.722486466,9.430327189,4.417597673
8.538279461,4.348096782,11.58612984,2.753426648,9.515778413,4.319919832
8.626226296,4.458527571,11.67147974,2.754313247,9.595090996,4.263247179
8.700555162,4.637265158,11.75079232,2.697640594,9.656146684,4.174898677
8.781615612,4.857141627,11.81186208,2.595602587,9.737467483,4.141519293
8.862725317,5.029104827,11.89758371,2.517288633,9.818753101,4.142363673
8.923710639,5.009203853,11.97452479,2.50830956,9.894015476,4.071959295
8.944243138,4.804072364,12.05581041,2.50915394,9.947727406,3.879036833
8.985075932,4.619686229,12.13099116,2.518148694,10.01625351,3.772056742
9.0279859,4.391514785,12.22518828,2.478970884,10.04895915,3.586217218
9.134866542,3.875156205,12.29970948,2.470618562,10.11819265,3.450039885
9.209392431,3.862240714,12.37901362,2.422159612,10.14982734,3.317578878
9.290678048,3.863085093,12.46237922,2.376480782,10.22605371,3.297836226
9.365255538,3.799974749,12.54374928,2.295188128,10.30134423,3.200052837
9.453333721,3.782636819,12.62510526,2.22758498,10.38679546,3.102374995
9.53467563,3.728723177,12.70039578,2.129801591,10.4364356,2.916711384
9.622777268,3.688569405,12.78583575,2.043075354,10.50497484,2.796954421
9.692775673,3.843794033,12.87603614,1.938145699,10.53766359,2.627542304
9.747825207,3.949971762,12.95050104,1.984551399,10.60686332,2.524219784
9.798192455,4.374874173,13.03381317,1.99089269,10.63343173,2.378016498
9.879344379,4.505768855,13.11301599,2.04099818,10.70867299,2.328146378
9.960496303,4.636663538,13.19431568,2.028153054,10.76060234,2.221906527
10.03973289,4.653914215,13.27560129,2.028997434,10.83077029,2.165138881
10.12503776,4.698607231,13.35688691,2.029841814,10.88269964,2.05889903
10.20081614,4.785182887,13.43810216,2.099133721,10.9528676,2.002131384
10.28872545,4.932119025,13.51933149,2.154736123,11.03830756,1.915405147
10.3665022,5.051570603,13.60056081,2.210338525,11.12374753,1.82867891
10.44911068,5.177591255,13.68184643,2.211182905,11.20499937,1.862378103
10.52879197,5.327049474,13.75642392,2.14807256,11.28215315,1.92888989
10.61140045,5.453070126,13.85059853,2.130797959,11.35930694,1.995401678
10.69103953,5.643596862,13.92582994,2.090510494,11.44053627,2.05100408
10.77205776,5.904541847,14.00711556,2.091354874,11.52176559,2.106606482
10.84878373,6.104816645,14.08840118,2.092199253,11.6091101,2.144019538
10.91384318,6.357773196,14.16288954,2.115789111,11.68026316,2.117379359
10.97455408,6.604817581,14.2570041,2.156923067,11.69060916,1.93723975
11.03526498,6.851861966,14.33213137,2.217937942,11.75177743,1.739375204
11.09597588,7.098906351,14.41548853,2.180472816,11.81299496,1.493597388
11.15668678,7.345950736,14.49283371,2.060807328,11.8742031,1.25694591
11.21739768,7.592995121,14.55798042,1.946490985,11.9397665,1.019687784
11.27808512,7.862855349,14.63722686,1.954159008,12.01073461,0.890568862
11.33879289,8.112941846,14.71851951,1.948158634,12.04344025,0.704729339
11.40389903,8.320484005,14.79980513,1.949003014,12.11267375,0.568552006
11.47865719,8.458157097,14.88110482,1.936157888,12.14430843,0.436090999
11.55846608,8.577629785,14.96246784,1.861709987,12.22257821,0.405417851
11.64305416,8.660646381,15.04389419,1.725659311,12.30189079,0.348745198
11.72437731,8.624985412,15.13204977,1.633029101,12.36906683,0.237187866
11.79966783,8.527202023,15.20042388,1.67389567,12.4462375,0.287272246
11.88706582,8.512594958,15.38949175,1.599197622,12.51930449,0.375645024
11.94775795,8.777892018,15.47082662,1.552128732,12.60456432,0.464144458
12.00842194,9.070568088,15.55220372,1.463991326,12.6817181,0.530656245
12.06708851,9.329455602,15.74095635,1.695938202,12.77109851,0.564439877
12.11633367,9.52801078,15.81604422,1.795283693,12.85030132,0.614545367
12.18887057,9.473093029,15.89109269,1.9329598,12.9376327,0.664735295
12.24185258,9.331271018,15.98051812,1.922937013,13.01478648,0.731247082
12.31102417,9.255327509,16.05978849,1.907332877,13.09194027,0.79775887
12.35995878,9.097035873,16.13503961,1.847880104,13.17323715,0.787651645
12.41999136,9.015521569,16.21638151,1.793966461,13.23977145,0.641407195
12.45778861,8.818783215,16.28963427,1.701637765,13.31167038,0.548151792
12.51691677,8.628654946,16.36484879,1.677777706,13.36465239,0.406329781
12.57810615,8.410256141,16.44015339,1.566304811,13.43977685,0.470082558
12.63931899,8.169041494,16.55440359,1.129422765,13.5209921,0.539374466
12.65991481,7.90230723,16.62363146,0.998721234,13.60220735,0.608666373
12.70282197,7.676873688,16.65526615,0.866260227,13.68544912,0.683455193
12.68062323,7.526056922,16.73149252,0.846517575,13.76802007,0.751848539
12.72756792,7.326675659,16.80678305,0.748734186,13.84785148,0.849418019
12.73858051,7.157038374,16.8942514,0.665679593,13.92698393,0.967971037
12.76860477,6.943791693,16.97549011,0.712155658,14.00368376,1.193669202
12.77961736,6.774154408,17.0547267,0.729406335,14.07312796,1.417336333
12.80964163,6.560907726,17.14003156,0.774099351,14.14313574,1.563434624
12.82065421,6.391270441,17.2192203,0.837894347,14.23118578,1.573475706
12.85067848,6.17802376,17.36112534,1.174764898,14.31252769,1.519562063
12.87123068,5.953726964,17.4424954,1.093472244,14.39182338,1.479316817
12.94042478,5.855880246,17.51380092,0.918529088,14.47508485,1.534940328
12.99235413,5.749640395,17.73367551,0.52837642,14.554237,1.634328039
13.06860162,5.709363484,17.80678753,0.57294278,14.63748721,1.700903154
13.14797331,5.595194908,17.88393006,0.650406172,14.71875875,1.71543704
13.20095532,5.453372896,17.97121077,0.74987832,14.80004437,1.716281419
13.2701269,5.377429388,18.05242602,0.819170228,14.87455149,1.721618603
13.32310891,5.235607377,18.13361313,0.915841146,14.94682771,1.543752033
13.39228049,5.159663868,18.21501133,0.807169481,15.01779582,1.414633111
13.4452625,5.017841857,18.2903694,0.643676466,15.05050146,1.228793587
13.51443409,4.941898349,18.3270957,0.500316628,15.12580605,1.117320693
13.5674161,4.800076337,18.39620958,0.480500092,15.14284845,1.012543729
13.63658768,4.724132829,18.47941476,0.590881626,15.2069181,1.287002308
13.68446401,4.606899154,18.56058779,0.70124205,15.26764776,1.515794019
13.75464322,4.539179904,18.64381548,0.789720375,15.32836805,1.753712067
13.78456991,4.420847128,18.72301829,0.839825866,15.38918215,1.900366745
13.85641912,4.375961311,18.80225488,0.857076542,15.46444452,1.829962367
13.88910224,4.212024996,18.88553324,0.896272647,15.51742653,1.688140356
13.95419641,4.148816141,18.96079561,0.825868269,15.59065114,1.623190671
13.96456586,3.945860689,19.01272496,0.719628418,15.63852747,1.505956996
14.02575758,3.7251803,19.08289291,0.662860772,15.70869542,1.44918935
14.08700326,3.452023474,19.13480819,0.570310426,15.79413538,1.362463113
14.14825362,3.174303478,19.21090087,0.680618077,15.87958661,1.264785271
14.1688213,2.934948226,19.29207391,0.790978501,15.95283373,1.177932377
14.20968224,2.723183079,19.38002074,0.90140929,16.00476308,1.071692526
14.25059713,2.458941495,19.45434961,1.080146877,16.07493103,1.01492488
14.31207032,1.964470994,19.53536784,1.341091863,16.12684631,0.922374534
14.30145224,2.409274378,19.61642829,1.560968332,16.2090523,1.016318106
14.35492962,1.785581771,19.69748874,1.780844801,16.28753645,1.106572443
14.40379106,1.698475563,19.77859141,1.959652753,16.36329232,1.215051308
14.45707705,1.260960231,19.85965185,2.179529222,16.44650031,1.322694941
14.51618269,1.092735171,19.94075452,2.358337174,16.52771556,1.391986848
14.5773533,0.892589041,20.0204519,2.492150244,16.60893081,1.461278756
14.63854268,0.674190236,20.09964801,2.642907199,16.69217258,1.536067575
14.69975083,0.437538758,20.17822224,2.6455487,16.76523957,1.624440352
14.76097774,0.182634605,20.21088847,2.498039792,16.8504994,1.712939787
14.82219526,-0.06314321,20.28005442,2.427572086,16.92776577,1.66993553
14.88135532,-0.284301025,20.32898341,2.274756251,16.960432,1.522426621
14.92629883,-0.51382031,20.40391688,2.241897216,17.02960921,1.441007311
14.96517689,-0.773519836,20.46898438,2.487031192,17.06229797,1.271595193
15.00608239,-1.028635083,20.51137505,2.764002504,17.1314414,1.223030696
15.04695506,-1.251808151,20.57344353,3.008323061,17.16307609,1.090569689
15.08783711,-1.484107556,20.61719647,3.278007376,17.23930246,1.070827037
15.13551173,-1.73458927,20.69160508,3.379171098,17.31459299,0.973043648
15.21010329,-1.81138912,20.7668562,3.319718325,17.40004421,0.875365806
15.29147334,-1.892681774,20.86103925,3.294230021,17.45302622,0.733543795
15.37486147,-1.960263813,20.93533997,3.500346619,17.5221978,0.657600287
15.45066237,-1.895591366,20.90506426,3.299250562,17.57517981,0.515778276
15.5318354,-1.785230941,20.99403374,3.732767755,17.6443514,0.439834767
15.6163625,-1.642893155,21.03849877,3.96869166,17.69397278,0.27242383
15.70075356,-1.368223481,21.09519042,4.171887408,17.76247449,0.189172215
15.66709565,-1.57391789,21.13966671,4.396859708,17.79516324,0.019760098
15.73977422,-1.107714758,21.19839707,4.59368813,17.86365556,-0.05436518
15.79642647,-0.866188395,21.25913612,4.813353504,17.91118241,-0.161107085
15.84092528,-0.663119303,21.31987516,5.033018878,17.9583762,0.056135974
15.88133729,-0.438189222,21.38497349,5.248166318,18.03698393,0.308581374
15.96057388,-0.420938545,21.46516007,5.376769364,18.00236838,0.093098695
16.04191579,-0.474852188,21.54293682,5.496220943,18.11800417,0.567570716
16.12528984,-0.528744721,21.62416615,5.551823345,18.08337254,0.367733186
16.21057218,-0.462148495,21.70536733,5.634804758,18.18474501,0.596947087
16.28905634,-0.371894159,21.78460391,5.652055435,18.19509804,0.409962725
16.3648122,-0.263415294,21.87464669,5.700448242,18.25422432,0.221659723
16.44800612,-0.142082156,21.94898494,5.870059492,18.29712022,0.007177785
16.52917915,-0.031721731,22.03004539,6.089935961,18.34000767,-0.19909045
16.61035219,0.078638693,22.11110584,6.30981243,18.39919399,-0.445802009
16.68560893,0.013710117,22.19212407,6.570757415,18.46043029,-0.709832498
16.71829768,-0.155702,22.27745868,6.868904865,18.52164781,-0.955610314
16.78749741,-0.25902452,22.24284314,6.653422186,18.58286534,-1.201388129
16.82018617,-0.428436637,22.3584749,7.131805494,18.64834698,-1.359116746
16.88937464,-0.520807552,22.3238473,6.928056677,18.72075053,-1.190177481
16.92605637,-0.620817289,22.40482331,7.23007018,18.7901706,-0.943042627
16.99923406,-0.640135288,23.22289427,9.639043018,18.86691115,-0.756946246
17.07652295,-0.705042754,22.96435024,9.137742353,18.94192654,-0.587099801
17.16321447,-0.691365211,22.59590963,7.538347194,19.02916222,-0.443821235
17.2070284,-0.481002086,25.38668837,10.80833451,19.11645419,-0.355300691
17.24741789,-0.234168796,25.37479657,4.376078014,19.17643611,-0.387532774
17.28780739,0.012664494,,,19.21424462,-0.595222733
17.32822503,0.232118773,,,19.27339435,-0.806341577
17.36858638,0.506331074,,,19.33459311,-1.033866719
17.41251288,0.607178154,,,19.39571682,-1.188381164
17.55090671,1.064937488,,,19.45647932,-0.991531633
17.62090579,1.219510236,,,19.51721837,-0.771866259
17.68596524,1.472466787,,,19.57797618,-0.570453559
17.74669021,1.705821666,,,19.6430946,-0.374862555
17.8074105,1.943739714,,,19.71401043,-0.453134742
17.86812609,2.186220931,,,19.74671607,-0.638974266
17.92881822,2.45151799,,,19.80673739,-0.709536965
17.98950097,2.725941386,,,19.84452339,-0.895323715
18.05018373,3.000364782,,,19.90152464,-0.99329709
18.11087117,3.27022501,,,19.9507745,-0.79930508
18.1759648,3.489935619,,,20.02938222,-0.546859681
18.25273048,3.651586454,,,19.99476668,-0.76234236
18.33380148,3.861195794,,,20.11039844,-0.283959051
18.41489008,4.053693252,,,20.07577083,-0.487707868
18.49597867,4.246190709,,,20.18722895,-0.185377724
18.57709541,4.411309156,,,20.26180644,-0.248488068
18.65815586,4.631185625,,,20.35598105,-0.265762669
18.73921631,4.851062093,,,20.43112802,-0.223913101
18.82027676,5.070938562,,,20.50782785,0.001785064
18.89697659,5.296636728,,,20.57727205,0.225452194
18.9620528,5.533296248,,,20.65399852,0.425238081
19.02279184,5.752961622,,,20.73504842,0.655381679
19.08353089,5.972626996,,,20.81610887,0.875258148
19.14869019,6.128453245,,,20.89573588,1.077518746
19.22560715,6.142941895,,,20.97832827,1.219184547
19.30689277,6.143786275,,,21.05802565,1.352997617
19.38138113,6.167376132,,,21.14060867,1.503789754
19.47136386,6.274177496,,,21.20131488,1.755397308
19.54714224,6.360753152,,,21.26199763,2.029820704
19.6283059,6.480239914,,,21.32268038,2.304244101
19.6903678,6.730948907,,,21.38334437,2.596920171
19.73278381,6.983279108,,,21.37341353,2.373219366
19.77320145,7.202733387,,,21.42802479,2.905727411
19.81361909,7.422187666,,,21.46831778,3.246431597
19.85403673,7.641641945,,,21.43409628,2.647642762
19.89647525,7.872068938,,,21.51103334,3.583901507
19.95515589,8.117266947,,,21.47440134,2.976613086
20.0158621,8.3688745,,,21.53043437,3.820477695
20.07456056,8.596732468,,,21.51467825,3.33296242
20.12377382,8.826317192,,,21.5690362,4.111881566
20.19478146,8.941135238,,,21.60935734,4.425206741
20.27595449,9.051495662,,,21.57510769,3.853796917
20.35440487,9.174604812,,,21.65214795,4.689665954
20.43967596,9.252152642,,,21.72665977,4.690439969
20.52295431,9.291348747,,,21.80794538,4.691284348
20.60423993,9.292193126,,,21.88775334,4.717537017
20.68553962,9.279348,,,21.9737581,4.834466515
20.76688153,9.225434358,,,22.05493113,4.944826939
20.85430016,9.190749351,,,22.13471188,5.091678638
20.93358821,9.44033351,,,22.19345162,5.279380723
20.90917358,9.185843506,,,22.25417659,5.512735603
20.97636744,9.715874704,,,22.31490625,5.741527314
21.01676162,9.958144826,,,22.3756453,5.961192687
21.05714643,10.20954128,,,22.42635499,6.052983795
21.09280364,10.44719898,,,,
21.13323817,10.65022585,,,,
21.15735365,10.91331768,,,,
21.17741612,11.16541567,,,,
21.19748421,11.41203787,,,,
21.23172662,11.70809005,,,,
21.25182285,11.92733323,,,,
21.27798736,12.17401876,,,,
21.24211249,11.48916351,,,,
21.29804983,12.42611676,,,,
21.31811792,12.67273895,,,,
21.35912475,12.97798783,,,,
21.37847981,13.25928307,,,,
21.36280249,12.69510657,,,,
21.45364367,13.28470523,,,,
21.53492929,13.28554961,,,,
21.61617972,13.32061776,,,,
21.69719092,13.5884075,,,,
21.6669199,13.38274827,,,,
21.75790181,13.83545188,,,,
21.82294921,14.10014229,,,,
21.88357165,14.433235,,,,
21.90599663,14.74050728,,,,
21.87946434,14.1926456,,,,
21.92596621,15.08295601,,,,
21.94530063,15.38432919,,,,
21.96534057,15.6583304,,,,
21.98543681,15.87757358,,,,
21.94989968,14.8641702,,,,
22.00614944,16.156145,,,,
21.96993963,15.13817141,,,,
22.02618,16.43927254,,,,
21.98997957,15.41217261,,,,
22.04614958,16.78172127,,,,
22.065484,17.08309445,,,,
22.08558024,17.30233764,,,,
22.10628349,17.59003539,,,,
22.07008306,16.56293546,,,,
22.12563761,17.87224326,,,,
22.090123,16.83693667,,,,
22.14293426,18.17907113,,,,
22.16291791,18.50783036,,,,
22.18290156,18.83658959,,,,
22.20288522,19.16534882,,,,
22.22286887,19.49410805,,,,
22.24285252,19.82286728,,,,
22.26283617,20.15162651,,,,
22.28281983,20.48038574,,,,
22.30280348,20.80914496,,,,
22.3228012,21.12421469,,,,
22.34373445,21.47058476,,,,
22.36614134,21.79545783,,,,
22.38331173,22.50749809,,,,
22.37926675,22.20628373,,,,
22.38285067,22.01466583,,,,
22.39849046,23.27427626,,,,
22.39877192,23.00048615,,,,
22.40234646,22.81799459,,,,
22.42243465,23.98638688,,,,
22.41838967,23.68517252,,,,
22.42198298,23.48442829,,,,
22.43761338,24.75316505,,,,
22.43789484,24.47937494,,,,
22.44146939,24.29688338,,,,
22.46155758,25.46527567,,,,
22.4575126,25.16406131,,,,
22.4611059,24.96331708,,,,
22.42961992,22.64487565,,,,
22.48110698,26.21645393,,,,
22.47705999,25.91719521,,,,
22.48063922,25.73014049,,,,
22.49973158,26.92590174,,,,
22.49662145,26.65663961,,,,
22.50021007,26.46045855,,,,
22.46874285,24.12376444,,,,
22.52021382,27.71098787,,,,
22.51616884,27.40977351,,,,
22.51638697,27.19758618,,,,
22.53539255,28.47776604,,,,
22.53567401,28.20397593,,,,
22.53924855,28.02148437,,,,
22.55932066,29.20552181,,,,
22.55527769,28.90235181,,,,
22.55887569,28.69704441,,,,
22.57250585,29.93473051,,,,
22.57478286,29.69655423,,,,
22.58516873,29.47762769,,,,
22.59844359,30.6844106,,,,
22.81108961,32.22202289,,,,
25.40232198,13.60074067,,,,
