Year,Beta,CI95_upper,CI95_lower,Estimates
-4,-0.8079786,0.8499022,-2.465859,Stacked
-3,-1.608411,-0.0938226,-3.123,Stacked
-2,0.2147274,1.463273,-1.033818,Stacked
-1,0.0,0.0,0.0,Stacked
0,0.7071912,1.776431,-0.3620482,Stacked
1,1.814843,3.152645,0.4770406,Stacked
2,1.698955,2.98338,0.4145295,Stacked
3,1.873205,3.247401,0.4990087,Stacked
4,2.583881,4.09407,1.073692,Stacked
5,2.268752,3.775415,0.7620879,Stacked
-4,-0.7840383,0.8615991,-2.429676,TWFE
-3,-1.487361,-0.0039943,-2.970728,TWFE
-2,0.2742792,1.462812,-0.9142535,TWFE
-1,0.0,0.0,0.0,TWFE
0,0.6601858,1.699986,-0.3796149,TWFE
1,1.774215,3.07255,0.4758812,TWFE
2,1.689373,2.924316,0.4544303,TWFE
3,1.80873,3.188708,0.4287526,TWFE
4,2.473738,4.034146,0.913329,TWFE
5,2.275528,3.865356,0.6856999,TWFE
