Default Dataset 2,
X,Y
2012.0403225806451,11.384378600230413
2012.9475806451615,10.065344182027651
2013.975806451613,10.088295650921658
2014.9939516129032,10.780664962557609
2015.9818548387098,15.267002088133644
2016.9798387096776,19.753564228110598
2017.9979838709678,16.428076396889402
2018.975806451613,13.771331365207374
2020.0040322580646,22.946068548387096
2021.0423387096776,20.29067360311059
2022,18.63794282834101
