Default Dataset,,Dataset 1,,Dataset 2,
X,Y,X,Y,X,Y
2018 Q1,1.0036420920823197,0.9320187692286976,1.0036420920823197,0.9504581226732012,1.1872816259483905
2018 Q2,0.8872701812967447,1.8806457476386989,1.005338593,1.8990851010832026,1.188978127251061
2018 Q3,1.0463777677543558,2.7606250126227776,1.0462565890898796,2.7576628674911303,1.1773988326455314
2018 Q4,0.943483617,3.8920163456554078,0.956476663,3.9107519136130766,1.1270019725193707
2019 Q1,0.9583751287523299,4.816575894870777,1.023703893201203,4.950612962077811,1.0895173723079807
2019 Q2,0.7895867134326551,5.926269514814091,0.8945409011653336,5.925380871274598,0.9338835742320297
2019 Q3,0.9226274227317708,6.896001777287079,0.961848917,6.803286634666524,1.0666011404258748
2019 Q4,0.832605139,7.890690112494195,0.9242835311462825,7.911795397,0.9898950458122666
2020 Q1,0.9654842770682839,8.858941302401357,1.0571626688927624,8.858941302401357,1.0571626688927624
2020 Q2,1.3476144633468197,9.941012918992065,1.1509010980133425,9.862590126631705,1.6228919961492112
2020 Q3,1.5199978457126306,10.878976174928136,1.6247096761163586,11.01301324213517,1.6905231552231363
2020 Q4,1.9282353020378205,11.925131781797619,2.308547808,11.948606781965921,2.269245528170673
2021 Q1,1.9825098794272282,13.05593068580392,2.2449963309793253,13.05593068580392,2.2449963309793253
2021 Q2,1.7220026793949144,13.93976073945914,2.1154294100618687,13.965309241219598,1.9843275593943757
2021 Q3,2.077944809850478,14.881574784066354,2.4187530715425374,14.815000572232584,2.366174995
2021 Q4,2.4205707515096844,15.886704680862525,2.9189112770211594,15.824573686726225,2.6696198356009453
2022 Q1,2.343905049784235,16.92834301640625,2.802741330676379,16.95359530365354,2.6847537043644514
2022 Q2,2.5161672534855692,17.986939632828648,2.9357820399754955,18.060919207491533,2.660504507173104
2022 Q3,2.845840542341845,18.952524892117328,3.186689196922062,19.00776889882255,2.7408863546091653
2022 Q4,3.240923381423311,19.915148006274364,3.5687385974242805,19.92314579812981,3.2146545398240214
2023 Q1,3.059182313300705,20.94130913350523,3.137786873657778,21.02417514356306,2.469082610188433
2023 Q2,3.0347311516685624,21.951770891538366,3.401889040736228,22.96097373789055,2.721726661325829
2023 Q3,3.272685656,22.964306151163655,3.574191637325722,21.969247547815083,2.6281498037578848
