prod,prodname,NPM,pricepercal,npacks
99,"All",-14,.26097652,5026
99,"All",-13,.33195682,107352
99,"All",-12,.5415021,127585
99,"All",-11,.53415948,171661
99,"All",-10,.81270134,172930
99,"All",-9,1.2338555,456247
99,"All",-8,1.4507385,648704
99,"All",-7,1.3814774,1155286
99,"All",-6,1.3361798,2304045
99,"All",-5,.91951195,2428442
99,"All",-4,.60746153,1445852
99,"All",-3,.57825219,1065838
99,"All",-2,.68488561,1694186
99,"All",-1,.44410083,2118239
99,"All",0,1.0928069,4497587
99,"All",1,.57227397,2296090
99,"All",2,.54082395,1903588
99,"All",3,.58133909,1386604
99,"All",4,.5257952,654394
99,"All",5,.43254768,537824
99,"All",6,.35009153,452136
99,"All",7,.31628268,383190
99,"All",8,1.1195019,525760
99,"All",9,.34253278,655359
99,"All",10,.29113337,840324
99,"All",11,.37366208,1075652
99,"All",12,.34698081,1077395
99,"All",13,.34319554,849171
99,"All",14,.25011064,1091043
99,"All",15,.23625082,1014836
99,"All",16,.25220848,630587
99,"All",17,.2329214,531043
99,"All",18,.24102073,499752
99,"All",19,.22153627,568886
99,"All",20,.20760498,465769
99,"All",21,.23227987,720929
99,"All",22,.19832629,687408
99,"All",23,.21009589,497314
99,"All",24,.26116922,626296
99,"All",25,.23602754,818732
99,"All",26,.22169596,488678
99,"All",27,.2197678,146731
99,"All",28,.19301151,22899
99,"All",29,.17508253,4496
99,"All",30,.1949693,5844
99,"All",31,.48256226,491
99,"All",32,.37348807,949
99,"All",33,.39395204,113
99,"All",35,.33457248,2
