prod,prodname,rst4submarket,NPM,pricepercal,npacks
2,"Canned or dried fruit","Pears",-5,.84340279,4060
2,"Canned or dried fruit","Pears",-4,.70018871,3280
2,"Canned or dried fruit","Pears",-3,.7143869,1018
2,"Canned or dried fruit","Pears",-2,.61707188,124
2,"Canned or dried fruit","Pineapple",-5,.88745904,178
2,"Canned or dried fruit","Pineapple",-3,1.2190847,350
2,"Canned or dried fruit","Pineapple",-2,.57713342,195
2,"Canned or dried fruit","Pineapples",-5,.84452515,4947
2,"Canned or dried fruit","Pineapples",-4,.7010084,4752
2,"Canned or dried fruit","Pineapples",-3,.69469364,18809
2,"Canned or dried fruit","Pineapples",-2,.64410955,4244
2,"Canned or dried fruit","Snacking Fruit+Nuts",-3,.23950899,42
2,"Canned or dried fruit","Snacking Fruits",-10,.42904416,3808
2,"Canned or dried fruit","Snacking Fruits",-6,.11874624,86
2,"Canned or dried fruit","Snacking Fruits",-5,.29480117,197
2,"Canned or dried fruit","Snacking Fruits",-4,.45982395,2370
2,"Canned or dried fruit","Snacking Fruits",-3,.39838991,479
2,"Canned or dried fruit","Snacking Fruits",-2,.40628554,9187
2,"Canned or dried fruit","Snacking Fruits",-1,.44445042,4396
2,"Canned or dried fruit","Snacking Fruits",0,.36428525,3455
2,"Canned or dried fruit","Snacking Fruits",1,.53139999,15502
2,"Canned or dried fruit","Snacking Fruits",2,.39117923,21044
2,"Canned or dried fruit","Snacking Fruits",3,.45870504,5080
2,"Canned or dried fruit","Snacking Fruits",4,.44801317,4076
2,"Canned or dried fruit","Snacking Fruits",5,.48805905,4176
2,"Canned or dried fruit","Snacking Fruits",6,.46196583,1222
2,"Canned or dried fruit","Snacking Fruits",7,.37203793,3500
2,"Canned or dried fruit","Snacking Fruits",8,.32952718,3122
2,"Canned or dried fruit","Snacking Fruits",9,.66656427,1150
2,"Canned or dried fruit","Snacking Fruits",10,.19311194,1487
2,"Canned or dried fruit","Snacking Fruits",11,.33364973,144
2,"Canned or dried fruit","Snacking Fruits",12,.20455557,83
2,"Canned or dried fruit","Snacking Fruits",13,.16673693,579
2,"Canned or dried fruit","Snacking Fruits",14,.17945977,3676
2,"Canned or dried fruit","Snacking Fruits",15,.11389887,138
2,"Canned or dried fruit","Snacking Fruits",16,.33012828,3122
2,"Canned or dried fruit","Snacking Fruits",17,.15560039,673
2,"Canned or dried fruit","Snacking Fruits",18,.24395391,340
2,"Canned or dried fruit","Snacking Fruits",19,.34340731,194
2,"Canned or dried fruit","Snacking Fruits",20,.20554058,1408
3,"Fresh vegetables","Artichokes",-10,.93827159,1
3,"Fresh vegetables","Artichokes",-9,3.5887094,460
3,"Fresh vegetables","Artichokes",-4,.34621849,21
3,"Fresh vegetables","Asparagus",-9,2.5957676,8066
3,"Fresh vegetables","Asparagus",-8,3.1569637,14419
3,"Fresh vegetables","Asparagus",-7,3.896321,16522
3,"Fresh vegetables","Aubergines",-9,2.4733672,444
3,"Fresh vegetables","Aubergines",-7,1.8080919,21007
3,"Fresh vegetables","Baking Potatoes",-9,.09356467,22239
3,"Fresh vegetables","Baking Potatoes",-8,.13587811,41342
3,"Fresh vegetables","Baking Potatoes",-7,.10487092,70024
3,"Fresh vegetables","Baking Potatoes",-6,.15271317,35194
3,"Fresh vegetables","Baking Potatoes",-5,.25940553,872
3,"Fresh vegetables","Basil",-10,6.5624282,259
3,"Fresh vegetables","Basil",-8,3.9663417,298
3,"Fresh vegetables","Basil",-7,3.4138568,1825
3,"Fresh vegetables","Basil",-6,1.7761833,5719
3,"Fresh vegetables","Basil",-4,2.1092808,1344
3,"Fresh vegetables","Basil",-1,.70994998,56
3,"Fresh vegetables","Bean Sprouts",-10,.4698156,106
3,"Fresh vegetables","Bean Sprouts",-7,.49687827,540
3,"Fresh vegetables","Beans",-13,.62300744,11849
3,"Fresh vegetables","Beans",-11,.7970629,2605
3,"Fresh vegetables","Beans",-10,1.132016,16753
3,"Fresh vegetables","Beans",-9,1.6165852,22322
3,"Fresh vegetables","Beans",-8,2.2973518,35152
3,"Fresh vegetables","Beans",-7,1.8365568,6143
3,"Fresh vegetables","Beans",-6,1.4551306,2518
3,"Fresh vegetables","Beetroot",-8,1.160417,246
3,"Fresh vegetables","Beetroot",-7,.96521046,24
3,"Fresh vegetables","Beetroot",-6,.77758682,22637
3,"Fresh vegetables","Beetroot",-5,.52522234,9122
3,"Fresh vegetables","Beetroot",-4,.61794922,6842
3,"Fresh vegetables","Beetroot",-1,.37335006,417
3,"Fresh vegetables","Black",2,.19063328,1483
3,"Fresh vegetables","Black",3,.23163079,403
3,"Fresh vegetables","Black",4,.4044496,120
3,"Fresh vegetables","Black",5,.30909366,101
3,"Fresh vegetables","Black",6,.29820517,383
3,"Fresh vegetables","Black",7,.43081919,78
3,"Fresh vegetables","Black",8,.4405853,366
3,"Fresh vegetables","Black",9,.67597653,197
3,"Fresh vegetables","Black",10,.33845079,48
3,"Fresh vegetables","Broccoli",-10,.99472976,11184
3,"Fresh vegetables","Broccoli",-9,1.3858663,130025
3,"Fresh vegetables","Broccoli",-8,1.2690825,44117
3,"Fresh vegetables","Broccoli",-7,.40340907,1
3,"Fresh vegetables","Broccoli",-5,.08253709,21409
3,"Fresh vegetables","Broccoli",-4,.08499974,15812
3,"Fresh vegetables","Brussel Sprouts",-11,.52218542,28968
3,"Fresh vegetables","Brussel Sprouts",-10,.57226183,947
3,"Fresh vegetables","Brussel Sprouts",-9,.57185248,14013
3,"Fresh vegetables","Brussel Sprouts",-7,.84772693,3750
3,"Fresh vegetables","Cabbage",-9,.49854152,6764
3,"Fresh vegetables","Cabbage",-8,.64098277,63300
3,"Fresh vegetables","Cabbage",-7,.65591952,11191
3,"Fresh vegetables","Cabbage",-6,.51842438,2534
3,"Fresh vegetables","Carrots",-8,.73834386,1024
3,"Fresh vegetables","Carrots",-7,.37764957,328
3,"Fresh vegetables","Carrots",-6,.49384307,339250
3,"Fresh vegetables","Cauliflower",-9,.57958187,16331
3,"Fresh vegetables","Cauliflower",-8,.37785095,67421
3,"Fresh vegetables","Cauliflower",-7,.73759877,6430
3,"Fresh vegetables","Celeriac",-9,.47689227,535
3,"Fresh vegetables","Celeriac",-8,1.1080769,881
3,"Fresh vegetables","Celeriac",-6,.79011447,294
3,"Fresh vegetables","Celery",-9,1.0436915,1420
3,"Fresh vegetables","Celery",-6,2.100945,66809
3,"Fresh vegetables","Celery",-5,1.8754145,8613
3,"Fresh vegetables","Chicory",-9,4.6471963,276
3,"Fresh vegetables","Chicory",-5,3.6386592,765
3,"Fresh vegetables","Chillies",-9,4.3713782,1002
3,"Fresh vegetables","Chillies",-7,4.3375435,9060
3,"Fresh vegetables","Chillies",-6,4.4388524,11431
3,"Fresh vegetables","Chinese Leaves",-9,8.7441525,3
3,"Fresh vegetables","Chinese Leaves",-7,3.6344007,5
3,"Fresh vegetables","Chinese Leaves",-6,1.9950838,2051
3,"Fresh vegetables","Chinese Leaves",-5,1.6344509,464
3,"Fresh vegetables","Chives",-10,1.0846128,141
3,"Fresh vegetables","Chives",-9,3.674066,1536
3,"Fresh vegetables","Chives",-8,6.4941809,580
3,"Fresh vegetables","Chopped",-7,.41646878,596
3,"Fresh vegetables","Chopped",-6,.62375083,56272
3,"Fresh vegetables","Chopped",-5,.50081361,181230
3,"Fresh vegetables","Chopped",-4,.59237164,3003
3,"Fresh vegetables","Chopped",-3,.37803131,374
3,"Fresh vegetables","Chopped",-2,.31508257,816
3,"Fresh vegetables","Coriander",-9,1.2894528,211
3,"Fresh vegetables","Coriander",-8,3.4006285,8628
3,"Fresh vegetables","Coriander",-7,3.9535651,3445
3,"Fresh vegetables","Coriander",-6,4.6950008,1750
3,"Fresh vegetables","Courgettes",-10,1.06343,2844
3,"Fresh vegetables","Courgettes",-7,1.5590919,11538
3,"Fresh vegetables","Courgettes",-6,1.858592,42398
3,"Fresh vegetables","Courgettes",-5,1.5999658,147
3,"Fresh vegetables","Cucumber",-7,.90608256,10283
3,"Fresh vegetables","Cucumber",-5,1.918056,319673
3,"Fresh vegetables","Dill",-9,3.9651252,722
3,"Fresh vegetables","Dill",-8,5.11472,1112
3,"Fresh vegetables","Dry Pulses+Cereal",-14,.26209552,2910
3,"Fresh vegetables","Dry Pulses+Cereal",-13,.16966081,2056
3,"Fresh vegetables","Dry Pulses+Cereal",-12,.06024732,250
3,"Fresh vegetables","Dry Pulses+Cereal",-11,.06424584,1352
3,"Fresh vegetables","Dry Pulses+Cereal",-10,.08529644,444
3,"Fresh vegetables","Dry Pulses+Cereal",-9,.07825532,5531
3,"Fresh vegetables","Dry Pulses+Cereal",-8,.37718858,1017
3,"Fresh vegetables","Dry Pulses+Cereal",-7,.40859374,1493
3,"Fresh vegetables","Dry Pulses+Cereal",-1,.06429934,141
3,"Fresh vegetables","Dry Pulses+Cereal",9,.0365942,1
3,"Fresh vegetables","Fennel",-7,3.5220887,1862
3,"Fresh vegetables","Fenugreek",-6,.21299254,33
3,"Fresh vegetables","Garlic",-12,.86429972,31597
3,"Fresh vegetables","Garlic",-11,.83742053,2046
3,"Fresh vegetables","Garlic",-9,1.7069743,95
3,"Fresh vegetables","Garlic",-8,.80917646,13820
3,"Fresh vegetables","Ginger",-10,1.2922788,702
3,"Fresh vegetables","Ginger",-8,.79614051,3160
3,"Fresh vegetables","Ginger",-7,1.3225007,2740
3,"Fresh vegetables","Ginger",-6,1.3348141,339
3,"Fresh vegetables","Ginger",-5,2.9687499,1
3,"Fresh vegetables","Ginger",6,.18733628,2974
3,"Fresh vegetables","Green",-6,.31152075,18
3,"Fresh vegetables","Green",0,1.9706498,3
3,"Fresh vegetables","Green",2,.76978194,57
3,"Fresh vegetables","Green",3,.64700955,181
3,"Fresh vegetables","Green",4,.48273197,757
3,"Fresh vegetables","Green",5,.59491056,1188
3,"Fresh vegetables","Green",6,.54192124,4787
3,"Fresh vegetables","Green",7,.50049278,1757
3,"Fresh vegetables","Green",8,.48806001,354
3,"Fresh vegetables","Green",9,.43640217,96
3,"Fresh vegetables","Green",10,.61905083,145
3,"Fresh vegetables","Herb Selection",-9,1.9127662,25
