,cohort,"% Full-time, permanent",% Different job,% Large firm,% Professional job,% On-the-job training,dt
0,2004.0,64.22991752624512,76.59921646118164,22.04854488372803,12.09173947572708,40.49414694309235,2004-01-01
1,2005.0,63.07195425033569,73.84438514709473,22.03296273946762,13.813076913356781,39.35790061950684,2005-01-01
2,2006.0,62.292420864105225,75.07255673408508,21.66264206171036,13.87132853269577,38.73310685157776,2006-01-01
3,2007.0,64.41136002540588,75.41449069976807,21.5405598282814,14.50993418693542,39.95238840579987,2007-01-01
4,2008.0,58.032721281051636,67.23268628120422,23.55627864599228,13.693448901176449,36.23383939266205,2008-01-01
5,2009.0,51.988786458969116,65.29682278633118,21.14505171775818,14.044766128063198,35.55943369865417,2009-01-01
6,2010.0,52.592551708221436,69.74382996559143,19.7796106338501,14.83640968799591,35.260340571403496,2010-01-01
7,2011.0,54.24009561538696,69.55364346504211,19.88806575536728,13.62397968769073,36.20535135269165,2011-01-01
8,2012.0,55.2200973033905,69.63173151016235,21.11138552427292,12.790866196155552,37.09228932857513,2012-01-01
9,2013.0,57.515549659729004,70.70916295051575,22.45361357927322,15.989439189434048,36.60283088684082,2013-01-01
10,2014.0,60.015249252319336,71.6801404953003,24.419425427913673,16.27865880727768,38.704386353492744,2014-01-01
11,2015.0,61.87446713447571,71.80449366569519,22.669753432273858,15.341424942016598,36.11674904823303,2015-01-01
12,2016.0,60.049909353256226,70.1939046382904,21.61257266998291,16.76643490791321,33.978965878486626,2016-01-01
13,2017.0,59.421950578689575,69.98637318611145,22.69935607910156,13.993534445762629,31.239336729049683,2017-01-01
14,2018.0,59.073543548583984,69.58798170089722,23.232817649841312,18.062762916088097,31.590446829795837,2018-01-01
15,2019.0,59.801048040390015,65.39342403411865,23.07842671871185,17.73403137922287,32.59018361568451,2019-01-01
16,2020.0,58.07963013648987,61.36578321456909,25.95345973968506,20.68958878517151,29.5433908700943,2020-01-01
17,2021.0,59.177446365356445,69.83277201652527,25.487560033798218,18.8950315117836,33.79498422145844,2021-01-01
