,cohort,3-6 months,9-12 months,1-2 years,dt
0,2004.0,68.12692880630493,3.258770704269409,5.497199296951294,2004-01-01
1,2005.0,65.41310548782349,2.5390982627868652,7.9673707485198975,2005-01-01
2,2006.0,65.18144607543945,2.768296003341675,7.958483695983887,2006-01-01
3,2007.0,66.97441935539246,4.280465841293335,1.5326142311096191,2007-01-01
4,2008.0,66.01502299308777,-1.1683166027069092,4.167157411575317,2008-01-01
5,2009.0,60.04385948181152,2.7527809143066406,6.6957056522369385,2009-01-01
6,2010.0,59.608930349349976,5.219036340713501,3.8381457328796387,2010-01-01
7,2011.0,55.99818825721741,7.589828968048096,8.87221097946167,2011-01-01
8,2012.0,64.59883451461792,0.7174849510192871,10.67379117012024,2012-01-01
9,2013.0,62.999582290649414,7.332801818847656,6.430375576019287,2013-01-01
10,2014.0,68.96089911460876,0.49027204513549805,9.316378831863403,2014-01-01
11,2015.0,72.5459098815918,0.3696620464324951,6.2636494636535645,2015-01-01
12,2016.0,67.39223599433899,2.087646722793579,7.199972867965698,2016-01-01
13,2017.0,67.75703430175781,4.0965735912323,7.290130853652954,2017-01-01
14,2018.0,65.36568999290466,3.3698737621307373,7.810723781585693,2018-01-01
15,2019.0,67.56951808929443,2.061140537261963,8.863800764083862,2019-01-01
16,2020.0,58.10251832008362,10.211831331253052,9.523087739944458,2020-01-01
17,2021.0,67.07071661949158,7.17354416847229,,2021-01-01
