,Country,Measure,2007,2009,2017
0,AUS,GDP_share,12.19913480952,13.70413407203,14.756420907357
1,AUS,perc_total,35.185085376908,35.716300095941,40.19547052094
2,AUT,GDP_share,12.392883856448,13.831875419597,13.248242757614
3,AUT,perc_total,25.166224585771,25.546082523525,26.941204295055
4,BEL,GDP_share,12.359807085615,14.287643453157,14.122860047658
5,BEL,perc_total,25.616716660564,26.38523181841,27.091222782764
6,BRA ,GDP_share,15.071296052045,16.007490467909,16.448719963684
7,BRA ,perc_total,24.340755172232,26.119665044599,24.701716366428
8,CAN,GDP_share,12.741132130963,14.709985273659,13.254958655303
9,CAN,perc_total,32.3844660507,33.217312326921,32.310557252847
10,CHE,GDP_share,7.7458219035208,8.5377496681642,9.0975163346093
11,CHE,perc_total,25.210077766824,25.712618411945,26.638544329405
12,COL,GDP_share,0.0,0.0,11.049952510014
13,COL,perc_total,0.0,0.0,25.297053350185
14,CRI,GDP_share,4.7219756889336,6.3959181398316,6.9358228182051
15,CRI,perc_total,15.293161955044,18.222235611998,15.79362739347
16,CZE,GDP_share,14.359119787236,16.53502218217,12.27666378656
17,CZE,perc_total,35.564985252393,37.409719939697,31.523948872713
18,DEU,GDP_share,12.922374792598,14.962402653357,15.497324049382
19,DEU,perc_total,30.180215760818,31.449336527388,35.274777249401
20,DNK,GDP_share,12.599742932809,14.480504812899,13.609452785429
21,DNK,perc_total,25.407100396837,25.612754663961,26.602916760153
22,ESP,GDP_share,12.069962537252,13.703139422382,9.5900006773447
23,ESP,perc_total,30.926737677596,29.931862624038,23.393415124883
24,EST,GDP_share,13.111830030157,15.016403168921,13.904656217792
25,EST,perc_total,38.463760788704,32.607260726073,35.407658216246
26,FIN,GDP_share,14.402628306822,17.298885813875,17.811266146178
27,FIN,perc_total,30.777776505217,31.591477685417,32.869011902014
28,FRA,GDP_share,14.090482960399,15.287008720207,14.485466446917
29,FRA,perc_total,26.805561271786,26.74805570791,25.654950373004
30,GBR,GDP_share,12.858479268114,15.45803997234,13.000303957448
31,GBR,perc_total,31.436868843073,32.675756138143,31.727195981144
32,GRC,GDP_share,14.19972832914,15.506820857275,11.721940938612
33,GRC,perc_total,30.167628369002,28.674856368817,24.762340143709
34,HUN,GDP_share,13.348658231586,13.849161183267,14.165949652348
35,HUN,perc_total,26.768251739154,27.45800588208,30.185401040461
36,IDN,GDP_share,0.0,0.0,7.5339226073607
37,IDN,perc_total,0.0,0.0,33.979084795599
38,IRL,GDP_share,11.683053020197,12.349384010513,7.2382135580068
39,IRL,perc_total,32.506638760428,26.249221509237,27.517465080826
40,ISL,GDP_share,15.095761416445,15.720812373092,13.955330231628
41,ISL,perc_total,37.190894437648,33.174132830978,32.242879548209
42,ISR,GDP_share,14.542554784072,14.18334042747,14.837130870127
43,ISR,perc_total,34.521968637588,33.143614193814,37.549911420657
44,ITA,GDP_share,10.411786940804,11.787561695015,10.44986298626
45,ITA,perc_total,22.251625555849,23.041255882912,21.364666615378
46,JPN,GDP_share,13.68495670959,15.363502832476,16.133639099805
47,JPN,perc_total,39.103274115181,37.754760354452,41.645870880185
48,KOR,GDP_share,12.31277638183,14.573722605682,13.012927369042
49,KOR,perc_total,41.492521403757,41.777155747353,40.107771975688
50,LTU,GDP_share,12.099318879163,12.062530359168,9.3671291251273
51,LTU,perc_total,34.318677917389,26.872303725117,28.308514597814
52,LUX,GDP_share,11.153915889485,13.451239877461,12.538025518805
53,LUX,perc_total,29.503333167327,29.796615246368,29.175820777071
54,LVA,GDP_share,12.060456941132,11.997231788035,11.467146000807
55,LVA,perc_total,35.482761943706,26.922485526603,30.331720166026
56,MEX,GDP_share,4.4569771944313,5.9878668212257,4.9274777367717
57,MEX,perc_total,20.641702422118,23.510510729314,18.707010504564
58,NLD,GDP_share,19.288886735468,21.566892110325,19.468338561396
59,NLD,perc_total,45.559658505695,45.324413680837,45.804989385983
60,NOR,GDP_share,11.192262442015,13.084701451712,14.60008794231
61,NOR,perc_total,27.018759818871,28.408172523511,29.232456472541
62,NZL,GDP_share,14.225793969365,15.459251689824,14.736737675711
63,NZL,perc_total,37.134825812706,37.020205741592,37.970948348246
64,OECD,GDP_share,11.794583030210305,13.282469773947781,11.774745271621008
65,OECD,perc_total,30.23670870658267,29.939944204454992,29.142304397622908
66,POL,GDP_share,12.424838224831,12.997810827513,11.201750955354
67,POL,perc_total,28.755614884682,28.856853941674,27.16903745591
68,PRT,GDP_share,10.674025011678,12.648088304587,9.0517575441144
69,PRT,perc_total,23.993799508394,25.183619524833,19.820899505149
70,SVK,GDP_share,12.68954384125,15.105416468607,13.84490158581
71,SVK,perc_total,34.919690712246,34.26479300004,34.443437799611
72,SVN,GDP_share,11.965035453773,13.707355607193,11.314531876776
73,SVN,perc_total,28.360761192198,28.428613782295,26.207287735519
74,SWE,GDP_share,14.455178957298,16.319031934603,16.205570283957
75,SWE,perc_total,29.333604643085,30.965561286247,32.775361918749
76,TUR,GDP_share,0.0,12.443886619415,11.966065889301
77,TUR,perc_total,0.0,32.757326238129,35.018234895202
78,USA,GDP_share,10.672396494292,11.778784065148,9.2860010939476
79,USA,perc_total,28.5162070903,27.226295232255,24.468484275861
80,ZAF,GDP_share,11.357135475577,11.893995917337,11.740173712597
81,ZAF,perc_total,0.0,0.0,0.0
