,d,year,gdpt,gdps,govt,govs,side,gdpci,govci
0,,1994,78.64773937720474,79.59852958761537,13.971999287605286,14.61501912493259,right,,
1,,1995,84.30346781360258,84.44800977704809,13.359026610851288,13.695638086460532,right,,
2,,1996,90.20919636986821,90.31073802607878,12.853270769119263,12.69843233060092,right,,
3,,1997,97.00087022715695,97.04767567241154,13.211439549922943,13.065418145991858,right,,
4,,1998,100.0,100.0,14.585664868354797,14.451183610595763,right,,
5,,1999,96.73683428764343,104.24468157568576,16.309809684753418,14.442995552159848,right,,
6,,2000,103.44383572886976,108.47416843180423,17.55470633506775,14.563537133578208,right,,
7,,2001,97.49580580254546,113.75179769880452,19.402146339416504,14.614536538347602,right,,
8,,2002,103.78205916770308,117.72204249491986,20.29404491186142,14.821035301499071,right,,
9,,2003,109.76323253899746,121.89445340111159,18.829084932804108,14.614777036476879,right,,
10,,2004,120.51556500444987,128.79272355014893,18.049603700637817,15.798609312158076,right,,
11,-5.0,t-5,95.07146804759044,94.72193022302004,17.88412481546402,17.398998141288757,left,4.440720558166504,4.037151113152504
12,-4.0,t-4,96.11997593531007,95.81819171950434,18.541240692138672,17.432023584842682,left,2.7893054485321045,4.808067157864571
13,-3.0,t-3,97.80173130402095,97.17338355241486,18.17477196455002,17.719121277332306,left,2.2212510108947754,4.22850102186203
14,-2.0,t-2,100.05757623007356,99.52309688171363,18.24790984392166,18.155373632907867,left,1.5015817880630493,3.5781987011432648
15,-1.0,t-1,100.0,100.0,18.88354867696762,18.94838511943817,left,0.0,3.407236561179161
16,0.0,Earthquake,101.34580540657043,102.70462965965271,18.557146191596985,18.53574812412262,left,1.3151733875274658,2.90476493537426
17,1.0,t+1,103.21375508140545,104.4266554084189,19.783790409564972,18.47391426563263,left,1.76748526096344,3.236587718129158
18,2.0,t+2,105.07831361532735,106.74395943206831,19.3245530128479,18.102408945560455,left,2.56559681892395,2.8693808242678642
19,3.0,t+3,106.36357213447495,108.60172183940233,19.04856413602829,17.608587443828583,left,2.572103977203369,2.8306594118475914
20,4.0,t+4,110.659167267167,110.85987373709321,18.954791128635406,17.597121000289917,left,3.0686607360839844,2.839105948805809
21,5.0,t+5,112.91780966006063,112.45346076627098,18.447968363761902,17.589877545833588,left,3.4023427963256836,2.5972463190555573
