,months,baseline,liquidate,x50,debt,developing
0,0.0,0.0641682849094383,0.0451011819385659,0.0,0.0621247870951376,developed
1,0.1,0.0978631872665188,0.0709228915606471,0.0,0.0903899477474728,developed
2,0.2,0.119375184920263,0.0871964750642568,0.0,0.108352134583649,developed
3,0.3,0.13875107595701,0.102223557357499,0.0,0.123902095935331,developed
4,0.4,0.157680748844495,0.116634011749291,0.0,0.139727981759575,developed
5,0.5,0.175403678542964,0.130170444969427,0.0,0.15391615162682,developed
6,0.6,0.192029250737095,0.141422083007373,0.0,0.167133269609678,developed
7,0.7,0.207923891760688,0.153094935588222,0.0,0.180372782500339,developed
8,0.8,0.223319426659597,0.164898930890744,0.0,0.193823169701156,developed
9,0.9,0.236472495516392,0.174383511786665,0.0,0.204320023312441,developed
10,1.0,0.248303002515787,0.183746513800664,0.0,0.21475069940914,developed
11,1.1,0.260737134851312,0.192069626603383,0.0,0.225400778578783,developed
12,1.2,0.271519971336822,0.201216686023323,0.0,0.235671494039698,developed
13,1.3,0.28154183176327,0.208536895750286,0.0,0.244116071586148,developed
14,1.4,0.290553210111773,0.214347349813857,0.0,0.251794211434822,developed
15,1.5,0.299414248988798,0.22185260330554,0.0,0.259396824657231,developed
16,1.6,0.309346470438342,0.228798537792535,0.0,0.267554537352336,developed
17,1.7,0.318251769050017,0.234557232572529,0.0,0.274685857406914,developed
18,1.8,0.324835469178415,0.239691742203013,0.0,0.281011380670338,developed
19,1.9,0.333527152066522,0.246194080962798,0.0,0.287554166657227,developed
20,2.0,0.343458806108178,0.253531343698113,0.0,0.295226493023481,developed
21,2.1,0.350733218667918,0.258854495868497,0.0,0.301834207716414,developed
22,2.2,0.358135359035523,0.263419237895878,0.0,0.308001587047971,developed
23,2.3,0.365448066640317,0.268979116650125,0.0,0.314423423777152,developed
24,2.4,0.372926340699297,0.274190780558143,0.0,0.320736348758026,developed
25,2.5,0.380144841716687,0.279057591416038,0.0,0.326420503314344,developed
26,2.6,0.387208541124947,0.283818606640573,0.0,0.332040863508145,developed
27,2.7,0.394387725312177,0.288744905931158,0.0,0.33666857114443,developed
28,2.8,0.400393705775324,0.293273375921396,0.0,0.341978472809615,developed
29,2.9,0.407528863170574,0.298483629517463,0.0,0.347395109724929,developed
30,3.0,0.412735617625192,0.302339562668622,0.0,0.352956546890382,developed
31,3.1,0.418583543818657,0.306760883768403,0.0,0.357715861908807,developed
32,3.2,0.423970768715419,0.311720868516573,0.0,0.362508677408906,developed
33,3.3,0.429657452289616,0.315271723273977,0.0,0.367879885008329,developed
34,3.4,0.436410996183613,0.32029516310958,0.0,0.373332528094391,developed
35,3.5,0.441392567994001,0.323658404288188,0.0,0.377653210857104,developed
36,3.6,0.447191102421915,0.327851685549366,0.0,0.382395947567373,developed
37,3.7,0.451791413959776,0.331169162307559,0.0,0.386809341694118,developed
38,3.8,0.456300423406015,0.334752787882768,0.0,0.391266429108549,developed
39,3.9,0.460789596964315,0.337635461956891,0.0,0.395137446044244,developed
40,4.0,0.467047293320236,0.34148252122252,0.0,0.40072860656577,developed
41,4.1,0.471542591579594,0.345379196267072,0.0,0.404919853330783,developed
42,4.2,0.475844266074696,0.348509366253557,0.0,0.408996537982304,developed
43,4.3,0.479975722233,0.35230715547264,0.0,0.412551384619201,developed
44,4.4,0.485228034919579,0.355772169763863,0.0,0.417082165865461,developed
45,4.5,0.489854724183167,0.35872448799088,0.0,0.421046043726429,developed
46,4.6,0.493920033060508,0.361806507987986,0.0,0.424624711192344,developed
47,4.7,0.498674452859946,0.365247591921707,0.0,0.429187000559153,developed
48,4.8,0.504276271357388,0.36889262141261,0.0,0.433580769389575,developed
49,4.9,0.508355627245492,0.371609708437689,0.0,0.437368589258274,developed
50,5.0,0.51309369204422,0.375536248624075,0.0,0.442315444825859,developed
51,5.1,0.516429080567458,0.378112378242694,0.0,0.444968144233778,developed
52,5.2,0.519717225964456,0.380685901552735,0.0,0.447910089573873,developed
53,5.3,0.523410125429741,0.383771196683994,0.0,0.451312018517976,developed
54,5.4,0.52730474010785,0.387443197373114,0.0,0.454603426521847,developed
55,5.5,0.530131635129912,0.389981227134633,0.0,0.457718324456169,developed
56,5.6,0.534111945166101,0.392970694695409,0.0,0.46145255270501,developed
57,5.7,0.53822445140093,0.395278674627597,0.0,0.465048206333806,developed
