"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","CO2 emissions (kg per 2010 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","0.183049755962773","0.39262809624944","0.452976027246217","0.428164650831758","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","CO2 emissions (kg per 2010 US$ of GDP)","EN.ATM.CO2E.KD.GD","0.76757038543657","0.792890000635846","0.763737491590759","0.748869408858294","0.771670361482695","0.788800539016629","0.768389804335337","0.758978344739673","0.768962537359919","0.768642624021257","0.766317795338493","0.814174474556473","0.812610060315033","0.797395167510177","0.76355134677625","0.77177795623426","0.781543496982829","0.79338997173404","0.794803824647358","0.825640727569461","0.816859240289439","0.862142772413355","0.91787133710679","0.959814943799886","0.985407667276736","1.01172984645265","1.02191279707576","0.993841050933236","0.993902972104409","0.961436481737695","0.741432715657546","0.728735915069776","0.734812756380562","0.755120687663602","0.754405167287055","0.765375735729469","0.74917285806222","0.759416698218645","0.765129543314198","0.716341496784586","0.70458871778106","0.754935120015706","0.747246132077284","0.76949417682226","0.784247883403988","0.740025135330248","0.70486310548947","0.690638376083696","0.703151141104773","0.672506430119825","0.676640986951361","0.639558491275575","0.646926849327276","0.642690084627279","0.640138520857088","0.606908776496302","0.600983433429021","0.593334592171917","0.578571519403178","","",
"Afghanistan","AFG","CO2 emissions (kg per 2010 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.147352057488406","0.166165006464697","0.137146846454919","0.178949465986877","0.200920028272025","0.214729053608424","0.384346881546917","0.432738255542059","0.546776346521344","0.769898356004326","0.582014564340455","0.448828205757597","0.400984325097455","0.404357462143982","0.365726136719997","0.355812865493614","0.35448995871661","","",
"Africa Western and Central","AFW","CO2 emissions (kg per 2010 US$ of GDP)","EN.ATM.CO2E.KD.GD","0.0863268371460795","0.0906759695234624","0.0904513102622336","0.100425481092203","0.115657803396056","0.157393370603694","0.171743895037468","0.189500864810873","0.145389995574699","0.181460415706479","0.236504314654214","0.283693039662119","0.330389237293511","0.380877433450779","0.417357126647191","0.352893472826392","0.356434272805129","0.329419358416724","0.342119715642806","0.426097315714841","0.419120434132765","0.439720113709168","0.46248473325195","0.455889390843927","0.501046883382692","0.489963349650449","0.463253308124083","0.410660536344878","0.453100620282977","0.352147834936337","0.361495896316464","0.39541890487554","0.430230816576596","0.44889795322135","0.438733778711225","0.43682635072575","0.446612890032392","0.425062261693153","0.398275627297898","0.396359073487994","0.387438185776419","0.399209744111163","0.373529696584581","0.362140694295847","0.34419357020241","0.35832860227611","0.335092845096284","0.317648375847997","0.307464537499556","0.26751595763827","0.285668850935982","0.293915658612716","0.283357699223353","0.28284508124731","0.27623323080247","0.261589242047083","0.26438573999585","0.267778524196621","0.289399138145331","","",
"Angola","AGO","CO2 emissions (kg per 2010 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","0.20071573468382","0.207361679057714","0.182593478503599","0.192784667786504","0.178091466030465","0.161487937259677","0.15559019691129","0.186535334480443","0.155039378157671","0.151319285008446","0.198054423651914","0.202306483230233","0.209585711912824","0.29865032330657","0.285733949594243","0.400365500208338","0.373213999866959","0.357663561294721","0.331151855964769","0.360566209396414","0.34213437763843","0.342657733009937","0.318040203936369","0.408342142248232","0.394188735330441","0.323500460292686","0.323933117934631","0.328128840789187","0.315149338701495","0.338255822908544","0.340455505745684","0.339757137013806","0.321412419776847","0.332257354960586","0.334451752809353","0.33639627991247","0.347760571487506","0.303325269567887","0.274399138229873","","",
"Albania","ALB","CO2 emissions (kg per 2010 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","0.971272472578429","1.30413812173727","1.26109087766455","1.30238323570541","1.35248061740259","1.33815942101057","1.29504374482558","1.20610613392504","1.20419365080176","1.34437384450702","1.00118190557298","0.944669429041119","0.554725034679516","0.467897151820381","0.446636156589747","0.359136220224617","0.332556984864818","0.2804666823565","0.313431822368252","0.458112303999985","0.45718695857847","0.428846439223655","0.477743593813012","0.496168603122239","0.490852640841894","0.441278391424822","0.414645513801137","0.407671693199713","0.374736347848013","0.375632145805926","0.384004984844096","0.412084299403234","0.369239366809091","0.382338572747931","0.409396554362563","0.389001310305423","0.366123381512657","0.400647119773492","0.38222386929274","","",
"Andorra","AND","CO2 emissions (kg per 2010 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.212415312082298","0.207141482636647","0.205234415631429","0.207373440297098","0.202546390670251","0.206726223463228","0.206729036691473","0.197966079055877","0.200000562761488","0.199967044082957","0.196939236616692","0.182149839553816","0.177579321893864","0.163375153248876","0.15963538517354","0.15686917110986","0.141930263905139","0.137218452914345","0.14529571234929","0.147749308783534","0.150726085670039","0.142041812382307","0.14947748578454","0.151812624216961","0.141932448960391","0.142967581147948","0.137853654363617","0.137378226937713","0.132352514857226","","",
"Arab World","ARB","CO2 emissions (kg per 2010 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","0.537770098631558","0.563911627532498","0.551150040214087","0.59820458959743","0.574065928590568","0.587436280030706","0.556516473569894","0.585022033483205","0.670479094469679","0.721972540868091","0.781064154925489","0.825337314818246","0.830814938689805","0.832779231721025","0.826135886616971","0.671468884034576","0.689462680670954","0.679770202092509","0.704083651749629","0.719148973495659","0.720428865208794","0.712581543390784","0.702706587157729","0.671429569484193","0.666921523880877","0.644627894757511","0.672984441541381","0.698353543190889","0.684640582973442","0.660881428654081","0.682913112510939","0.675454952603675","0.675750620977382","0.689716683817632","0.720610461975724","0.726548752568748","0.714122071714578","0.717236878426169","0.706660363435084","0.720096646653012","0.713790621368078","0.697117559778303","0.697211489995226","0.681961702289133","","",
"United Arab Emirates","ARE","CO2 emissions (kg per 2010 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","0.546951419998301","0.599006754965592","0.482490379436121","0.566489566538678","0.382679564661245","0.311431078591056","0.297182533535935","0.318716363577544","0.320719354490891","0.404756013564351","0.451803774827121","0.502630712310387","0.490905998004272","0.511239901762543","0.512676324971993","0.440519424917274","0.484854128520419","0.454971695218254","0.468214486285729","0.481281056788647","0.479846552968619","0.473340781997113","0.470056210356508","0.482497986901322","0.480912618521643","0.426465273336499","0.478887223512364","0.476544107202776","0.462147623307161","0.448074973398039","0.451806282930319","0.429665608356353","0.451477500489703","0.518942217368552","0.551091354160133","0.561860297074731","0.536740541951267","0.542767006662551","0.541266851863712","0.518297015571826","0.520478404427492","0.519126335789412","0.529437318047492","0.503238098536168","","",
"Argentina","ARG","CO2 emissions (kg per 2010 US$ of GDP)","EN.ATM.CO2E.KD.GD","0.422371463637194","0.42003745408917","0.444469677050709","0.437811128866769","0.442334423902718","0.42258492205278","0.456262885009893","0.458995234836125","0.461519178353625","0.471022588333512","0.489051169385452","0.497573400473752","0.496302543346902","0.503659565125758","0.484877465638661","0.481777119003316","0.51684812777658","0.488199819782282","0.520611135889054","0.509434070805749","0.492903032831937","0.487870016814264","0.498144320699091","0.485642425825675","0.484081374652584","0.48217187496844","0.470547584120707","0.505326411678889","0.539923495405869","0.560565477646981","0.490068580782377","0.473703511611846","0.447328209215151","0.427572046838664","0.414109455624822","0.426236785612867","0.449163704941668","0.41796002539959","0.42095654654311","0.439044475975023","0.435017023915838","0.430793271064485","0.454813327710456","0.456624486893078","0.4628225560273","0.438585038716035","0.431026492245846","0.416430708736261","0.411248583972892","0.409278101026968","0.396905373050403","0.394734080904889","0.401685178222136","0.40426848781375","0.405470208997898","0.40824840057789","0.412866560137775","0.392484190050953","0.396757279618362","","",
