Group,Liquid financial assets,Illiquid financial assets,Physical assets (incl. real estate),Secured debt (incl. mortgages),Unsecured debt,Net wealth (incl. real estate),Food & Utilities,Rent,Debt repayment,"Utilities, transport, etc.",Other expenses (incl. net savings)
Developed economies,0.072296583,0.223729158,0.703974259,0.102417603,0.011557212,0.886025185,0.11958996,0.044542839,0.084065869,0.12409287,0.627708462
Emerging economies / E. Europe,0.052522942,0.01831301,0.929164048,0.03443752,0.012778675,0.952783805,0.227459565,0.080447654,0.025721041,0.267424016,0.398947724
