"","Months","Containment","Income support","Debt relief"
"1",0.0333333333333333,19.1508333333333,0,0.166666666666667
"2",0.0666666666666667,20.4858333333333,0,0.166666666666667
"3",0.1,22.7025,0.166666666666667,0.166666666666667
"4",0.133333333333333,24.0908333333333,0.333333333333333,0.333333333333333
"5",0.166666666666667,25.9066666666667,0.333333333333333,0.333333333333333
"6",0.2,26.655,0.5,0.5
"7",0.233333333333333,27.0825,0.5,0.5
"8",0.266666666666667,28.3116666666667,0.583333333333333,0.5
"9",0.3,29.2733333333333,0.583333333333333,0.5
"10",0.333333333333333,30.395,0.583333333333333,0.5
"11",0.366666666666667,33.12,0.583333333333333,0.5
"12",0.4,36.6458333333333,0.583333333333333,0.5
"13",0.433333333333333,37.7133333333333,0.583333333333333,0.5
"14",0.466666666666667,41.6658333333333,0.666666666666667,0.5
"15",0.5,42.0933333333333,0.666666666666667,0.583333333333333
"16",0.533333333333333,45.2983333333333,0.833333333333333,0.75
"17",0.566666666666667,45.7791666666667,0.833333333333333,0.75
"18",0.6,46.9008333333333,0.833333333333333,0.75
"19",0.633333333333333,47.9425,1,0.75
"20",0.666666666666667,47.4616666666667,1,0.75
"21",0.7,47.675,1,0.833333333333333
"22",0.733333333333333,49.09,1,0.833333333333333
"23",0.766666666666667,49.3033333333333,1,0.833333333333333
"24",0.8,50.1575,1,0.833333333333333
"25",0.833333333333333,50.1575,1,1
"26",0.866666666666667,50.5325,1.08333333333333,1.08333333333333
"27",0.9,50.8525,1.08333333333333,1.08333333333333
"28",0.933333333333333,51.1733333333333,1.08333333333333,1.08333333333333
"29",0.966666666666667,51.7075,1.08333333333333,1.16666666666667
"30",1,52.7766666666667,1.08333333333333,1.16666666666667
"31",1.03333333333333,52.9908333333333,1.08333333333333,1.16666666666667
"32",1.06666666666667,53.685,1.08333333333333,1.16666666666667
"33",1.1,53.685,1.08333333333333,1.16666666666667
"34",1.13333333333333,53.0441666666667,1.08333333333333,1.16666666666667
"35",1.16666666666667,54.3266666666667,1.08333333333333,1.16666666666667
"36",1.2,55.3958333333333,1.08333333333333,1.16666666666667
"37",1.23333333333333,55.8766666666667,1.08333333333333,1.16666666666667
"38",1.26666666666667,56.5975,1.25,1.33333333333333
"39",1.3,58.975,1.25,1.41666666666667
"40",1.33333333333333,58.9741666666667,1.25,1.41666666666667
"41",1.36666666666667,59.5083333333333,1.25,1.5
"42",1.4,60.15,1.41666666666667,1.5
"43",1.43333333333333,61.9125,1.58333333333333,1.5
"44",1.46666666666667,63.4875,1.58333333333333,1.5
"45",1.5,64.4758333333333,1.58333333333333,1.5
"46",1.53333333333333,65.41,1.58333333333333,1.5
"47",1.56666666666667,65.57,1.58333333333333,1.5
"48",1.6,66.4791666666667,1.58333333333333,1.5
"49",1.63333333333333,66.9866666666667,1.58333333333333,1.5
"50",1.66666666666667,66.7733333333333,1.58333333333333,1.5
"51",1.7,66.7733333333333,1.58333333333333,1.5
"52",1.73333333333333,67.0933333333333,1.58333333333333,1.5
"53",1.76666666666667,67.1466666666667,1.58333333333333,1.5
"54",1.8,66.7733333333333,1.75,1.58333333333333
"55",1.83333333333333,66.9333333333333,1.75,1.58333333333333
"56",1.86666666666667,66.9333333333333,1.75,1.58333333333333
"57",1.9,67.2541666666667,1.75,1.58333333333333
"58",1.93333333333333,67.2541666666667,1.75,1.58333333333333
"59",1.96666666666667,67.7341666666667,1.75,1.66666666666667
"60",2,66.9866666666667,1.75,1.66666666666667
"61",2.03333333333333,66.8266666666667,1.75,1.66666666666667
"62",2.06666666666667,66.025,1.75,1.66666666666667
"63",2.1,66.2391666666667,1.75,1.66666666666667
"64",2.13333333333333,66.32,1.75,1.66666666666667
"65",2.16666666666667,66.32,1.75,1.66666666666667
"66",2.2,66.32,1.75,1.66666666666667
"67",2.23333333333333,66.32,1.75,1.66666666666667
"68",2.26666666666667,66.1066666666667,1.75,1.66666666666667
"69",2.3,66.1066666666667,1.75,1.66666666666667
"70",2.33333333333333,64.9841666666667,1.75,1.66666666666667
"71",2.36666666666667,64.3433333333333,1.75,1.66666666666667
"72",2.4,64.0225,1.75,1.66666666666667
"73",2.43333333333333,64.0225,1.75,1.58333333333333
"74",2.46666666666667,62.0458333333333,1.75,1.58333333333333
"75",2.5,61.5116666666667,1.75,1.58333333333333
"76",2.53333333333333,61.5116666666667,1.75,1.58333333333333
"77",2.56666666666667,61.8325,1.75,1.58333333333333
"78",2.6,61.8325,1.75,1.58333333333333
"79",2.63333333333333,61.8325,1.75,1.58333333333333
"80",2.66666666666667,61.9125,1.75,1.58333333333333
"81",2.7,61.9925,1.75,1.58333333333333
"82",2.73333333333333,61.9925,1.75,1.58333333333333
"83",2.76666666666667,61.9925,1.75,1.58333333333333
"84",2.8,61.9925,1.75,1.58333333333333
"85",2.83333333333333,62.0725,1.75,1.58333333333333
"86",2.86666666666667,62.2866666666667,1.75,1.58333333333333
"87",2.9,62.9816666666667,1.75,1.58333333333333
"88",2.93333333333333,62.5,1.75,1.58333333333333
"89",2.96666666666667,61.5916666666667,1.83333333333333,1.58333333333333
"90",3,61.485,1.83333333333333,1.58333333333333
"91",3.03333333333333,61.325,1.83333333333333,1.58333333333333
"92",3.06666666666667,61.3241666666667,1.83333333333333,1.58333333333333
"93",3.1,61.645,1.83333333333333,1.58333333333333
"94",3.13333333333333,61.2716666666667,1.83333333333333,1.58333333333333
"95",3.16666666666667,60.845,1.83333333333333,1.58333333333333
"96",3.2,60.31,1.83333333333333,1.58333333333333
"97",3.23333333333333,60.31,1.83333333333333,1.58333333333333
