"","Months","Baseline","Liquidating.illiquid.financial.assets","X50..income.support","Debt.relief"
"1",0,0.191677262181735,0.166375565633429,0,0.191077194435862
"2",0.1,0.254963777141416,0.218751625850844,0,0.251037863472351
"3",0.2,0.297858185135099,0.254682674807573,0,0.291788086555445
"4",0.3,0.331345199980042,0.283235197476721,0,0.325402204465038
"5",0.4,0.362155608695986,0.308179870332536,0,0.353085026233802
"6",0.5,0.39157046830665,0.33436174945696,0,0.382141004392322
"7",0.6,0.415202165865414,0.355518320418813,0,0.405266465260411
"8",0.7,0.436526711856634,0.375110304046981,0,0.426511501757804
"9",0.8,0.456570459951815,0.393055442353984,0,0.446515471057358
"10",0.9,0.473114687277755,0.407100694085886,0,0.462293492071536
"11",1,0.489522349159833,0.420109878451522,0,0.478681879496419
"12",1.1,0.502857506555478,0.431901337618343,0,0.492070333658997
"13",1.2,0.517623147565239,0.444927413133519,0,0.505308773655679
"14",1.3,0.528396063011474,0.454727300833894,0,0.516514749598568
"15",1.4,0.540172672209552,0.464995006372287,0,0.527968560477285
"16",1.5,0.55154125219581,0.474462325395292,0,0.539886123681927
"17",1.6,0.562079942832536,0.483503305307853,0,0.54956027202405
"18",1.7,0.572071379679108,0.492253031219601,0,0.559492118003035
"19",1.8,0.581143433210119,0.501351567929322,0,0.568865917428663
"20",1.9,0.589184183933721,0.508261325630207,0,0.577105081142992
"21",2,0.598786218508312,0.51793832741874,0,0.586882438913895
"22",2.1,0.605884314471125,0.525292949409963,0,0.594620024751311
"23",2.2,0.613785438418949,0.531840628243098,0,0.602205677573668
"24",2.3,0.620301321033903,0.538157580364963,0,0.608046548875141
"25",2.4,0.626002865958725,0.544238170291976,0,0.614318158415486
"26",2.5,0.633145923151432,0.55134155297075,0,0.620724711965663
"27",2.6,0.637930624213191,0.556558911018021,0,0.627266215583166
"28",2.7,0.642320244710044,0.560819846106874,0,0.632352315922779
"29",2.8,0.647906895638024,0.566849587650266,0,0.637846724591681
"30",2.9,0.652327293604195,0.570937449201812,0,0.642207889674435
"31",3,0.657231634903503,0.575789656824357,0,0.647850485963982
"32",3.1,0.660776404614887,0.579326334320247,0,0.651494395804268
"33",3.2,0.664876225402474,0.58385004026145,0,0.6555619511604
"34",3.3,0.669498527069734,0.588926160565476,0,0.660636623405026
"35",3.4,0.674833688369726,0.593787621741701,0,0.666195925953841
"36",3.5,0.67875220832137,0.597503686331129,0,0.669559708903412
"37",3.6,0.681726160697425,0.600811969206081,0,0.672623352468468
"38",3.7,0.685473820254321,0.605629468493283,0,0.676500151108987
"39",3.8,0.689416972913604,0.609204614204322,0,0.680088759436112
"40",3.9,0.693291124741822,0.613115253424833,0,0.683606522668768
"41",4,0.697241585713889,0.617688387754335,0,0.687305015202599
"42",4.1,0.700792863671672,0.621277783157183,0,0.691816319779891
"43",4.2,0.705000434499828,0.625670125062253,0,0.696258339598033
"44",4.3,0.707861446593802,0.629288668948634,0,0.699377800006188
"45",4.4,0.711140977389824,0.632618588733308,0,0.702689201716928
"46",4.5,0.713508836345423,0.635314909181203,0,0.705030345988314
"47",4.6,0.716280039591867,0.638649651071215,0,0.707759644226294
"48",4.7,0.718861914997109,0.641608897189517,0,0.710653597352305
"49",4.8,0.722303567481272,0.644544516980412,0,0.714069449226556
"50",4.9,0.724569096357823,0.647048685190209,0,0.716503140278444
"51",5,0.728281020853468,0.650647377700959,0,0.719639713992131
"52",5.1,0.730794164879679,0.653191963343741,0,0.722756517650541
"53",5.2,0.733528401857874,0.656266710189401,0,0.725849967023203
"54",5.3,0.73597925010695,0.659445036141197,0,0.728214316343776
"55",5.4,0.738218089554205,0.662133584416405,0,0.730424991574596
"56",5.5,0.74072098150307,0.664719042671974,0,0.73278393365676
"57",5.6,0.743353486073232,0.666841450542797,0,0.73557399758612
"58",5.7,0.746432418041581,0.669363396268105,0,0.738444600955457
"59",5.8,0.748629088467548,0.67270900747659,0,0.740779632760005
"60",5.9,0.750871107959593,0.675216066307298,0,0.743107577194049
"61",6,0.752709991853763,0.6777078101632,0,0.745046370087194
"62",6.1,0.7550505392865,0.680176591645512,0.00328326031195476,0.7472371150526
"63",6.2,0.756538929937459,0.682385523074943,0.0080541677733814,0.748804986095884
"64",6.3,0.758718471363068,0.685293201417011,0.0117631466124981,0.75109452170426
"65",6.4,0.760896630150088,0.68749258906996,0.0164987050498231,0.753200367004438
"66",6.5,0.7636106577289,0.690227867594309,0.0221591080846668,0.756182881079136
"67",6.6,0.765386887622704,0.692140723178808,0.0282147311702464,0.757828386548489
"68",6.7,0.767318147347991,0.694381922607504,0.033294912269306,0.759795663655881
"69",6.8,0.768526605092379,0.696013523749119,0.0388312642809529,0.760887225476514
"70",6.9,0.770424796412187,0.697948791767057,0.0455153778312695,0.762743275430068
"71",7,0.772122318810845,0.699791272999946,0.0517589468322197,0.764596262834657
"72",7.1,0.773309272446575,0.701249572106596,0.0579461110119439,0.765748559846554
"73",7.2,0.774469964249767,0.702557297115669,0.0651806677885612,0.7674206755047
"74",7.3,0.776166419501292,0.704946598473146,0.0708093912541315,0.76897266369128
"75",7.4,0.777958665745037,0.707032042445446,0.0767655308513126,0.770967094012377
"76",7.5,0.77945107994053,0.709155992359849,0.0838260535523828,0.772506698793682
"77",7.6,0.780344952779809,0.710639555658113,0.0902371185876908,0.773303554970155
"78",7.7,0.781913994215195,0.712061251441667,0.0972745981939814,0.774503901919307
"79",7.8,0.783353737657951,0.714242393694888,0.103448398143184,0.77558090409818
"80",7.9,0.785054443368286,0.71600372932141,0.110108090003365,0.777257702295146
