Default Dataset,,Dataset 1,,Dataset 2,
X,Y,X,Y,X,Y
0.014146772767462679,0.0001789264413518954,0.028293545534925357,0.0024055666003976184,-0.028293545534924913,-0.002842942345924443
0.9619805481874444,-0.004592445328031811,1.0185676392572942,-0.0002982107355864877,0.976127320954908,-0.009363817097415503
2.008841732979664,-0.006023856858846904,1.9239610963748897,-0.0004572564612325969,1.9664014146772768,-0.011908548707753472
3.027409372236958,0.0012922465208747569,2.9991158267020337,0.007017892644135201,2.9991158267020337,-0.00506958250497018
3.8054818744473913,0.009721669980119294,4.031830238726791,0.0179920477137177,4.017683465959329,0.006381709741550695
4.908930150309461,0.02228628230616303,4.908930150309461,0.028011928429423467,5.02210433244916,0.01687872763419484
5.969938107869142,0.04105367793240557,5.941644562334217,0.04662027833001989,5.955791335101681,0.03405566600397615
6.946065428824049,0.047574552683896626,6.9743589743589745,0.054572564612326055,6.917771883289124,0.04025844930417496
8.049513704686118,0.05091451292246522,8.021220159151193,0.058707753479125255,7.9929266136162695,0.042803180914512934
8.9973474801061,0.04980119284294235,9.011494252873563,0.05791252485089464,9.053934571175951,0.04089463220675945
10.298850574712644,0.04264413518886681,10.312997347480106,0.05202783300198808,10.242263483642795,0.03294234592445329
11.006189213085765,0.03866799204771372,11.2183908045977,0.04773359840954275,11.133510167992926,0.0268986083499006
11.98231653404067,0.03135188866799205,11.98231653404067,0.042803180914512934,11.996463306808133,0.01958250497017893
12.958443854995577,0.03135188866799205,13.015030946065428,0.04296222664015906,13.000884173297964,0.020377733598409546
13.962864721485408,0.03500994035785289,13.892130857648096,0.04789264413518887,13.948717948717947,0.021491053677932415
14.995579133510168,0.03246520874751491,15.009725906277628,0.0494831013916501,14.981432360742703,0.015288270377733601
15.999999999999998,0.011153081510934401,15.999999999999998,0.02817097415506959,16.04244031830239,-0.0065009940357852875
