,weekx,week3,hired_week_1624,m_hired_week_1624,min_hired_week_1624,max_hired_week_1624,excess1_hired_week_1624
0,2020-01-01,2020w1,0.7167478203773499,1.4713066816329956,1.2007135152816772,2.224695920944214,-0.7545588612556458
1,2020-01-08,2,1.416575312614441,1.6328096389770508,0.9579678773880005,1.7266515493392944,-0.21623432636260986
2,2020-01-15,3,1.2886050939559937,1.8252707719802856,0.5237473249435425,2.617780923843384,-0.536665678024292
3,2020-01-22,4,1.5455154180526733,1.5725735425949097,0.8530075550079346,1.9592646360397339,-0.027058124542236328
4,2020-01-29,2020w5,1.107715129852295,1.7641924619674683,1.1857426166534424,3.0602314472198486,-0.6564773321151733
5,2020-02-05,6,1.1245365142822266,1.8404529094696045,1.369425654411316,2.29874849319458,-0.7159163951873779
6,2020-02-12,7,1.1460204124450684,1.7765449285507202,1.1354888677597046,2.6805331707000732,-0.6305245161056519
7,2020-02-19,8,1.392582893371582,1.6676591634750366,1.5694502592086792,2.8494582176208496,-0.2750762701034546
8,2020-02-26,9,1.3006361722946167,1.2213821411132812,0.9742813110351562,1.3323125839233398,0.07925403118133545
9,2020-03-04,10,0.6142584085464478,1.6121938228607178,1.2372794151306152,1.886076807975769,-0.99793541431427
10,2020-03-11,11,0.1627507358789444,1.5610321760177612,0.7554857730865479,2.64627742767334,-1.398281455039978
11,2020-03-18,2020w12,0.549666702747345,2.0917344093322754,1.4731581211090088,2.537865400314331,-1.5420677661895752
12,2020-03-25,13,0.7804602384567261,2.0796072483062744,1.9220374822616577,2.7117929458618164,-1.2991470098495483
13,2020-04-01,14,0.718451738357544,0.9749677777290344,0.9143078923225403,1.7827935218811035,-0.2565160393714905
14,2020-04-08,15,0.47635385394096375,1.1665983200073242,0.8156387805938721,1.579878807067871,-0.6902444362640381
15,2020-04-15,16,0.7592267990112305,0.8889849185943604,0.6480872631072998,1.89414381980896,-0.12975811958312988
16,2020-04-22,17,1.2009559869766235,1.9204858541488647,0.6500869393348694,2.4921207427978516,-0.7195298671722412
17,2020-04-29,18,0.9916924238204956,1.166872262954712,0.5219520330429077,2.5445199012756348,-0.1751798391342163
18,2020-05-06,19,0.7301596403121948,1.2077579498291016,0.6579036712646484,2.4844624996185303,-0.47759830951690674
19,2020-05-13,20,1.3194528818130493,1.508425235748291,1.0650768280029297,2.3426706790924072,-0.1889723539352417
20,2020-05-20,21,0.5854751467704773,1.567455768585205,1.4917891025543213,2.758533477783203,-0.9819806218147278
21,2020-05-27,2020w22,0.7300617694854736,2.1246516704559326,1.6361819505691528,3.077758312225342,-1.394589900970459
22,2020-06-03,23,1.037872552871704,2.0720925331115723,0.8557345867156982,2.693410873413086,-1.0342199802398682
23,2020-06-10,24,0.3051871657371521,1.9006956815719604,1.2657989263534546,2.242946147918701,-1.5955085754394531
24,2020-06-17,25,0.3414488732814789,2.3117213249206543,1.6594175100326538,3.000338315963745,-1.970272421836853
25,2020-06-24,26,0.8614795207977295,3.0800516605377197,1.859023928642273,3.908574104309082,-2.2185721397399902
26,2020-07-01,27,1.2325204610824585,2.1113100051879883,1.745538592338562,2.622119188308716,-0.8787895441055298
27,2020-07-08,28,1.4505257606506348,2.4285576343536377,1.8901420831680298,2.88415789604187,-0.9780318737030029
28,2020-07-15,29,0.8584352135658264,2.979259967803955,2.4378039836883545,3.9886724948883057,-2.1208248138427734
