,weekx,week3,ur,mean_ur,min_ur,max_ur,excess1_ur
0,2020-01-01,2020w1,4.354135990142822,4.795413017272949,3.700068473815918,6.253259658813477,-0.44127702713012695
1,2020-01-08,2,4.602570056915283,5.071738243103027,4.183588981628418,5.696091175079346,-0.46916818618774414
2,2020-01-15,3,4.22134256362915,4.728774070739746,3.878408193588257,6.164079666137695,-0.5074315071105957
3,2020-01-22,4,3.860400676727295,4.857152938842773,3.9959375858306885,5.9155473709106445,-0.9967522621154785
4,2020-01-29,2020w5,4.016760349273682,4.786316871643066,4.088565826416016,6.830139636993408,-0.7695565223693848
5,2020-02-05,6,3.937321424484253,4.38944673538208,3.8451459407806396,6.225281715393066,-0.45212531089782715
6,2020-02-12,7,3.825986862182617,5.227217674255371,4.037926197052002,5.579349994659424,-1.401230812072754
7,2020-02-19,8,4.651736259460449,4.246284008026123,3.3755884170532227,5.333189487457275,0.40545225143432617
8,2020-02-26,9,4.322577953338623,4.844518184661865,4.466720104217529,5.41214656829834,-0.5219402313232422
9,2020-03-04,10,4.338380336761475,5.859055995941162,3.0809452533721924,6.522404193878174,-1.5206756591796875
10,2020-03-11,11,3.705749750137329,4.981387615203857,4.288108825683594,6.485342025756836,-1.2756378650665283
11,2020-03-18,2020w12,3.1988675594329834,4.5702900886535645,3.546288251876831,4.996793270111084,-1.371422529220581
12,2020-03-25,13,3.3600945472717285,4.22026252746582,3.6339516639709473,6.08145809173584,-0.8601679801940918
13,2020-04-01,14,4.620163440704346,4.80839729309082,3.9245047569274902,5.171014308929443,-0.1882338523864746
14,2020-04-08,15,3.6211907863616943,4.083935737609863,3.264038562774658,5.611152648925781,-0.46274495124816895
15,2020-04-15,16,4.077450752258301,3.8796279430389404,3.424649715423584,4.873289108276367,0.19782280921936035
16,2020-04-22,17,3.8181514739990234,4.293671131134033,3.1509718894958496,5.187280654907227,-0.47551965713500977
17,2020-04-29,18,3.4538581371307373,5.139555931091309,3.7621169090270996,5.345639228820801,-1.6856977939605713
18,2020-05-06,19,4.288698673248291,4.539244651794434,3.113377571105957,5.235078811645508,-0.2505459785461426
19,2020-05-13,20,3.9278485774993896,4.493329048156738,3.3293533325195312,5.145851135253906,-0.5654804706573486
20,2020-05-20,21,4.344674110412598,4.376557350158691,3.875225305557251,5.293457508087158,-0.03188323974609375
21,2020-05-27,2020w22,4.2398810386657715,3.912850856781006,3.72684645652771,5.791387557983398,0.3270301818847656
22,2020-06-03,23,4.369978904724121,4.74147891998291,4.1441755294799805,5.21096134185791,-0.37150001525878906
23,2020-06-10,24,4.502946376800537,5.108168601989746,4.214672565460205,5.748329162597656,-0.605222225189209
24,2020-06-17,25,4.08862829208374,5.179261684417725,3.7802226543426514,5.787600994110107,-1.0906333923339844
25,2020-06-24,26,3.1513936519622803,4.638280868530273,4.559374809265137,5.640758037567139,-1.4868872165679932
26,2020-07-01,27,4.510974407196045,4.595384120941162,3.7672955989837646,5.8696088790893555,-0.08440971374511719
27,2020-07-08,28,4.933103084564209,5.267866134643555,4.598235130310059,5.844902515411377,-0.3347630500793457
28,2020-07-15,29,5.544991970062256,4.8534417152404785,4.168577194213867,6.257752418518066,0.6915502548217773
29,2020-07-22,30,5.607881546020508,4.646807670593262,3.853733539581299,6.539586067199707,0.9610738754272461
30,2020-07-29,31,4.248234272003174,5.007469654083252,3.9525070190429688,5.318225383758545,-0.7592353820800781
31,2020-08-05,2020w32,5.353522300720215,4.901081085205078,4.249892711639404,5.986813545227051,0.4524412155151367
32,2020-08-12,33,4.838707447052002,4.904759883880615,4.058475494384766,5.473995208740234,-0.06605243682861328
33,2020-08-19,34,5.024520397186279,5.156754016876221,3.9602105617523193,5.793055534362793,-0.1322336196899414
