,weekx,week3,ur_1624,m_ur_1624,min_ur_1624,max_ur_1624,excess1_ur_1624
0,2020-01-01,2020w1,9.124917030334473,11.281150817871094,10.17706298828125,15.410767555236816,-2.156233787536621
1,2020-01-08,2,12.920129776000977,14.301403045654297,11.428340911865234,16.501710891723633,-1.3812732696533203
2,2020-01-15,3,14.534516334533691,13.30313491821289,10.985589027404785,16.32726287841797,1.2313814163208008
3,2020-01-22,4,9.599076271057129,12.881845474243164,9.084196090698242,15.88567066192627,-3.282769203186035
4,2020-01-29,2020w5,10.27853775024414,15.435990333557129,9.93922233581543,19.707983016967773,-5.157452583312988
5,2020-02-05,6,13.034407615661621,10.431632041931152,9.15173625946045,16.623249053955078,2.6027755737304688
6,2020-02-12,7,10.570631980895996,9.417261123657227,7.23048210144043,14.159546852111816,1.1533708572387695
7,2020-02-19,8,13.502094268798828,8.833209991455078,8.093918800354004,15.511412620544434,4.66888427734375
8,2020-02-26,9,9.658407211303711,9.922389030456543,7.119462490081787,14.134561538696289,-0.26398181915283203
9,2020-03-04,10,13.513006210327148,16.212387084960938,6.995932102203369,19.081233978271484,-2.699380874633789
10,2020-03-11,11,9.728097915649414,13.49217414855957,11.566427230834961,15.460176467895508,-3.7640762329101562
11,2020-03-18,2020w12,10.662199974060059,11.157841682434082,8.096765518188477,12.824084281921387,-0.49564170837402344
12,2020-03-25,13,11.456947326660156,11.76103401184082,10.950909614562988,13.026717185974121,-0.30408668518066406
13,2020-04-01,14,13.962369918823242,13.335893630981445,10.469008445739746,14.045341491699219,0.6264762878417969
14,2020-04-08,15,10.432247161865234,9.329601287841797,6.188558578491211,15.791251182556152,1.1026458740234375
15,2020-04-15,16,13.675806045532227,10.001148223876953,5.461184501647949,13.676090240478516,3.6746578216552734
16,2020-04-22,17,9.721720695495605,8.02109146118164,7.344657897949219,14.373038291931152,1.7006292343139648
17,2020-04-29,18,10.096342086791992,12.710947036743164,10.189589500427246,15.16886043548584,-2.614604949951172
18,2020-05-06,19,12.368407249450684,8.129277229309082,6.851737022399902,12.642781257629395,4.239130020141602
19,2020-05-13,20,11.627172470092773,11.46432113647461,9.581395149230957,15.755598068237305,0.16285133361816406
20,2020-05-20,21,12.789956092834473,12.716458320617676,10.56698226928711,17.129491806030273,0.07349777221679688
21,2020-05-27,2020w22,12.337027549743652,13.485246658325195,9.769245147705078,15.402880668640137,-1.148219108581543
22,2020-06-03,23,14.109060287475586,13.895694732666016,11.734092712402344,18.302242279052734,0.2133655548095703
23,2020-06-10,24,14.527058601379395,14.720791816711426,12.63244915008545,17.059534072875977,-0.19373321533203125
24,2020-06-17,25,16.27666664123535,14.145135879516602,13.310744285583496,15.536850929260254,2.13153076171875
25,2020-06-24,26,12.891130447387695,13.615875244140625,10.497060775756836,18.825878143310547,-0.7247447967529297
26,2020-07-01,27,14.267579078674316,15.551982879638672,11.6377534866333,17.106536865234375,-1.2844038009643555
27,2020-07-08,28,16.651107788085938,14.374788284301758,12.985199928283691,17.962303161621094,2.2763195037841797
28,2020-07-15,29,21.961807250976562,16.02364730834961,12.826244354248047,18.156169891357422,5.938159942626953
29,2020-07-22,30,16.989826202392578,14.669198036193848,13.446962356567383,18.34121322631836,2.3206281661987305
30,2020-07-29,31,15.37129020690918,12.795235633850098,11.477322578430176,14.230361938476562,2.576054573059082
31,2020-08-05,2020w32,14.569823265075684,16.773963928222656,13.60369873046875,18.480743408203125,-2.2041406631469727
32,2020-08-12,33,16.100879669189453,15.209768295288086,12.774941444396973,15.891231536865234,0.8911113739013672
33,2020-08-19,34,13.85236644744873,13.639619827270508,11.762978553771973,15.910609245300293,0.21274662017822266
34,2020-08-26,35,14.221434593200684,12.686901092529297,11.282160758972168,13.296663284301758,1.5345335006713867
35,2020-09-02,36,16.784318923950195,13.024767875671387,11.906015396118164,13.983165740966797,3.7595510482788086
36,2020-09-09,37,14.919649124145508,13.561529159545898,10.729812622070312,15.743600845336914,1.3581199645996094
37,2020-09-16,38,15.434222221374512,14.134255409240723,10.90349292755127,14.920642852783203,1.299966812133789
38,2020-09-23,39,16.315526962280273,13.30687141418457,11.753877639770508,14.98996353149414,3.008655548095703
39,2020-10-07,41,12.161759376525879,13.52585220336914,11.745098114013672,17.59174156188965,-1.3640928268432617
40,2020-10-14,2020w42,17.701812744140625,13.112542152404785,10.6206693649292,16.33214569091797,4.58927059173584
41,2020-10-21,43,17.78159523010254,11.32792854309082,7.597139358520508,15.717010498046875,6.453666687011719
42,2020-10-28,44,15.576074600219727,14.292040824890137,8.268324851989746,15.396870613098145,1.2840337753295898
43,2020-11-04,45,11.592447280883789,9.69936752319336,8.948394775390625,14.963375091552734,1.8930797576904297
44,2020-11-11,46,13.719063758850098,8.875992774963379,8.766581535339355,12.607915878295898,4.843070983886719
45,2020-11-18,47,10.30911636352539,12.137069702148438,8.546351432800293,16.439170837402344,-1.8279533386230469
46,2020-11-25,48,14.26667308807373,9.54332160949707,8.998163223266602,13.835244178771973,4.72335147857666
47,2020-12-02,49,15.29398250579834,10.737608909606934,8.896851539611816,13.03528118133545,4.556373596191406
48,2020-12-09,50,11.63065242767334,8.40979290008545,7.3608012199401855,17.224733352661133,3.2208595275878906
49,2020-12-16,51,13.046895980834961,8.001611709594727,5.6048479080200195,14.381702423095703,5.045284271240234
50,2020-12-23,2020w52,14.435585021972656,11.338754653930664,7.6667799949646,15.702681541442871,3.096830368041992
51,2021-01-01,2021w1,15.014204025268555,11.281150817871094,10.17706298828125,15.410767555236816,3.733053207397461
