,weekx,week3,rwpay_rpi,m_rwpay_rpi,min_rwpay_rpi,max_rwpay_rpi
0,2020-01-01,2020w1,484.3103942871094,466.17626953125,445.79095458984375,482.76739501953125
1,2020-01-08,2,476.2553405761719,450.95135498046875,448.4413146972656,456.99365234375
2,2020-01-15,3,465.17962646484375,452.8579406738281,441.0767517089844,487.1156311035156
3,2020-01-22,4,484.3103942871094,462.84417724609375,435.84735107421875,477.6720886230469
4,2020-01-29,2020w5,485.99658203125,453.7866516113281,441.8985900878906,469.2001647949219
5,2020-02-05,6,462.9493103027344,460.50018310546875,454.6553955078125,474.32000732421875
6,2020-02-12,7,462.9493103027344,458.9200134277344,438.843017578125,467.03460693359375
7,2020-02-19,8,462.9493103027344,436.0655822753906,429.2729187011719,438.843017578125
8,2020-02-26,9,462.0,455.2314147949219,443.68377685546875,474.15362548828125
9,2020-03-04,10,481.0,459.78375244140625,458.4031677246094,474.15362548828125
10,2020-03-11,11,480.0,459.78375244140625,438.9543151855469,465.0670166015625
11,2020-03-18,2020w12,500.0,449.9920959472656,431.4477233886719,474.15362548828125
12,2020-03-25,13,450.0,459.59820556640625,442.5091247558594,462.82574462890625
13,2020-04-01,14,508.0,458.1798400878906,438.7880554199219,469.0534362792969
14,2020-04-08,15,462.0,455.2276306152344,432.04791259765625,467.3316650390625
15,2020-04-15,16,500.0,444.68701171875,436.63177490234375,464.5332946777344
16,2020-04-22,17,487.0,444.6013488769531,430.95257568359375,458.1798400878906
17,2020-04-29,18,508.6954040527344,457.2936096191406,439.8489074707031,469.0773010253906
18,2020-05-06,19,500.6844482421875,459.174560546875,446.9230651855469,467.4315490722656
19,2020-05-13,20,481.658447265625,455.5384521484375,450.314208984375,467.4315490722656
20,2020-05-20,21,516.2056884765625,451.0126037597656,445.10223388671875,467.4315490722656
21,2020-05-27,2020w22,508.6954040527344,455.5384521484375,429.8016052246094,467.7442321777344
22,2020-06-03,23,480.8356628417969,466.7859191894531,454.5346984863281,470.4287414550781
23,2020-06-10,24,499.82916259765625,466.7859191894531,443.0251159667969,471.7275085449219
24,2020-06-17,25,499.82916259765625,454.5346984863281,428.1679992675781,459.42877197265625
25,2020-06-24,26,507.8264465332031,454.5346984863281,440.4013671875,485.98272705078125
26,2020-07-01,27,545.0197143554688,457.1167907714844,448.7156677246094,486.1506042480469
27,2020-07-08,28,505.23724365234375,448.78662109375,425.8643798828125,454.81866455078125
28,2020-07-15,29,535.0740966796875,448.78662109375,433.1637878417969,469.5630187988281
29,2020-07-22,30,505.23724365234375,450.3279113769531,433.1637878417969,465.9364318847656
30,2020-07-29,31,517.7613525390625,453.5353698730469,435.5024719238281,463.4254455566406
31,2020-08-05,2020w32,498.8066711425781,459.2624816894531,441.4903869628906,463.4254455566406
32,2020-08-12,33,536.7160034179688,452.7528991699219,439.9118957519531,464.8448486328125
33,2020-08-19,34,499.8042907714844,455.06402587890625,433.60662841796875,464.7957763671875
34,2020-08-26,35,529.7327270507812,447.0892639160156,433.60662841796875,467.6061096191406
35,2020-09-02,36,502.0829162597656,454.4852294921875,449.90838623046875,467.7542419433594
36,2020-09-09,37,497.1117858886719,454.162841796875,441.83050537109375,458.5072021484375
37,2020-09-16,38,497.1117858886719,455.0819091796875,449.0447082519531,464.5401916503906
38,2020-09-23,39,516.0020141601562,460.3738098144531,448.59320068359375,465.86260986328125
39,2020-10-07,41,497.1117858886719,449.58154296875,426.8154602050781,455.5314025878906
40,2020-10-14,2020w42,516.0020141601562,455.5314025878906,450.4703063964844,465.5
41,2020-10-21,43,516.0020141601562,458.5687255859375,448.20233154296875,465.5
42,2020-10-28,44,498.4667663574219,455.0054016113281,437.8902893066406,467.4085998535156
43,2020-11-04,45,483.5127868652344,466.17626953125,448.7665100097656,483.6446838378906
44,2020-11-11,46,556.2889404296875,464.5401916503906,450.31201171875,467.3941345214844
45,2020-11-18,47,536.3502807617188,458.5072021484375,440.2791748046875,467.3941345214844
46,2020-11-25,48,498.4667663574219,443.0599670410156,432.0120544433594,465.12744140625
47,2020-12-02,49,495.2606506347656,451.3335876464844,434.53363037109375,463.10791015625
48,2020-12-09,50,476.4407653808594,453.60858154296875,445.0550231933594,473.3235168457031
49,2020-12-16,51,514.08056640625,463.07843017578125,434.5211181640625,473.4627685546875
50,2020-12-23,2020w52,514.08056640625,463.7137451171875,452.4290466308594,473.3235168457031
51,2021-01-01,2021w1,477.73455810546875,466.17626953125,445.79095458984375,482.76739501953125
52,2021-01-08,54,515.4765625,450.95135498046875,448.4413146972656,456.99365234375
53,2021-01-15,55,500.57843017578125,452.8579406738281,441.0767517089844,487.1156311035156
54,2021-01-22,56,525.40869140625,462.84417724609375,435.84735107421875,477.6720886230469
55,2021-01-29,2020w5,525.40869140625,453.7866516113281,441.8985900878906,469.2001647949219
