,weekx,week3,move,m_move,min_move,max_move,excess1_move
0,2020-01-01,2020w1,0.33959344029426575,1.071045994758606,0.9019823670387268,1.3374830484390259,-0.7314525842666626
1,2020-01-08,2,0.5797766447067261,0.9650143384933472,0.573424220085144,1.3220559358596802,-0.3852376937866211
2,2020-01-15,3,0.5087367296218872,0.9048978686332703,0.4996177852153778,1.1171656847000122,-0.39616113901138306
3,2020-01-22,4,1.1243739128112793,0.6863252520561218,0.3904101550579071,1.1781628131866455,0.43804866075515747
4,2020-01-29,2020w5,0.5081865191459656,0.7299585342407227,0.6066485047340393,1.5533102750778198,-0.22177201509475708
5,2020-02-05,6,0.5723088979721069,0.7922488451004028,0.5028553009033203,1.0050431489944458,-0.2199399471282959
6,2020-02-12,7,0.5694147348403931,0.830324113368988,0.7912412285804749,0.9327394962310791,-0.26090937852859497
7,2020-02-19,8,0.8979915380477905,1.2874805927276611,0.3944883644580841,1.3747127056121826,-0.3894890546798706
8,2020-02-26,9,0.6941235661506653,0.9485675096511841,0.5785067677497864,1.5893826484680176,-0.2544439435005188
9,2020-03-04,10,0.7965267896652222,1.1449317932128906,0.7000375986099243,1.359635591506958,-0.34840500354766846
10,2020-03-11,11,0.5784430503845215,0.9200673699378967,0.6428264379501343,1.150344967842102,-0.34162431955337524
11,2020-03-18,2020w12,0.39433780312538147,1.009953260421753,0.9054849147796631,1.2819541692733765,-0.6156154870986938
12,2020-03-25,13,0.43211105465888977,1.0867807865142822,0.7077558636665344,1.3252549171447754,-0.6546697616577148
13,2020-04-01,14,0.07019669562578201,1.2977269887924194,0.6913456320762634,2.0246005058288574,-1.2275302410125732
14,2020-04-08,15,0.3299592435359955,0.9255982637405396,0.804966151714325,1.0454410314559937,-0.5956389904022217
15,2020-04-15,16,0.22352661192417145,0.9432139992713928,0.7812480330467224,1.328444242477417,-0.7196874022483826
16,2020-04-22,17,0.42702746391296387,0.8418439030647278,0.7952383756637573,1.1810338497161865,-0.4148164391517639
17,2020-04-29,18,0.49485522508621216,1.0561327934265137,0.7401799559593201,1.2650529146194458,-0.5612775683403015
18,2020-05-06,19,0.1997351348400116,1.2362476587295532,0.8773552179336548,1.4977474212646484,-1.0365124940872192
19,2020-05-13,20,0.05682229623198509,0.8728928565979004,0.529095470905304,1.5147688388824463,-0.816070556640625
20,2020-05-20,21,0.10155697911977768,0.9598004817962646,0.8243067860603333,1.7722845077514648,-0.8582435250282288
21,2020-05-27,2020w22,0.4416465759277344,1.228798747062683,0.5143284201622009,1.3454053401947021,-0.7871521711349487
22,2020-06-03,23,0.15181347727775574,0.9515558481216431,0.6954914927482605,1.3348712921142578,-0.7997423410415649
23,2020-06-10,24,0.3124655783176422,1.1806257963180542,0.8349823951721191,1.7871694564819336,-0.8681602478027344
24,2020-06-17,25,0.5429378151893616,1.24849271774292,1.0259737968444824,1.3610203266143799,-0.7055549025535583
25,2020-06-24,26,0.30654776096343994,0.9691535234451294,0.7477617263793945,1.2596896886825562,-0.6626057624816895
26,2020-07-01,27,0.40253427624702454,1.4086633920669556,0.8878557085990906,2.3463897705078125,-1.0061291456222534
27,2020-07-08,28,0.5286911725997925,1.3774478435516357,1.0057897567749023,1.5250009298324585,-0.8487566709518433
28,2020-07-15,29,0.7363407611846924,1.454257607460022,0.875472903251648,1.7685668468475342,-0.7179168462753296
29,2020-07-22,30,0.30171653628349304,1.12870192527771,0.8908609747886658,1.4757806062698364,-0.8269853591918945
30,2020-07-29,31,0.792075514793396,1.2813515663146973,1.150046467781067,1.6636468172073364,-0.48927605152130127
31,2020-08-05,2020w32,0.5592175126075745,1.4093694686889648,0.8960892558097839,1.6600456237792969,-0.8501519560813904
32,2020-08-12,33,0.33366087079048157,1.3961470127105713,1.0269137620925903,2.3000662326812744,-1.062486171722412
33,2020-08-19,34,0.4670693576335907,1.5824956893920898,1.3457759618759155,1.9024882316589355,-1.1154263019561768
34,2020-08-26,35,0.4430284798145294,1.1769306659698486,0.5925925970077515,2.210108757019043,-0.7339022159576416
35,2020-09-02,36,0.7746574282646179,1.301076054573059,0.9154854416847229,1.759628415107727,-0.5264186263084412
36,2020-09-09,37,0.7417778372764587,1.6763710975646973,1.1088714599609375,3.357301712036133,-0.9345932602882385
37,2020-09-16,38,0.5224141478538513,2.0355141162872314,1.7855597734451294,2.9097092151641846,-1.5130999088287354
38,2020-09-23,39,0.7223054766654968,2.1654815673828125,1.8325474262237549,2.695650577545166,-1.443176031112671
39,2020-10-07,41,0.6585820317268372,2.061306953430176,1.315622329711914,2.480743646621704,-1.4027249813079834
40,2020-10-14,2020w42,1.5056039094924927,1.8415781259536743,1.4613122940063477,2.683509588241577,-0.33597421646118164
41,2020-10-21,43,0.4385100305080414,1.6513781547546387,1.4977388381958008,2.008730888366699,-1.212868094444275
42,2020-10-28,44,0.5601634979248047,1.3118815422058105,0.5273677110671997,1.4818061590194702,-0.7517180442810059
43,2020-11-04,45,0.46266067028045654,1.1908522844314575,0.9327875375747681,1.4181172847747803,-0.728191614151001
44,2020-11-11,46,0.4787892997264862,1.1934887170791626,0.9605899453163147,1.4555895328521729,-0.714699387550354
45,2020-11-18,47,0.400343120098114,1.3855741024017334,0.9297487139701843,1.6719142198562622,-0.9852309823036194
46,2020-11-25,48,0.7587576508522034,1.0807243585586548,0.8143337368965149,1.4500339031219482,-0.3219667077064514
47,2020-12-02,49,0.3637934923171997,1.336452841758728,0.7722529172897339,1.4054923057556152,-0.9726593494415283
