,date,region,value
141,2019-12-01,Northern Ireland,2.4348811
142,2019-12-01,Scotland,3.5776766
143,2019-12-01,Wales,3.0473295
144,2020-01-01,England,4.0965649
145,2020-01-01,Northern Ireland,2.4557359
146,2020-01-01,Scotland,3.569024
147,2020-01-01,Wales,3.4116903
148,2020-02-01,England,4.1101448
149,2020-02-01,Northern Ireland,2.5535989
150,2020-02-01,Scotland,3.8360054
151,2020-02-01,Wales,3.7443095
152,2020-03-01,England,4.1258948
153,2020-03-01,Northern Ireland,2.4680895
154,2020-03-01,Scotland,4.2747398
155,2020-03-01,Wales,3.3295107
156,2020-04-01,England,4.13461
157,2020-04-01,Northern Ireland,2.4051493
158,2020-04-01,Scotland,4.7443838
159,2020-04-01,Wales,3.1657771
160,2020-05-01,England,4.2184035
161,2020-05-01,Northern Ireland,2.4884139
162,2020-05-01,Scotland,4.5957854
163,2020-05-01,Wales,2.8083194
164,2020-06-01,England,4.2277499
165,2020-06-01,Northern Ireland,2.6259446
166,2020-06-01,Scotland,4.6841211
167,2020-06-01,Wales,2.7763027
168,2020-07-01,England,4.3870123
169,2020-07-01,Northern Ireland,3.0958178
170,2020-07-01,Scotland,4.969433
171,2020-07-01,Wales,3.2693194
172,2020-08-01,England,4.6365481
173,2020-08-01,Northern Ireland,3.783034
174,2020-08-01,Scotland,4.570422
175,2020-08-01,Wales,3.8625754
176,2020-09-01,England,4.9276602
177,2020-09-01,Northern Ireland,3.6988629
178,2020-09-01,Scotland,4.6338847
179,2020-09-01,Wales,4.6540286
180,2020-10-01,England,5.1857898
181,2020-10-01,Northern Ireland,4.0073374
182,2020-10-01,Scotland,4.3341621
183,2020-10-01,Wales,4.6435315
184,2020-11-01,England,5.2836601
185,2020-11-01,Northern Ireland,3.2987968
186,2020-11-01,Scotland,4.4996965
187,2020-11-01,Wales,4.7380773
188,2020-12-01,England,5.3723564
189,2020-12-01,Northern Ireland,3.709913
190,2020-12-01,Scotland,4.5322372
191,2020-12-01,Wales,4.5602307
192,2021-01-01,England,5.2575341
193,2021-01-01,Northern Ireland,3.7902194
194,2021-01-01,Scotland,4.1699389
195,2021-01-01,Wales,4.6067064
196,2021-02-01,England,5.1053383
197,2021-02-01,Northern Ireland,3.7591461
198,2021-02-01,Scotland,4.4823288
199,2021-02-01,Wales,4.8865632
